_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-7.5,GO:0002573,myeloid leukocyte differentiation,M1,1,0
1,-6.4,GO:0034101,erythrocyte homeostasis,M1,1,0
1,-2.2,GO:0071216,cellular response to biotic stimulus,M1,1,0
1,-2.4,GO:0042060,wound healing,M1,1,0
1,-5.2,GO:0002696,positive regulation of leukocyte activation,M1,1,0
1,-5.5,GO:0035855,megakaryocyte development,M1,1,0
1,-13,GO:0045646,regulation of erythrocyte differentiation,M1,1,0
1,-2.3,GO:0071396,cellular response to lipid,M1,1,0
1,-2.1,GO:0006338,chromatin remodeling,M1,1,0
1,-5.1,GO:0098751,bone cell development,M1,1,0
1,-4.7,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-2.6,GO:0048863,stem cell differentiation,M1,1,0
1,-2.7,GO:0030217,T cell differentiation,M1,1,0
1,-12,GO:1903706,regulation of hemopoiesis,M1,1,0
1,-2.8,GO:0048469,cell maturation,M1,1,0
1,-2,GO:0032496,response to lipopolysaccharide,M1,1,0
1,-2.2,GO:0002699,positive regulation of immune effector process,M1,1,0
1,-5.3,GO:1902107,positive regulation of leukocyte differentiation,M1,1,0
1,-5.5,R-MMU-8878171,Transcriptional regulation by RUNX1,M1,1,0
1,-2,GO:0042110,T cell activation,M1,1,0
1,-2.6,R-MMU-109582,Hemostasis,M1,1,0
1,-2.8,GO:0008285,negative regulation of cell population proliferation,M1,1,0
