Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0002696,positive regulation of leukocyte activation,19_GO:0002376 immune system process,-5.2,12,8,20836,408,25,6,24,8.5,12394|14460|14461|17260|20375|239985,Runx1|Gata1|Gata2|Mef2c|Spi1|Arid1b,-2.5,MyList
GO Biological Processes,19,GO:0048598,embryonic morphogenesis,19_GO:0032502 developmental process,-5.1,9.1,7.2,20836,643,25,7,28,9,12192|14461|16764|17260|18514|21349|24136,Zfp36l1|Gata2|Aff3|Mef2c|Pbx1|Tal1|Zeb2,-2.5,MyList
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-5.1,9.1,7.2,20836,643,25,7,28,9,12192|12394|14460|14461|17260|20375|239985,Zfp36l1|Runx1|Gata1|Gata2|Mef2c|Spi1|Arid1b,-2.5,MyList
GO Biological Processes,19,GO:0098751,bone cell development,19_GO:0032502 developmental process,-5.1,74,15,20836,34,25,3,12,6.5,17268|21349|22761,Meis1|Tal1|Zfpm1,-2.4,MyList
GO Biological Processes,19,GO:0060348,bone development,19_GO:0032502 developmental process,-5,17,8.8,20836,243,25,5,20,8,17260|17268|21349|22761|71375,Mef2c|Meis1|Tal1|Zfpm1|Foxn3,-2.4,MyList
GO Biological Processes,19,GO:0048871,multicellular organismal homeostasis,19_GO:0042592 homeostatic process,-5,8.7,7,20836,673,25,7,28,9,14460|14461|16596|17260|20375|21349|22761,Gata1|Gata2|Klf1|Mef2c|Spi1|Tal1|Zfpm1,-2.4,MyList
GO Biological Processes,19,GO:0045165,cell fate commitment,19_GO:0032502 developmental process,-4.8,15,8.1,20836,278,25,5,20,8,12394|14460|14461|17260|21349,Runx1|Gata1|Gata2|Mef2c|Tal1,-2.1,MyList
GO Biological Processes,19,GO:0071560,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-4.7,24,9.5,20836,137,25,4,16,7.3,12192|12394|17260|20375,Zfp36l1|Runx1|Mef2c|Spi1,-2.1,MyList
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-4.7,7.8,6.6,20836,748,25,7,28,9,12192|12394|14025|14461|17268|18514|22761,Zfp36l1|Runx1|Bcl11a|Gata2|Meis1|Pbx1|Zfpm1,-2.1,MyList
GO Biological Processes,19,GO:0071559,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-4.6,23,9.3,20836,142,25,4,16,7.3,12192|12394|17260|20375,Zfp36l1|Runx1|Mef2c|Spi1,-2,MyList
GO Biological Processes,19,GO:0048821,erythrocyte development,19_GO:0042592 homeostatic process,-4.6,53,12,20836,47,25,3,12,6.5,14460|16596|21349,Gata1|Klf1|Tal1,-2,MyList
GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-4.6,9.7,6.9,20836,518,25,6,24,8.5,14025|14460|14461|16764|17260|21349,Bcl11a|Gata1|Gata2|Aff3|Mef2c|Tal1,-2,MyList
GO Biological Processes,19,GO:0097659,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-4.6,9.6,6.9,20836,519,25,6,24,8.5,14025|14460|14461|16764|17260|21349,Bcl11a|Gata1|Gata2|Aff3|Mef2c|Tal1,-2,MyList
GO Biological Processes,19,GO:0002244,hematopoietic progenitor cell differentiation,19_GO:0032502 developmental process,-4.5,22,9,20836,151,25,4,16,7.3,12394|14461|20375|21349,Runx1|Gata2|Spi1|Tal1,-2,MyList
GO Biological Processes,19,GO:0032774,RNA biosynthetic process,19_GO:0008152 metabolic process,-4.5,9.4,6.8,20836,531,25,6,24,8.5,14025|14460|14461|16764|17260|21349,Bcl11a|Gata1|Gata2|Aff3|Mef2c|Tal1,-2,MyList
GO Biological Processes,19,GO:0043300,regulation of leukocyte degranulation,19_GO:0002376 immune system process,-4.4,44,11,20836,57,25,3,12,6.5,14460|14461|20375,Gata1|Gata2|Spi1,-1.8,MyList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-4.4,8.8,6.6,20836,566,25,6,24,8.5,12192|14461|17260|17268|20375|21349,Zfp36l1|Gata2|Mef2c|Meis1|Spi1|Tal1,-1.8,MyList
GO Biological Processes,19,GO:0000904,cell morphogenesis involved in differentiation,19_GO:0032502 developmental process,-4.3,8.7,6.5,20836,577,25,6,24,8.5,14460|17260|20375|21349|22761|24136,Gata1|Mef2c|Spi1|Tal1|Zfpm1|Zeb2,-1.8,MyList
GO Biological Processes,19,GO:0002762,negative regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-4.2,39,11,20836,64,25,3,12,6.5,12394|14461|22761,Runx1|Gata2|Zfpm1,-1.7,MyList
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-4.2,8.3,6.3,20836,603,25,6,24,8.5,12192|14461|17260|17268|20375|21349,Zfp36l1|Gata2|Mef2c|Meis1|Spi1|Tal1,-1.7,MyList
Reactome Gene Sets,6,R-MMU-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,,-4.2,38,10,20836,66,25,3,12,6.5,14460|14461|21349,Gata1|Gata2|Tal1,-1.7,MyList
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-4,7.7,6,20836,646,25,6,24,8.5,12394|17260|18514|21349|22761|24136,Runx1|Mef2c|Pbx1|Tal1|Zfpm1|Zeb2,-1.5,MyList
GO Biological Processes,19,GO:0002763,positive regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-4,34,9.8,20836,74,25,3,12,6.5,12192|12394|14582,Zfp36l1|Runx1|Gfi1b,-1.5,MyList
GO Biological Processes,19,GO:0002886,regulation of myeloid leukocyte mediated immunity,19_GO:0002376 immune system process,-4,33,9.7,20836,76,25,3,12,6.5,14460|14461|20375,Gata1|Gata2|Spi1,-1.5,MyList
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.9,15,7.3,20836,222,25,4,16,7.3,12192|12394|20375|239985,Zfp36l1|Runx1|Spi1|Arid1b,-1.4,MyList
GO Biological Processes,19,GO:0045661,regulation of myoblast differentiation,19_GO:0032502 developmental process,-3.8,29,9,20836,86,25,3,12,6.5,12192|17260|239985,Zfp36l1|Mef2c|Arid1b,-1.4,MyList
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-3.7,9.1,6.1,20836,457,25,5,20,8,12192|14461|17268|20375|21349,Zfp36l1|Gata2|Meis1|Spi1|Tal1,-1.3,MyList
WikiPathways,27,WP373,IL-3 signaling pathway,,-3.7,25,8.4,20836,99,25,3,12,6.5,14460|14461|20375,Gata1|Gata2|Spi1,-1.2,MyList
GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-3.6,6.6,5.4,20836,762,25,6,24,8.5,14460|17260|20375|21349|22761|24136,Gata1|Mef2c|Spi1|Tal1|Zfpm1|Zeb2,-1.2,MyList
GO Biological Processes,19,GO:0007346,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-3.5,8.1,5.7,20836,512,25,5,20,8,12192|18514|21349|71375|239985,Zfp36l1|Pbx1|Tal1|Foxn3|Arid1b,-1.1,MyList
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-3.5,8,5.6,20836,521,25,5,20,8,12394|14461|14605|20375|22761,Runx1|Gata2|Tsc22d3|Spi1|Zfpm1,-1,MyList
GO Biological Processes,19,GO:0045666,positive regulation of neuron differentiation,19_GO:0032502 developmental process,-3.4,21,7.7,20836,117,25,3,12,6.5,14461|17260|21413,Gata2|Mef2c|Tcf4,-1,MyList
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-3.4,7.9,5.5,20836,530,25,5,20,8,12192|12394|17260|20375|239985,Zfp36l1|Runx1|Mef2c|Spi1|Arid1b,-1,MyList
GO Biological Processes,19,GO:1902106,negative regulation of leukocyte differentiation,19_GO:0002376 immune system process,-3.4,21,7.5,20836,121,25,3,12,6.5,12394|14461|22761,Runx1|Gata2|Zfpm1,-0.98,MyList
Reactome Gene Sets,6,R-MMU-983231,Factors involved in megakaryocyte development and platelet production,,-3.4,20,7.5,20836,122,25,3,12,6.5,14460|14461|22761,Gata1|Gata2|Zfpm1,-0.98,MyList
GO Biological Processes,19,GO:1903707,negative regulation of hemopoiesis,19_GO:0002376 immune system process,-3.4,20,7.4,20836,125,25,3,12,6.5,12394|14461|22761,Runx1|Gata2|Zfpm1,-0.95,MyList
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-3.3,7.5,5.4,20836,556,25,5,20,8,12192|14025|17260|18514|20375,Zfp36l1|Bcl11a|Mef2c|Pbx1|Spi1,-0.94,MyList
GO Biological Processes,19,GO:0001701,in utero embryonic development,19_GO:0032502 developmental process,-3.3,7.5,5.4,20836,558,25,5,20,8,12192|12394|14460|14461|16596,Zfp36l1|Runx1|Gata1|Gata2|Klf1,-0.94,MyList
GO Biological Processes,19,GO:0010721,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-3.3,10,5.9,20836,318,25,4,16,7.3,12394|14025|14461|22761,Runx1|Bcl11a|Gata2|Zfpm1,-0.89,MyList
WikiPathways,27,WP447,Adipogenesis genes,,-3.3,19,7.1,20836,134,25,3,12,6.5,14461|17260|23849,Gata2|Mef2c|Klf6,-0.89,MyList
GO Biological Processes,19,GO:0045621,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.2,18,6.9,20836,140,25,3,12,6.5,12394|20375|239985,Runx1|Spi1|Arid1b,-0.84,MyList
GO Biological Processes,19,GO:0030278,regulation of ossification,19_GO:0032501 multicellular organismal process,-3.2,17,6.9,20836,143,25,3,12,6.5,14460|17260|18514,Gata1|Mef2c|Pbx1,-0.82,MyList
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-3.2,9.8,5.7,20836,339,25,4,16,7.3,12192|14025|18514|20375,Zfp36l1|Bcl11a|Pbx1|Spi1,-0.81,MyList
GO Biological Processes,19,GO:0051251,positive regulation of lymphocyte activation,19_GO:0002376 immune system process,-3.2,9.7,5.7,20836,342,25,4,16,7.3,12394|17260|20375|239985,Runx1|Mef2c|Spi1|Arid1b,-0.8,MyList
GO Biological Processes,19,GO:1901990,regulation of mitotic cell cycle phase transition,19_GO:0050789 regulation of biological process,-3.2,9.7,5.6,20836,344,25,4,16,7.3,12192|18514|71375|239985,Zfp36l1|Pbx1|Foxn3|Arid1b,-0.8,MyList
GO Biological Processes,19,GO:0050864,regulation of B cell activation,19_GO:0002376 immune system process,-3.1,17,6.7,20836,148,25,3,12,6.5,12192|17260|20375,Zfp36l1|Mef2c|Spi1,-0.79,MyList
GO Biological Processes,19,GO:0045598,regulation of fat cell differentiation,19_GO:0032502 developmental process,-3.1,16,6.6,20836,152,25,3,12,6.5,12192|14461|22761,Zfp36l1|Gata2|Zfpm1,-0.77,MyList
GO Biological Processes,19,GO:1903305,regulation of regulated secretory pathway,19_GO:0051179 localization,-3,16,6.4,20836,161,25,3,12,6.5,14460|14461|20375,Gata1|Gata2|Spi1,-0.7,MyList
GO Biological Processes,19,GO:0060537,muscle tissue development,19_GO:0032502 developmental process,-3,8.7,5.3,20836,383,25,4,16,7.3,17260|17268|22761|217082,Mef2c|Meis1|Zfpm1|Hlf,-0.65,MyList
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-2.9,6.1,4.7,20836,684,25,5,20,8,12192|14025|17260|18514|20375,Zfp36l1|Bcl11a|Mef2c|Pbx1|Spi1,-0.61,MyList
GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-2.9,5.9,4.6,20836,701,25,5,20,8,12394|14460|14461|17260|20375,Runx1|Gata1|Gata2|Mef2c|Spi1,-0.57,MyList
GO Biological Processes,19,GO:0009611,response to wounding,19_GO:0050896 response to stimulus,-2.9,8.1,5,20836,411,25,4,16,7.3,12192|14460|14461|56193,Zfp36l1|Gata1|Gata2|Plek,-0.55,MyList
GO Biological Processes,19,GO:0010564,regulation of cell cycle process,19_GO:0050789 regulation of biological process,-2.8,5.7,4.5,20836,731,25,5,20,8,12192|13134|18514|71375|239985,Zfp36l1|Dach1|Pbx1|Foxn3|Arid1b,-0.49,MyList
GO Biological Processes,19,GO:0007610,behavior,19_GO:0032501 multicellular organismal process,-2.8,5.6,4.4,20836,745,25,5,20,8,12394|13134|17260|17268|21349,Runx1|Dach1|Mef2c|Meis1|Tal1,-0.47,MyList
GO Biological Processes,19,GO:0048469,cell maturation,19_GO:0032502 developmental process,-2.8,13,5.7,20836,199,25,3,12,6.5,14461|16596|21349,Gata2|Klf1|Tal1,-0.47,MyList
GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-2.8,5.6,4.4,20836,746,25,5,20,8,12394|13134|14460|14461|17260,Runx1|Dach1|Gata1|Gata2|Mef2c,-0.47,MyList
GO Biological Processes,19,GO:1901987,regulation of cell cycle phase transition,19_GO:0050789 regulation of biological process,-2.8,7.6,4.8,20836,439,25,4,16,7.3,12192|18514|71375|239985,Zfp36l1|Pbx1|Foxn3|Arid1b,-0.47,MyList
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-2.7,12,5.6,20836,207,25,3,12,6.5,12192|14025|20375,Zfp36l1|Bcl11a|Spi1,-0.43,MyList
GO Biological Processes,19,GO:0048732,gland development,19_GO:0032502 developmental process,-2.7,7.4,4.7,20836,453,25,4,16,7.3,12394|14461|16596|18514,Runx1|Gata2|Klf1|Pbx1,-0.43,MyList
GO Biological Processes,19,GO:0021953,central nervous system neuron differentiation,19_GO:0032502 developmental process,-2.7,12,5.5,20836,210,25,3,12,6.5,14461|21349|24136,Gata2|Tal1|Zeb2,-0.42,MyList
GO Biological Processes,19,GO:0048738,cardiac muscle tissue development,19_GO:0032502 developmental process,-2.7,12,5.5,20836,212,25,3,12,6.5,17260|17268|22761,Mef2c|Meis1|Zfpm1,-0.42,MyList
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.7,7.2,4.7,20836,465,25,4,16,7.3,12192|12394|17260|20375,Zfp36l1|Runx1|Mef2c|Spi1,-0.4,MyList
GO Biological Processes,19,GO:0014706,striated muscle tissue development,19_GO:0032502 developmental process,-2.7,11,5.4,20836,218,25,3,12,6.5,17260|17268|22761,Mef2c|Meis1|Zfpm1,-0.39,MyList
GO Biological Processes,19,GO:0007389,pattern specification process,19_GO:0032502 developmental process,-2.7,7.1,4.6,20836,469,25,4,16,7.3,17260|17268|18514|24136,Mef2c|Meis1|Pbx1|Zeb2,-0.39,MyList
GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-2.6,5.2,4.2,20836,797,25,5,20,8,12394|14460|14461|17260|20375,Runx1|Gata1|Gata2|Mef2c|Spi1,-0.39,MyList
GO Biological Processes,19,GO:0048863,stem cell differentiation,19_GO:0032502 developmental process,-2.6,11,5.3,20836,221,25,3,12,6.5,17260|21349|24136,Mef2c|Tal1|Zeb2,-0.39,MyList
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-2.6,6.9,4.6,20836,481,25,4,16,7.3,12192|12394|17260|20375,Zfp36l1|Runx1|Mef2c|Spi1,-0.37,MyList
GO Biological Processes,19,GO:0017157,regulation of exocytosis,19_GO:0051179 localization,-2.6,11,5.3,20836,226,25,3,12,6.5,14460|14461|20375,Gata1|Gata2|Spi1,-0.37,MyList
GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-2.6,11,5.2,20836,229,25,3,12,6.5,14025|17260|20375,Bcl11a|Mef2c|Spi1,-0.36,MyList
Reactome Gene Sets,6,R-MMU-109582,Hemostasis,,-2.6,6.8,4.5,20836,491,25,4,16,7.3,14460|14461|22761|56193,Gata1|Gata2|Zfpm1|Plek,-0.35,MyList
GO Biological Processes,19,GO:0060485,mesenchyme development,19_GO:0032502 developmental process,-2.5,10,5,20836,243,25,3,12,6.5,12192|17260|24136,Zfp36l1|Mef2c|Zeb2,-0.29,MyList
GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-2.5,6.3,4.3,20836,532,25,4,16,7.3,12394|17260|18514|24136,Runx1|Mef2c|Pbx1|Zeb2,-0.23,MyList
GO Biological Processes,19,GO:0061061,muscle structure development,19_GO:0032502 developmental process,-2.4,6.1,4.2,20836,544,25,4,16,7.3,17260|17268|22761|217082,Mef2c|Meis1|Zfpm1|Hlf,-0.2,MyList
GO Biological Processes,19,GO:0071695,anatomical structure maturation,19_GO:0032502 developmental process,-2.4,9.4,4.8,20836,266,25,3,12,6.5,14461|16596|21349,Gata2|Klf1|Tal1,-0.19,MyList
GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-2.4,9,4.7,20836,277,25,3,12,6.5,14460|14461|56193,Gata1|Gata2|Plek,-0.15,MyList
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-2.3,5.7,4,20836,581,25,4,16,7.3,12192|14460|17260|20375,Zfp36l1|Gata1|Mef2c|Spi1,-0.11,MyList
GO Biological Processes,19,GO:0071222,cellular response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.3,8.7,4.5,20836,288,25,3,12,6.5,14460|17260|20375,Gata1|Mef2c|Spi1,-0.11,MyList
