Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1903707,negative regulation of hemopoiesis,19_GO:0002376 immune system process,-4.8,27,10,20836,125,25,4,16,7.3,12394|12606|15404|17131,Runx1|Cebpa|Hoxa7|Smad7,-1.6,MyList
GO Biological Processes,19,GO:0071560,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-4.7,24,9.5,20836,137,25,4,16,7.3,12394|17131|17260|20375,Runx1|Smad7|Mef2c|Spi1,-1.5,MyList
WikiPathways,27,WP1763,Mechanisms associated with pluripotency,,-4.7,14,7.9,20836,291,25,5,20,8,16598|17131|17260|19696|20230,Klf2|Smad7|Mef2c|Rel|Satb1,-1.5,MyList
GO Biological Processes,19,GO:0071559,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-4.6,23,9.3,20836,142,25,4,16,7.3,12394|17131|17260|20375,Runx1|Smad7|Mef2c|Spi1,-1.5,MyList
GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-4.6,9.7,6.9,20836,518,25,6,24,8.5,12606|14025|15405|16477|16764|17260,Cebpa|Bcl11a|Hoxa9|Junb|Aff3|Mef2c,-1.5,MyList
GO Biological Processes,19,GO:0097659,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-4.6,9.6,6.9,20836,519,25,6,24,8.5,12606|14025|15405|16477|16764|17260,Cebpa|Bcl11a|Hoxa9|Junb|Aff3|Mef2c,-1.5,MyList
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-4.6,9.6,6.9,20836,521,25,6,24,8.5,12394|12606|14605|15404|17131|20375,Runx1|Cebpa|Tsc22d3|Hoxa7|Smad7|Spi1,-1.5,MyList
GO Biological Processes,19,GO:0032774,RNA biosynthetic process,19_GO:0008152 metabolic process,-4.5,9.4,6.8,20836,531,25,6,24,8.5,12606|14025|15405|16477|16764|17260,Cebpa|Bcl11a|Hoxa9|Junb|Aff3|Mef2c,-1.5,MyList
GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-4.5,9.4,6.8,20836,532,25,6,24,8.5,12394|12606|15404|15405|16477|17260,Runx1|Cebpa|Hoxa7|Hoxa9|Junb|Mef2c,-1.5,MyList
GO Biological Processes,19,GO:0010721,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-4.5,13,7.5,20836,318,25,5,20,8,12394|12606|14025|15404|17131,Runx1|Cebpa|Bcl11a|Hoxa7|Smad7,-1.5,MyList
GO Biological Processes,19,GO:0030183,B cell differentiation,19_GO:0002376 immune system process,-4.5,21,8.8,20836,157,25,4,16,7.3,14025|15900|18987|20375,Bcl11a|Irf8|Pou2f2|Spi1,-1.5,MyList
GO Biological Processes,19,GO:0010720,positive regulation of cell development,19_GO:0032502 developmental process,-4.4,9.2,6.7,20836,545,25,6,24,8.5,12394|14025|17131|20375|24136|239985,Runx1|Bcl11a|Smad7|Spi1|Zeb2|Arid1b,-1.5,MyList
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-4.4,9,6.6,20836,556,25,6,24,8.5,14025|15900|17260|18987|20230|20375,Bcl11a|Irf8|Mef2c|Pou2f2|Satb1|Spi1,-1.5,MyList
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-4.3,12,7.3,20836,339,25,5,20,8,14025|15900|18987|20230|20375,Bcl11a|Irf8|Pou2f2|Satb1|Spi1,-1.5,MyList
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-4.2,12,7,20836,359,25,5,20,8,12394|15404|17131|20375|239985,Runx1|Hoxa7|Smad7|Spi1|Arid1b,-1.4,MyList
KEGG Pathway,24,mmu05221,Acute myeloid leukemia - Mus musculus (house mouse),,-4.1,36,10,20836,70,25,3,12,6.5,12394|12606|20375,Runx1|Cebpa|Spi1,-1.2,MyList
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-4,7.8,6.1,20836,643,25,6,24,8.5,12394|12606|17131|17260|20375|239985,Runx1|Cebpa|Smad7|Mef2c|Spi1|Arid1b,-1.2,MyList
GO Biological Processes,19,GO:0002696,positive regulation of leukocyte activation,19_GO:0002376 immune system process,-4,10,6.5,20836,408,25,5,20,8,12394|12606|17260|20375|239985,Runx1|Cebpa|Mef2c|Spi1|Arid1b,-1.1,MyList
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-3.9,7.3,5.8,20836,684,25,6,24,8.5,14025|15900|17260|18987|20230|20375,Bcl11a|Irf8|Mef2c|Pou2f2|Satb1|Spi1,-1.1,MyList
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.9,15,7.3,20836,222,25,4,16,7.3,12394|17131|20375|239985,Runx1|Smad7|Spi1|Arid1b,-1.1,MyList
GO Biological Processes,19,GO:0050867,positive regulation of cell activation,19_GO:0048518 positive regulation of biological process,-3.9,9.7,6.3,20836,430,25,5,20,8,12394|12606|17260|20375|239985,Runx1|Cebpa|Mef2c|Spi1|Arid1b,-1.1,MyList
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-3.8,7.2,5.7,20836,699,25,6,24,8.5,12394|12606|17131|17260|20375|239985,Runx1|Cebpa|Smad7|Mef2c|Spi1|Arid1b,-1.1,MyList
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-3.7,6.7,5.5,20836,748,25,6,24,8.5,12394|12606|14025|15404|15405|17131,Runx1|Cebpa|Bcl11a|Hoxa7|Hoxa9|Smad7,-0.93,MyList
GO Biological Processes,19,GO:0045638,negative regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-3.7,25,8.4,20836,99,25,3,12,6.5,12394|15404|15405,Runx1|Hoxa7|Hoxa9,-0.92,MyList
GO Biological Processes,19,GO:0048705,skeletal system morphogenesis,19_GO:0032502 developmental process,-3.6,13,6.7,20836,259,25,4,16,7.3,15404|15405|17260|71375,Hoxa7|Hoxa9|Mef2c|Foxn3,-0.9,MyList
GO Biological Processes,19,GO:0032479,regulation of type I interferon production,19_GO:0032501 multicellular organismal process,-3.5,23,8,20836,109,25,3,12,6.5,15900|19696|56490,Irf8|Rel|Zbtb20,-0.82,MyList
GO Biological Processes,19,GO:0048704,embryonic skeletal system morphogenesis,19_GO:0032502 developmental process,-3.5,23,7.9,20836,110,25,3,12,6.5,15404|15405|17260,Hoxa7|Hoxa9|Mef2c,-0.82,MyList
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-3.5,8,5.6,20836,520,25,5,20,8,12394|15900|18987|19696|56490,Runx1|Irf8|Pou2f2|Rel|Zbtb20,-0.79,MyList
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-3.4,7.9,5.5,20836,530,25,5,20,8,12394|17131|17260|20375|239985,Runx1|Smad7|Mef2c|Spi1|Arid1b,-0.76,MyList
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-3.4,7.8,5.5,20836,535,25,5,20,8,12394|15404|15405|17260|71375,Runx1|Hoxa7|Hoxa9|Mef2c|Foxn3,-0.75,MyList
GO Biological Processes,19,GO:1902106,negative regulation of leukocyte differentiation,19_GO:0002376 immune system process,-3.4,21,7.5,20836,121,25,3,12,6.5,12394|15404|17131,Runx1|Hoxa7|Smad7,-0.74,MyList
GO Biological Processes,19,GO:0007162,negative regulation of cell adhesion,19_GO:0048519 negative regulation of biological process,-3.3,10,5.9,20836,318,25,4,16,7.3,12394|15404|17131|20375,Runx1|Hoxa7|Smad7|Spi1,-0.64,MyList
GO Biological Processes,19,GO:0045621,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.2,18,6.9,20836,140,25,3,12,6.5,12394|20375|239985,Runx1|Spi1|Arid1b,-0.58,MyList
GO Biological Processes,19,GO:0051251,positive regulation of lymphocyte activation,19_GO:0002376 immune system process,-3.2,9.7,5.7,20836,342,25,4,16,7.3,12394|17260|20375|239985,Runx1|Mef2c|Spi1|Arid1b,-0.54,MyList
GO Biological Processes,19,GO:0048706,embryonic skeletal system development,19_GO:0032502 developmental process,-3.1,17,6.7,20836,148,25,3,12,6.5,15404|15405|17260,Hoxa7|Hoxa9|Mef2c,-0.53,MyList
GO Biological Processes,19,GO:0048598,embryonic morphogenesis,19_GO:0032502 developmental process,-3.1,6.5,4.9,20836,643,25,5,20,8,15404|15405|16764|17260|24136,Hoxa7|Hoxa9|Aff3|Mef2c|Zeb2,-0.45,MyList
GO Biological Processes,19,GO:0032675,regulation of interleukin-6 production,19_GO:0032501 multicellular organismal process,-3,15,6.2,20836,170,25,3,12,6.5,16598|18987|56490,Klf2|Pou2f2|Zbtb20,-0.37,MyList
GO Biological Processes,19,GO:0071248,cellular response to metal ion,19_GO:0050896 response to stimulus,-2.9,14,6.1,20836,175,25,3,12,6.5,12606|16477|17260,Cebpa|Junb|Mef2c,-0.35,MyList
GO Biological Processes,19,GO:0045580,regulation of T cell differentiation,19_GO:0002376 immune system process,-2.8,13,5.9,20836,188,25,3,12,6.5,12394|17131|239985,Runx1|Smad7|Arid1b,-0.26,MyList
GO Biological Processes,19,GO:0003002,regionalization,19_GO:0032502 developmental process,-2.8,7.8,4.9,20836,425,25,4,16,7.3,15404|15405|17260|24136,Hoxa7|Hoxa9|Mef2c|Zeb2,-0.24,MyList
GO Biological Processes,19,GO:0070661,leukocyte proliferation,19_GO:0009987 cellular process,-2.8,13,5.8,20836,194,25,3,12,6.5,16477|17260|20230,Junb|Mef2c|Satb1,-0.24,MyList
GO Biological Processes,19,GO:0048469,cell maturation,19_GO:0032502 developmental process,-2.8,13,5.7,20836,199,25,3,12,6.5,12606|16598|18987,Cebpa|Klf2|Pou2f2,-0.22,MyList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-2.7,5.5,4.4,20836,758,25,5,20,8,16477|17131|17260|20375|24136,Junb|Smad7|Mef2c|Spi1|Zeb2,-0.2,MyList
GO Biological Processes,19,GO:0002695,negative regulation of leukocyte activation,19_GO:0002376 immune system process,-2.7,12,5.6,20836,206,25,3,12,6.5,12394|17131|20375,Runx1|Smad7|Spi1,-0.2,MyList
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-2.7,12,5.6,20836,207,25,3,12,6.5,14025|20230|20375,Bcl11a|Satb1|Spi1,-0.2,MyList
GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.7,12,5.5,20836,211,25,3,12,6.5,12394|20375|239985,Runx1|Spi1|Arid1b,-0.19,MyList
GO Biological Processes,19,GO:0022408,negative regulation of cell-cell adhesion,19_GO:0048519 negative regulation of biological process,-2.7,12,5.5,20836,211,25,3,12,6.5,12394|17131|20375,Runx1|Smad7|Spi1,-0.19,MyList
GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-2.7,12,5.5,20836,211,25,3,12,6.5,12394|20375|239985,Runx1|Spi1|Arid1b,-0.19,MyList
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.7,7.2,4.7,20836,465,25,4,16,7.3,12394|17131|17260|20375,Runx1|Smad7|Mef2c|Spi1,-0.17,MyList
GO Biological Processes,19,GO:0007389,pattern specification process,19_GO:0032502 developmental process,-2.7,7.1,4.6,20836,469,25,4,16,7.3,15404|15405|17260|24136,Hoxa7|Hoxa9|Mef2c|Zeb2,-0.17,MyList
GO Biological Processes,19,GO:0048639,positive regulation of developmental growth,19_GO:0040007 growth,-2.6,11,5.4,20836,220,25,3,12,6.5,14025|17131|17260,Bcl11a|Smad7|Mef2c,-0.17,MyList
GO Biological Processes,19,GO:0048863,stem cell differentiation,19_GO:0032502 developmental process,-2.6,11,5.3,20836,221,25,3,12,6.5,15404|17260|24136,Hoxa7|Mef2c|Zeb2,-0.17,MyList
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-2.6,6.9,4.6,20836,481,25,4,16,7.3,12394|17131|17260|20375,Runx1|Smad7|Mef2c|Spi1,-0.15,MyList
GO Biological Processes,19,GO:0009952,anterior/posterior pattern specification,19_GO:0032502 developmental process,-2.6,11,5.3,20836,227,25,3,12,6.5,15404|15405|24136,Hoxa7|Hoxa9|Zeb2,-0.15,MyList
GO Biological Processes,19,GO:0050866,negative regulation of cell activation,19_GO:0048519 negative regulation of biological process,-2.6,11,5.2,20836,229,25,3,12,6.5,12394|17131|20375,Runx1|Smad7|Spi1,-0.14,MyList
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0050789 regulation of biological process,-2.5,6.6,4.4,20836,503,25,4,16,7.3,12394|17131|20375|239985,Runx1|Smad7|Spi1|Arid1b,-0.098,MyList
GO Biological Processes,19,GO:0045664,regulation of neuron differentiation,19_GO:0032502 developmental process,-2.5,10,5,20836,244,25,3,12,6.5,14025|17260|21413,Bcl11a|Mef2c|Tcf4,-0.079,MyList
GO Biological Processes,19,GO:0071241,cellular response to inorganic substance,19_GO:0050896 response to stimulus,-2.5,10,5,20836,246,25,3,12,6.5,12606|16477|17260,Cebpa|Junb|Mef2c,-0.075,MyList
GO Biological Processes,19,GO:0071695,anatomical structure maturation,19_GO:0032502 developmental process,-2.4,9.4,4.8,20836,266,25,3,12,6.5,12606|16598|18987,Cebpa|Klf2|Pou2f2,0,MyList
GO Biological Processes,19,GO:0001701,in utero embryonic development,19_GO:0032502 developmental process,-2.4,6,4.1,20836,558,25,4,16,7.3,12394|12606|16477|16598,Runx1|Cebpa|Junb|Klf2,0,MyList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-2.4,5.9,4.1,20836,566,25,4,16,7.3,16477|17131|17260|20375,Junb|Smad7|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:0071222,cellular response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.3,8.7,4.5,20836,288,25,3,12,6.5,15900|17260|20375,Irf8|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:0006325,chromatin organization,19_GO:0009987 cellular process,-2.3,5.7,4,20836,588,25,4,16,7.3,16598|20230|20375|239985,Klf2|Satb1|Spi1|Arid1b,0,MyList
GO Biological Processes,19,GO:0001818,negative regulation of cytokine production,19_GO:0048519 negative regulation of biological process,-2.3,8.5,4.5,20836,294,25,3,12,6.5,16598|17131|19696,Klf2|Smad7|Rel,0,MyList
GO Biological Processes,19,GO:0071219,cellular response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.3,8.4,4.5,20836,298,25,3,12,6.5,15900|17260|20375,Irf8|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-2.3,5.5,3.9,20836,603,25,4,16,7.3,16477|17131|17260|20375,Junb|Smad7|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:0045765,regulation of angiogenesis,19_GO:0032502 developmental process,-2.2,8.2,4.4,20836,305,25,3,12,6.5,12394|16598|21413,Runx1|Klf2|Tcf4,0,MyList
GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-2.2,8.2,4.4,20836,306,25,3,12,6.5,12606|16477|17260,Cebpa|Junb|Mef2c,0,MyList
GO Biological Processes,19,GO:1901342,regulation of vasculature development,19_GO:0032502 developmental process,-2.2,8.1,4.4,20836,309,25,3,12,6.5,12394|16598|21413,Runx1|Klf2|Tcf4,0,MyList
GO Biological Processes,19,GO:0007517,muscle organ development,19_GO:0032502 developmental process,-2.2,8,4.3,20836,311,25,3,12,6.5,17131|17260|217082,Smad7|Mef2c|Hlf,0,MyList
GO Biological Processes,19,GO:0090287,regulation of cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.2,7.8,4.3,20836,320,25,3,12,6.5,17131|21413|24136,Smad7|Tcf4|Zeb2,0,MyList
GO Biological Processes,19,GO:0021700,developmental maturation,19_GO:0032502 developmental process,-2.2,7.8,4.2,20836,322,25,3,12,6.5,12606|16598|18987,Cebpa|Klf2|Pou2f2,0,MyList
GO Biological Processes,19,GO:0045927,positive regulation of growth,19_GO:0040007 growth,-2.2,7.7,4.2,20836,323,25,3,12,6.5,14025|17131|17260,Bcl11a|Smad7|Mef2c,0,MyList
GO Biological Processes,19,GO:0071216,cellular response to biotic stimulus,19_GO:0050896 response to stimulus,-2.2,7.7,4.2,20836,325,25,3,12,6.5,15900|17260|20375,Irf8|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-2.2,5.2,3.7,20836,646,25,4,16,7.3,12394|17131|17260|24136,Runx1|Smad7|Mef2c|Zeb2,0,MyList
GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,19_GO:0048518 positive regulation of biological process,-2.2,7.6,4.2,20836,330,25,3,12,6.5,12394|17131|239985,Runx1|Smad7|Arid1b,0,MyList
GO Biological Processes,19,GO:0006338,chromatin remodeling,19_GO:0009987 cellular process,-2.1,7.5,4.2,20836,332,25,3,12,6.5,20230|20375|239985,Satb1|Spi1|Arid1b,0,MyList
GO Biological Processes,19,GO:0048562,embryonic organ morphogenesis,19_GO:0032502 developmental process,-2.1,7.5,4.2,20836,332,25,3,12,6.5,15404|15405|17260,Hoxa7|Hoxa9|Mef2c,0,MyList
GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-2.1,7.4,4.1,20836,340,25,3,12,6.5,16598|17260|20375,Klf2|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:0032496,response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2,6.7,3.8,20836,375,25,3,12,6.5,15900|17260|20375,Irf8|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-2,6.6,3.8,20836,376,25,3,12,6.5,14025|20230|20375,Bcl11a|Satb1|Spi1,0,MyList
