Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0030220,platelet formation,19_GO:0032502 developmental process,-6.3,1.8e+02,23,20836,20,17,3,18,9.2,17260|21349|22761,Mef2c|Tal1|Zfpm1,-3.2
MyList,GO Biological Processes,19,GO:0060216,definitive hemopoiesis,19_GO:0032502 developmental process,-6.2,1.7e+02,22,20836,22,17,3,18,9.2,14461|21349|22761,Gata2|Tal1|Zfpm1,-3.1
MyList,GO Biological Processes,19,GO:0036344,platelet morphogenesis,19_GO:0032502 developmental process,-6.2,1.7e+02,22,20836,22,17,3,18,9.2,17260|21349|22761,Mef2c|Tal1|Zfpm1,-3.1
MyList,GO Biological Processes,19,GO:0045664,regulation of neuron differentiation,19_GO:0032502 developmental process,-5.9,25,11,20836,244,17,5,29,11,14025|14461|17260|21413|56484,Bcl11a|Gata2|Mef2c|Tcf4|Foxo3,-2.9
MyList,GO Biological Processes,19,GO:0030851,granulocyte differentiation,19_GO:0032502 developmental process,-5.8,1.3e+02,20,20836,28,17,3,18,9.2,14461|20375|22761,Gata2|Spi1|Zfpm1,-2.9
MyList,GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-5.8,15,9.1,20836,481,17,6,35,12,14025|14461|16477|17260|20375|22761,Bcl11a|Gata2|Junb|Mef2c|Spi1|Zfpm1,-2.9
MyList,GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-5.6,14,8.6,20836,532,17,6,35,12,14461|16477|17260|18022|21349|22761,Gata2|Junb|Mef2c|Nfe2|Tal1|Zfpm1,-2.7
MyList,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-5.4,13,8.3,20836,566,17,6,35,12,14461|16477|17260|18022|20375|21349,Gata2|Junb|Mef2c|Nfe2|Spi1|Tal1,-2.6
MyList,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-5.3,12,8,20836,603,17,6,35,12,14461|16477|17260|18022|20375|21349,Gata2|Junb|Mef2c|Nfe2|Spi1|Tal1,-2.4
MyList,GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-5.2,18,9,20836,340,17,5,29,11,14461|17260|20375|21349|22761,Gata2|Mef2c|Spi1|Tal1|Zfpm1,-2.4
MyList,GO Biological Processes,19,GO:0002761,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-5.2,32,11,20836,152,17,4,24,10,14461|14582|21349|22761,Gata2|Gfi1b|Tal1|Zfpm1,-2.4
MyList,GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.1,17,8.8,20836,359,17,5,29,11,14461|14582|20375|21349|22761,Gata2|Gfi1b|Spi1|Tal1|Zfpm1,-2.3
MyList,GO Biological Processes,19,GO:1902895,positive regulation of miRNA transcription,19_GO:0048518 positive regulation of biological process,-5,69,14,20836,53,17,3,18,9.2,14461|20375|56484,Gata2|Spi1|Foxo3,-2.2
MyList,GO Biological Processes,19,GO:2000630,positive regulation of miRNA metabolic process,19_GO:0048518 positive regulation of biological process,-4.8,62,13,20836,59,17,3,18,9.2,14461|20375|56484,Gata2|Spi1|Foxo3,-2.1
MyList,GO Biological Processes,19,GO:2000756,regulation of peptidyl-lysine acetylation,19_GO:0008152 metabolic process,-4.6,51,12,20836,72,17,3,18,9.2,14461|18022|20375,Gata2|Nfe2|Spi1,-1.9
MyList,GO Biological Processes,19,GO:1902893,regulation of miRNA transcription,19_GO:0008152 metabolic process,-4.6,51,12,20836,72,17,3,18,9.2,14461|20375|56484,Gata2|Spi1|Foxo3,-1.9
MyList,GO Biological Processes,19,GO:0060348,bone development,19_GO:0032502 developmental process,-4.4,20,8.6,20836,243,17,4,24,10,17260|21349|22761|71375,Mef2c|Tal1|Zfpm1|Foxn3,-1.7
MyList,GO Biological Processes,19,GO:1901983,regulation of protein acetylation,19_GO:0008152 metabolic process,-4.4,44,11,20836,84,17,3,18,9.2,14461|18022|20375,Gata2|Nfe2|Spi1,-1.7
MyList,GO Biological Processes,19,GO:2000628,regulation of miRNA metabolic process,19_GO:0008152 metabolic process,-4.3,42,11,20836,87,17,3,18,9.2,14461|20375|56484,Gata2|Spi1|Foxo3,-1.7
MyList,WikiPathways,27,WP373,IL-3 signaling pathway,,-4.2,37,10,20836,99,17,3,18,9.2,14461|20375|20846,Gata2|Spi1|Stat1,-1.5
MyList,GO Biological Processes,19,GO:0030218,erythrocyte differentiation,19_GO:0042592 homeostatic process,-4,32,9.5,20836,116,17,3,18,9.2,20375|21349|22761,Spi1|Tal1|Zfpm1,-1.4
MyList,GO Biological Processes,19,GO:0001892,embryonic placenta development,19_GO:0032502 developmental process,-4,32,9.5,20836,116,17,3,18,9.2,14461|16477|18022,Gata2|Junb|Nfe2,-1.4
MyList,GO Biological Processes,19,GO:0045666,positive regulation of neuron differentiation,19_GO:0032502 developmental process,-4,31,9.4,20836,117,17,3,18,9.2,14461|17260|21413,Gata2|Mef2c|Tcf4,-1.4
MyList,Reactome Gene Sets,6,R-MMU-983231,Factors involved in megakaryocyte development and platelet production,,-3.9,30,9.2,20836,122,17,3,18,9.2,14461|18022|22761,Gata2|Nfe2|Zfpm1,-1.3
MyList,KEGG Pathway,24,mmu04380,Osteoclast differentiation - Mus musculus (house mouse),,-3.8,29,9,20836,128,17,3,18,9.2,16477|20375|20846,Junb|Spi1|Stat1,-1.3
MyList,GO Biological Processes,19,GO:0034101,erythrocyte homeostasis,19_GO:0042592 homeostatic process,-3.8,29,9,20836,128,17,3,18,9.2,20375|21349|22761,Spi1|Tal1|Zfpm1,-1.3
MyList,GO Biological Processes,19,GO:0048871,multicellular organismal homeostasis,19_GO:0042592 homeostatic process,-3.8,9.1,6.1,20836,673,17,5,29,11,14461|17260|20375|21349|22761,Gata2|Mef2c|Spi1|Tal1|Zfpm1,-1.3
MyList,WikiPathways,27,WP447,Adipogenesis genes,,-3.8,27,8.8,20836,134,17,3,18,9.2,14461|17260|20846,Gata2|Mef2c|Stat1,-1.3
MyList,GO Biological Processes,19,GO:0019827,stem cell population maintenance,19_GO:0032502 developmental process,-3.7,25,8.3,20836,147,17,3,18,9.2,14461|20375|56484,Gata2|Spi1|Foxo3,-1.2
MyList,GO Biological Processes,19,GO:0002244,hematopoietic progenitor cell differentiation,19_GO:0032502 developmental process,-3.6,24,8.2,20836,151,17,3,18,9.2,14461|20375|21349,Gata2|Spi1|Tal1,-1.2
MyList,GO Biological Processes,19,GO:0098727,maintenance of cell number,19_GO:0032502 developmental process,-3.6,24,8.2,20836,152,17,3,18,9.2,14461|20375|56484,Gata2|Spi1|Foxo3,-1.2
MyList,GO Biological Processes,19,GO:0001936,regulation of endothelial cell proliferation,19_GO:0050789 regulation of biological process,-3.6,24,8.1,20836,155,17,3,18,9.2,14461|17260|20846,Gata2|Mef2c|Stat1,-1.1
MyList,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-3.6,8.1,5.7,20836,758,17,5,29,11,14461|16477|17260|20375|21349,Gata2|Junb|Mef2c|Spi1|Tal1,-1.1
MyList,GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-3.5,22,7.8,20836,167,17,3,18,9.2,20375|21349|22761,Spi1|Tal1|Zfpm1,-1.1
MyList,GO Biological Processes,19,GO:0001890,placenta development,19_GO:0032502 developmental process,-3.4,20,7.4,20836,182,17,3,18,9.2,14461|16477|18022,Gata2|Junb|Nfe2,-0.97
MyList,GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-3.4,11,6,20836,457,17,4,24,10,14461|16477|20375|21349,Gata2|Junb|Spi1|Tal1,-0.95
MyList,Reactome Gene Sets,6,R-MMU-8878171,Transcriptional regulation by RUNX1,,-3.3,19,7.2,20836,193,17,3,18,9.2,14461|21349|22761,Gata2|Tal1|Zfpm1,-0.92
MyList,GO Biological Processes,19,GO:0048469,cell maturation,19_GO:0032502 developmental process,-3.3,18,7.1,20836,199,17,3,18,9.2,14461|21349|56484,Gata2|Tal1|Foxo3,-0.89
MyList,KEGG Pathway,24,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),,-3.1,16,6.6,20836,224,17,3,18,9.2,16599|17260|20375,Klf3|Mef2c|Spi1,-0.75
MyList,GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-3.1,9.2,5.5,20836,535,17,4,24,10,17260|21349|22761|71375,Mef2c|Tal1|Zfpm1|Foxn3,-0.73
MyList,GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-3.1,16,6.5,20836,229,17,3,18,9.2,14025|17260|20375,Bcl11a|Mef2c|Spi1,-0.73
MyList,GO Biological Processes,19,GO:0000904,cell morphogenesis involved in differentiation,19_GO:0032502 developmental process,-3,8.5,5.2,20836,577,17,4,24,10,17260|20375|21349|22761,Mef2c|Spi1|Tal1|Zfpm1,-0.62
MyList,GO Biological Processes,19,GO:0001503,ossification,19_GO:0032501 multicellular organismal process,-2.9,14,6.1,20836,263,17,3,18,9.2,16477|17260|18022,Junb|Mef2c|Nfe2,-0.57
MyList,GO Biological Processes,19,GO:0071695,anatomical structure maturation,19_GO:0032502 developmental process,-2.9,14,6,20836,266,17,3,18,9.2,14461|21349|56484,Gata2|Tal1|Foxo3,-0.56
MyList,GO Biological Processes,19,GO:0045165,cell fate commitment,19_GO:0032502 developmental process,-2.9,13,5.9,20836,278,17,3,18,9.2,14461|17260|21349,Gata2|Mef2c|Tal1,-0.51
MyList,GO Biological Processes,19,GO:0071222,cellular response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.8,13,5.7,20836,288,17,3,18,9.2,17260|20375|20846,Mef2c|Spi1|Stat1,-0.47
MyList,GO Biological Processes,19,GO:0071219,cellular response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.8,12,5.6,20836,298,17,3,18,9.2,17260|20375|20846,Mef2c|Spi1|Stat1,-0.43
MyList,GO Biological Processes,19,GO:0045765,regulation of angiogenesis,19_GO:0032502 developmental process,-2.7,12,5.6,20836,305,17,3,18,9.2,14461|20846|21413,Gata2|Stat1|Tcf4,-0.41
MyList,GO Biological Processes,19,GO:1901342,regulation of vasculature development,19_GO:0032502 developmental process,-2.7,12,5.5,20836,309,17,3,18,9.2,14461|20846|21413,Gata2|Stat1|Tcf4,-0.4
MyList,GO Biological Processes,19,GO:0010721,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-2.7,12,5.4,20836,318,17,3,18,9.2,14025|14461|22761,Bcl11a|Gata2|Zfpm1,-0.37
MyList,GO Biological Processes,19,GO:0021700,developmental maturation,19_GO:0032502 developmental process,-2.7,11,5.4,20836,322,17,3,18,9.2,14461|21349|56484,Gata2|Tal1|Foxo3,-0.36
MyList,GO Biological Processes,19,GO:0071216,cellular response to biotic stimulus,19_GO:0050896 response to stimulus,-2.7,11,5.4,20836,325,17,3,18,9.2,17260|20375|20846,Mef2c|Spi1|Stat1,-0.35
MyList,GO Biological Processes,19,GO:0006366,transcription by RNA polymerase II,19_GO:0008152 metabolic process,-2.6,11,5.3,20836,329,17,3,18,9.2,14461|16477|21349,Gata2|Junb|Tal1,-0.34
MyList,GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-2.6,6.6,4.4,20836,746,17,4,24,10,14461|17260|18022|20846,Gata2|Mef2c|Nfe2|Stat1,-0.27
MyList,GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-2.6,6.6,4.4,20836,748,17,4,24,10,14025|14461|22761|56484,Bcl11a|Gata2|Zfpm1|Foxo3,-0.27
MyList,GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-2.5,6.4,4.4,20836,762,17,4,24,10,17260|20375|21349|22761,Mef2c|Spi1|Tal1|Zfpm1,-0.24
MyList,GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-2.5,6.3,4.3,20836,781,17,4,24,10,14025|17260|20375|21413,Bcl11a|Mef2c|Spi1|Tcf4,-0.21
MyList,GO Biological Processes,19,GO:0032496,response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.5,9.8,4.9,20836,375,17,3,18,9.2,17260|20375|20846,Mef2c|Spi1|Stat1,-0.2
MyList,GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0032502 developmental process,-2.4,9.4,4.8,20836,390,17,3,18,9.2,14025|17260|20375,Bcl11a|Mef2c|Spi1,-0.16
MyList,GO Biological Processes,19,GO:0002237,response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.4,9.3,4.8,20836,395,17,3,18,9.2,17260|20375|20846,Mef2c|Spi1|Stat1,-0.15
MyList,GO Biological Processes,19,GO:0002696,positive regulation of leukocyte activation,19_GO:0002376 immune system process,-2.4,9,4.7,20836,408,17,3,18,9.2,14461|17260|20375,Gata2|Mef2c|Spi1,-0.11
MyList,GO Biological Processes,19,GO:0050678,regulation of epithelial cell proliferation,19_GO:0050789 regulation of biological process,-2.3,8.6,4.5,20836,429,17,3,18,9.2,14461|17260|20846,Gata2|Mef2c|Stat1,-0.056
MyList,GO Biological Processes,19,GO:0050867,positive regulation of cell activation,19_GO:0048518 positive regulation of biological process,-2.3,8.6,4.5,20836,430,17,3,18,9.2,14461|17260|20375,Gata2|Mef2c|Spi1,-0.056
MyList,Reactome Gene Sets,6,R-MMU-1266738,Developmental Biology,,-2.3,8.2,4.4,20836,447,17,3,18,9.2,17260|21413|56484,Mef2c|Tcf4|Foxo3,-0.014
MyList,Reactome Gene Sets,6,R-MMU-109582,Hemostasis,,-2.2,7.5,4.2,20836,491,17,3,18,9.2,14461|18022|22761,Gata2|Nfe2|Zfpm1,0
MyList,GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-2.1,7.1,4,20836,520,17,3,18,9.2,20846|22761|56490,Stat1|Zfpm1|Zbtb20,0
MyList,GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-2.1,7.1,4,20836,521,17,3,18,9.2,14461|20375|22761,Gata2|Spi1|Zfpm1,0
MyList,GO Biological Processes,19,GO:0010720,positive regulation of cell development,19_GO:0032502 developmental process,-2,6.7,3.9,20836,545,17,3,18,9.2,14025|14582|20375,Bcl11a|Gfi1b|Spi1,0
MyList,GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-2,6.6,3.8,20836,556,17,3,18,9.2,14025|17260|20375,Bcl11a|Mef2c|Spi1,0
MyList,GO Biological Processes,19,GO:0001701,in utero embryonic development,19_GO:0032502 developmental process,-2,6.6,3.8,20836,558,17,3,18,9.2,14461|16477|18022,Gata2|Junb|Nfe2,0
MyList_MCODE_ALL,GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-7.7,1e+02,20,20836,165,5,4,80,18,14461|16477|17260|22761,Gata2|Junb|Mef2c|Zfpm1,-4.2
MyList_MCODE_ALL,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-6.6,52,14,20836,321,5,4,80,18,14461|16477|17260|22761,Gata2|Junb|Mef2c|Zfpm1,-3.4
MyList_MCODE_ALL,GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-5.9,35,12,20836,481,5,4,80,18,14461|16477|17260|22761,Gata2|Junb|Mef2c|Zfpm1,-2.9
MyList_MCODE_ALL,GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-5.7,31,11,20836,532,5,4,80,18,14461|16477|17260|22761,Gata2|Junb|Mef2c|Zfpm1,-2.8
MyList_MCODE_ALL,GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-4.9,53,12,20836,234,5,3,60,22,14461|17260|22761,Gata2|Mef2c|Zfpm1,-2.1
MyList_MCODE_ALL,GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-4.4,37,10,20836,340,5,3,60,22,14461|17260|22761,Gata2|Mef2c|Zfpm1,-1.7
MyList_MCODE_ALL,GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-4,28,9,20836,445,5,3,60,22,14461|17260|22761,Gata2|Mef2c|Zfpm1,-1.4
MyList_MCODE_ALL,GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-3.8,24,8.3,20836,518,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.3
MyList_MCODE_ALL,GO Biological Processes,19,GO:0097659,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-3.8,24,8.3,20836,519,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.3
MyList_MCODE_ALL,GO Biological Processes,19,GO:0032774,RNA biosynthetic process,19_GO:0008152 metabolic process,-3.8,24,8.2,20836,531,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.3
MyList_MCODE_ALL,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-3.7,22,7.9,20836,566,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.2
MyList_MCODE_ALL,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-3.6,21,7.6,20836,603,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.2
MyList_MCODE_ALL,GO Biological Processes,19,GO:0048871,multicellular organismal homeostasis,19_GO:0042592 homeostatic process,-3.5,19,7.2,20836,673,5,3,60,22,14461|17260|22761,Gata2|Mef2c|Zfpm1,-1.1
MyList_MCODE_ALL,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-3.3,16,6.7,20836,758,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-0.94
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0002573,myeloid leukocyte differentiation,19_GO:0032502 developmental process,-7.7,1e+02,20,20836,165,5,4,80,18,14461|16477|17260|22761,Gata2|Junb|Mef2c|Zfpm1,-4.2
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-6.6,52,14,20836,321,5,4,80,18,14461|16477|17260|22761,Gata2|Junb|Mef2c|Zfpm1,-3.4
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-5.9,35,12,20836,481,5,4,80,18,14461|16477|17260|22761,Gata2|Junb|Mef2c|Zfpm1,-2.9
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-5.7,31,11,20836,532,5,4,80,18,14461|16477|17260|22761,Gata2|Junb|Mef2c|Zfpm1,-2.8
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0045637,regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-4.9,53,12,20836,234,5,3,60,22,14461|17260|22761,Gata2|Mef2c|Zfpm1,-2.1
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-4.4,37,10,20836,340,5,3,60,22,14461|17260|22761,Gata2|Mef2c|Zfpm1,-1.7
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-4,28,9,20836,445,5,3,60,22,14461|17260|22761,Gata2|Mef2c|Zfpm1,-1.4
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-3.8,24,8.3,20836,518,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.3
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0097659,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-3.8,24,8.3,20836,519,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.3
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0032774,RNA biosynthetic process,19_GO:0008152 metabolic process,-3.8,24,8.2,20836,531,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.3
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-3.7,22,7.9,20836,566,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.2
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-3.6,21,7.6,20836,603,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-1.2
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0048871,multicellular organismal homeostasis,19_GO:0042592 homeostatic process,-3.5,19,7.2,20836,673,5,3,60,22,14461|17260|22761,Gata2|Mef2c|Zfpm1,-1.1
MyList_SUB1_MCODE_1,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-3.3,16,6.7,20836,758,5,3,60,22,14461|16477|17260,Gata2|Junb|Mef2c,-0.94
