Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0060216,definitive hemopoiesis,19_GO:0032502 developmental process,-5.6,1.1e+02,18,20836,22,25,3,12,6.5,12394|21349|22761,Runx1|Tal1|Zfpm1,-2.7,MyList
GO Biological Processes,19,GO:0010720,positive regulation of cell development,19_GO:0032502 developmental process,-5.6,11,8,20836,545,25,7,28,9,12192|12394|14025|14582|20375|24136|239985,Zfp36l1|Runx1|Bcl11a|Gfi1b|Spi1|Zeb2|Arid1b,-2.7,MyList
GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-5.3,20,9.5,20836,211,25,5,20,8,12192|12394|14582|20375|239985,Zfp36l1|Runx1|Gfi1b|Spi1|Arid1b,-2.5,MyList
GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.3,20,9.5,20836,211,25,5,20,8,12192|12394|14582|20375|239985,Zfp36l1|Runx1|Gfi1b|Spi1|Arid1b,-2.5,MyList
GO Biological Processes,19,GO:0045648,positive regulation of erythrocyte differentiation,19_GO:0042592 homeostatic process,-5.3,89,16,20836,28,25,3,12,6.5,14460|21349|23871,Gata1|Tal1|Ets1,-2.4,MyList
GO Biological Processes,19,GO:0030219,megakaryocyte differentiation,19_GO:0032502 developmental process,-5.2,81,15,20836,31,25,3,12,6.5,14460|21349|22761,Gata1|Tal1|Zfpm1,-2.3,MyList
GO Biological Processes,19,GO:0002696,positive regulation of leukocyte activation,19_GO:0002376 immune system process,-5.2,12,8,20836,408,25,6,24,8.5,12394|12606|14460|17260|20375|239985,Runx1|Cebpa|Gata1|Mef2c|Spi1|Arid1b,-2.3,MyList
GO Biological Processes,19,GO:0050867,positive regulation of cell activation,19_GO:0048518 positive regulation of biological process,-5,12,7.7,20836,430,25,6,24,8.5,12394|12606|14460|17260|20375|239985,Runx1|Cebpa|Gata1|Mef2c|Spi1|Arid1b,-2.2,MyList
GO Biological Processes,19,GO:0001892,embryonic placenta development,19_GO:0032502 developmental process,-5,29,10,20836,116,25,4,16,7.3,12192|12606|16477|18022,Zfp36l1|Cebpa|Junb|Nfe2,-2.2,MyList
GO Biological Processes,19,GO:0030218,erythrocyte differentiation,19_GO:0042592 homeostatic process,-5,29,10,20836,116,25,4,16,7.3,14460|20375|21349|22761,Gata1|Spi1|Tal1|Zfpm1,-2.2,MyList
GO Biological Processes,19,GO:0034101,erythrocyte homeostasis,19_GO:0042592 homeostatic process,-4.8,26,9.9,20836,128,25,4,16,7.3,14460|20375|21349|22761,Gata1|Spi1|Tal1|Zfpm1,-2,MyList
GO Biological Processes,19,GO:0071560,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-4.7,24,9.5,20836,137,25,4,16,7.3,12192|12394|17260|20375,Zfp36l1|Runx1|Mef2c|Spi1,-1.9,MyList
GO Biological Processes,19,GO:0030279,negative regulation of ossification,19_GO:0048519 negative regulation of biological process,-4.7,54,13,20836,46,25,3,12,6.5,14460|17260|18022,Gata1|Mef2c|Nfe2,-1.9,MyList
GO Biological Processes,19,GO:0071559,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-4.6,23,9.3,20836,142,25,4,16,7.3,12192|12394|17260|20375,Zfp36l1|Runx1|Mef2c|Spi1,-1.9,MyList
GO Biological Processes,19,GO:0001701,in utero embryonic development,19_GO:0032502 developmental process,-4.4,9,6.6,20836,558,25,6,24,8.5,12192|12394|12606|14460|16477|18022,Zfp36l1|Runx1|Cebpa|Gata1|Junb|Nfe2,-1.7,MyList
GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-4.4,20,8.5,20836,167,25,4,16,7.3,14460|20375|21349|22761,Gata1|Spi1|Tal1|Zfpm1,-1.7,MyList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-4.4,8.8,6.6,20836,566,25,6,24,8.5,12192|16477|17260|18022|20375|21349,Zfp36l1|Junb|Mef2c|Nfe2|Spi1|Tal1,-1.7,MyList
GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-4.3,12,7.3,20836,340,25,5,20,8,14460|17260|20375|21349|22761,Gata1|Mef2c|Spi1|Tal1|Zfpm1,-1.7,MyList
GO Biological Processes,19,GO:0000904,cell morphogenesis involved in differentiation,19_GO:0032502 developmental process,-4.3,8.7,6.5,20836,577,25,6,24,8.5,14460|17260|20375|21349|22761|24136,Gata1|Mef2c|Spi1|Tal1|Zfpm1|Zeb2,-1.6,MyList
GO Biological Processes,19,GO:0060711,labyrinthine layer development,19_GO:0032502 developmental process,-4.3,40,11,20836,62,25,3,12,6.5,12192|16477|18022,Zfp36l1|Junb|Nfe2,-1.6,MyList
GO Biological Processes,19,GO:0001890,placenta development,19_GO:0032502 developmental process,-4.2,18,8.1,20836,182,25,4,16,7.3,12192|12606|16477|18022,Zfp36l1|Cebpa|Junb|Nfe2,-1.6,MyList
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-4.2,8.3,6.3,20836,603,25,6,24,8.5,12192|16477|17260|18022|20375|21349,Zfp36l1|Junb|Mef2c|Nfe2|Spi1|Tal1,-1.6,MyList
Reactome Gene Sets,6,R-MMU-8878171,Transcriptional regulation by RUNX1,,-4.1,17,7.9,20836,193,25,4,16,7.3,14460|21349|22761|239985,Gata1|Tal1|Zfpm1|Arid1b,-1.5,MyList
KEGG Pathway,24,mmu05221,Acute myeloid leukemia - Mus musculus (house mouse),,-4.1,36,10,20836,70,25,3,12,6.5,12394|12606|20375,Runx1|Cebpa|Spi1,-1.5,MyList
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0032502 developmental process,-4.1,11,6.7,20836,390,25,5,20,8,12192|14025|14460|17260|20375,Zfp36l1|Bcl11a|Gata1|Mef2c|Spi1,-1.4,MyList
GO Biological Processes,19,GO:0002763,positive regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-4,34,9.8,20836,74,25,3,12,6.5,12192|12394|14582,Zfp36l1|Runx1|Gfi1b,-1.4,MyList
GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-3.9,10,6.5,20836,413,25,5,20,8,12606|17260|20375|22038|23871,Cebpa|Mef2c|Spi1|Plscr1|Ets1,-1.3,MyList
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.9,15,7.3,20836,222,25,4,16,7.3,12192|12394|20375|239985,Zfp36l1|Runx1|Spi1|Arid1b,-1.3,MyList
KEGG Pathway,24,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),,-3.9,15,7.2,20836,224,25,4,16,7.3,12394|12606|17260|20375,Runx1|Cebpa|Mef2c|Spi1,-1.3,MyList
GO Biological Processes,19,GO:0045661,regulation of myoblast differentiation,19_GO:0032502 developmental process,-3.8,29,9,20836,86,25,3,12,6.5,12192|17260|239985,Zfp36l1|Mef2c|Arid1b,-1.3,MyList
GO Biological Processes,19,GO:0061515,myeloid cell development,19_GO:0032502 developmental process,-3.8,29,9,20836,87,25,3,12,6.5,14460|21349|22761,Gata1|Tal1|Zfpm1,-1.3,MyList
GO Biological Processes,19,GO:0030500,regulation of bone mineralization,19_GO:0032502 developmental process,-3.8,28,8.9,20836,88,25,3,12,6.5,14460|17260|18022,Gata1|Mef2c|Nfe2,-1.3,MyList
GO Biological Processes,19,GO:0060348,bone development,19_GO:0032502 developmental process,-3.7,14,6.9,20836,243,25,4,16,7.3,17260|21349|22761|71375,Mef2c|Tal1|Zfpm1|Foxn3,-1.2,MyList
GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-3.7,6.7,5.5,20836,746,25,6,24,8.5,12394|12606|13134|14460|17260|18022,Runx1|Cebpa|Dach1|Gata1|Mef2c|Nfe2,-1.2,MyList
GO Biological Processes,19,GO:0045638,negative regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-3.7,25,8.4,20836,99,25,3,12,6.5,12192|12394|22761,Zfp36l1|Runx1|Zfpm1,-1.1,MyList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-3.7,6.6,5.4,20836,758,25,6,24,8.5,12192|16477|17260|20375|21349|24136,Zfp36l1|Junb|Mef2c|Spi1|Tal1|Zeb2,-1.1,MyList
GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-3.6,6.6,5.4,20836,762,25,6,24,8.5,14460|17260|20375|21349|22761|24136,Gata1|Mef2c|Spi1|Tal1|Zfpm1|Zeb2,-1.1,MyList
GO Biological Processes,19,GO:0001503,ossification,19_GO:0032501 multicellular organismal process,-3.6,13,6.6,20836,263,25,4,16,7.3,14460|16477|17260|18022,Gata1|Junb|Mef2c|Nfe2,-1.1,MyList
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-3.6,6.4,5.3,20836,781,25,6,24,8.5,12192|14025|14460|17260|20375|21413,Zfp36l1|Bcl11a|Gata1|Mef2c|Spi1|Tcf4,-1.1,MyList
GO Biological Processes,19,GO:0070167,regulation of biomineral tissue development,19_GO:0032502 developmental process,-3.6,23,8,20836,107,25,3,12,6.5,14460|17260|18022,Gata1|Mef2c|Nfe2,-1.1,MyList
GO Biological Processes,19,GO:0045165,cell fate commitment,19_GO:0032502 developmental process,-3.5,12,6.4,20836,278,25,4,16,7.3,12394|14460|17260|21349,Runx1|Gata1|Mef2c|Tal1,-1,MyList
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-3.5,8,5.6,20836,521,25,5,20,8,12394|12606|14605|20375|22761,Runx1|Cebpa|Tsc22d3|Spi1|Zfpm1,-1,MyList
GO Biological Processes,19,GO:0071222,cellular response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.4,12,6.3,20836,288,25,4,16,7.3,14460|17260|20375|22038,Gata1|Mef2c|Spi1|Plscr1,-0.98,MyList
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-3.4,7.9,5.5,20836,530,25,5,20,8,12192|12394|17260|20375|239985,Zfp36l1|Runx1|Mef2c|Spi1|Arid1b,-0.98,MyList
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-3.4,7.8,5.5,20836,535,25,5,20,8,12394|17260|21349|22761|71375,Runx1|Mef2c|Tal1|Zfpm1|Foxn3,-0.96,MyList
GO Biological Processes,19,GO:0071219,cellular response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.4,11,6.1,20836,298,25,4,16,7.3,14460|17260|20375|22038,Gata1|Mef2c|Spi1|Plscr1,-0.95,MyList
Reactome Gene Sets,6,R-MMU-983231,Factors involved in megakaryocyte development and platelet production,,-3.4,20,7.5,20836,122,25,3,12,6.5,14460|18022|22761,Gata1|Nfe2|Zfpm1,-0.95,MyList
GO Biological Processes,19,GO:1903707,negative regulation of hemopoiesis,19_GO:0002376 immune system process,-3.4,20,7.4,20836,125,25,3,12,6.5,12394|12606|22761,Runx1|Cebpa|Zfpm1,-0.92,MyList
GO Biological Processes,19,GO:0010721,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-3.3,10,5.9,20836,318,25,4,16,7.3,12394|12606|14025|22761,Runx1|Cebpa|Bcl11a|Zfpm1,-0.85,MyList
WikiPathways,27,WP447,Adipogenesis genes,,-3.3,19,7.1,20836,134,25,3,12,6.5,12606|17260|23849,Cebpa|Mef2c|Klf6,-0.85,MyList
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-3.3,7.2,5.2,20836,581,25,5,20,8,12192|14460|17260|20375|22038,Zfp36l1|Gata1|Mef2c|Spi1|Plscr1,-0.84,MyList
GO Biological Processes,19,GO:0071216,cellular response to biotic stimulus,19_GO:0050896 response to stimulus,-3.2,10,5.8,20836,325,25,4,16,7.3,14460|17260|20375|22038,Gata1|Mef2c|Spi1|Plscr1,-0.84,MyList
GO Biological Processes,19,GO:0006366,transcription by RNA polymerase II,19_GO:0008152 metabolic process,-3.2,10,5.8,20836,329,25,4,16,7.3,14460|16477|21349|23871,Gata1|Junb|Tal1|Ets1,-0.82,MyList
GO Biological Processes,19,GO:0045621,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.2,18,6.9,20836,140,25,3,12,6.5,12394|20375|239985,Runx1|Spi1|Arid1b,-0.81,MyList
GO Biological Processes,19,GO:0030278,regulation of ossification,19_GO:0032501 multicellular organismal process,-3.2,17,6.9,20836,143,25,3,12,6.5,14460|17260|18022,Gata1|Mef2c|Nfe2,-0.79,MyList
GO Biological Processes,19,GO:0051251,positive regulation of lymphocyte activation,19_GO:0002376 immune system process,-3.2,9.7,5.7,20836,342,25,4,16,7.3,12394|17260|20375|239985,Runx1|Mef2c|Spi1|Arid1b,-0.78,MyList
GO Biological Processes,19,GO:0050864,regulation of B cell activation,19_GO:0002376 immune system process,-3.1,17,6.7,20836,148,25,3,12,6.5,12192|17260|20375,Zfp36l1|Mef2c|Spi1,-0.76,MyList
GO Biological Processes,19,GO:0002244,hematopoietic progenitor cell differentiation,19_GO:0032502 developmental process,-3.1,17,6.7,20836,151,25,3,12,6.5,12394|20375|21349,Runx1|Spi1|Tal1,-0.74,MyList
GO Biological Processes,19,GO:0045598,regulation of fat cell differentiation,19_GO:0032502 developmental process,-3.1,16,6.6,20836,152,25,3,12,6.5,12192|12606|22761,Zfp36l1|Cebpa|Zfpm1,-0.74,MyList
GO Biological Processes,19,GO:0045786,negative regulation of cell cycle,19_GO:0048519 negative regulation of biological process,-3.1,9.3,5.5,20836,358,25,4,16,7.3,12192|12606|23871|71375,Zfp36l1|Cebpa|Ets1|Foxn3,-0.72,MyList
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-3,6.5,4.9,20836,646,25,5,20,8,12394|17260|21349|22761|24136,Runx1|Mef2c|Tal1|Zfpm1|Zeb2,-0.69,MyList
GO Biological Processes,19,GO:0032496,response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3,8.9,5.3,20836,375,25,4,16,7.3,14460|17260|20375|22038,Gata1|Mef2c|Spi1|Plscr1,-0.66,MyList
GO Biological Processes,19,GO:0048871,multicellular organismal homeostasis,19_GO:0042592 homeostatic process,-3,6.2,4.7,20836,673,25,5,20,8,14460|17260|20375|21349|22761,Gata1|Mef2c|Spi1|Tal1|Zfpm1,-0.62,MyList
GO Biological Processes,19,GO:0071248,cellular response to metal ion,19_GO:0050896 response to stimulus,-2.9,14,6.1,20836,175,25,3,12,6.5,12606|16477|17260,Cebpa|Junb|Mef2c,-0.59,MyList
GO Biological Processes,19,GO:0002237,response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.9,8.4,5.2,20836,395,25,4,16,7.3,14460|17260|20375|22038,Gata1|Mef2c|Spi1|Plscr1,-0.59,MyList
GO Biological Processes,19,GO:0051100,negative regulation of binding,19_GO:0065007 biological regulation,-2.9,14,6,20836,180,25,3,12,6.5,14460|22038|22761,Gata1|Plscr1|Zfpm1,-0.56,MyList
GO Biological Processes,19,GO:0007610,behavior,19_GO:0032501 multicellular organismal process,-2.8,5.6,4.4,20836,745,25,5,20,8,12394|13134|17260|21349|77128,Runx1|Dach1|Mef2c|Tal1|Crebrf,-0.44,MyList
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-2.8,5.6,4.4,20836,748,25,5,20,8,12192|12394|12606|14025|22761,Zfp36l1|Runx1|Cebpa|Bcl11a|Zfpm1,-0.44,MyList
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-2.7,12,5.6,20836,207,25,3,12,6.5,12192|14025|20375,Zfp36l1|Bcl11a|Spi1,-0.4,MyList
GO Biological Processes,19,GO:0031347,regulation of defense response,19_GO:0050896 response to stimulus,-2.7,5.4,4.3,20836,772,25,5,20,8,12606|17260|20375|22038|23871,Cebpa|Mef2c|Spi1|Plscr1|Ets1,-0.39,MyList
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-2.7,7.3,4.7,20836,457,25,4,16,7.3,12192|16477|20375|21349,Zfp36l1|Junb|Spi1|Tal1,-0.39,MyList
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.7,7.2,4.7,20836,465,25,4,16,7.3,12192|12394|17260|20375,Zfp36l1|Runx1|Mef2c|Spi1,-0.37,MyList
GO Biological Processes,19,GO:0048863,stem cell differentiation,19_GO:0032502 developmental process,-2.6,11,5.3,20836,221,25,3,12,6.5,17260|21349|24136,Mef2c|Tal1|Zeb2,-0.34,MyList
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-2.6,6.9,4.6,20836,481,25,4,16,7.3,12192|12394|17260|20375,Zfp36l1|Runx1|Mef2c|Spi1,-0.32,MyList
GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-2.6,11,5.2,20836,229,25,3,12,6.5,14025|17260|20375,Bcl11a|Mef2c|Spi1,-0.31,MyList
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0050789 regulation of biological process,-2.5,6.6,4.4,20836,503,25,4,16,7.3,12394|20375|23871|239985,Runx1|Spi1|Ets1|Arid1b,-0.26,MyList
GO Biological Processes,19,GO:0060485,mesenchyme development,19_GO:0032502 developmental process,-2.5,10,5,20836,243,25,3,12,6.5,12192|17260|24136,Zfp36l1|Mef2c|Zeb2,-0.25,MyList
GO Biological Processes,19,GO:0045664,regulation of neuron differentiation,19_GO:0032502 developmental process,-2.5,10,5,20836,244,25,3,12,6.5,14025|17260|21413,Bcl11a|Mef2c|Tcf4,-0.25,MyList
GO Biological Processes,19,GO:0007346,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-2.5,6.5,4.4,20836,512,25,4,16,7.3,12192|21349|71375|239985,Zfp36l1|Tal1|Foxn3|Arid1b,-0.25,MyList
GO Biological Processes,19,GO:0071241,cellular response to inorganic substance,19_GO:0050896 response to stimulus,-2.5,10,5,20836,246,25,3,12,6.5,12606|16477|17260,Cebpa|Junb|Mef2c,-0.24,MyList
KEGG Pathway,24,mmu05200,Pathways in cancer - Mus musculus (house mouse),,-2.4,6.1,4.2,20836,543,25,4,16,7.3,12394|12606|20375|23871,Runx1|Cebpa|Spi1|Ets1,-0.16,MyList
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-2.4,6,4.1,20836,555,25,4,16,7.3,12606|20375|22038|23871,Cebpa|Spi1|Plscr1|Ets1,-0.14,MyList
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-2.4,6,4.1,20836,556,25,4,16,7.3,12192|14025|17260|20375,Zfp36l1|Bcl11a|Mef2c|Spi1,-0.14,MyList
GO Biological Processes,19,GO:1903039,positive regulation of leukocyte cell-cell adhesion,19_GO:0048518 positive regulation of biological process,-2.4,9,4.7,20836,278,25,3,12,6.5,12394|23871|239985,Runx1|Ets1|Arid1b,-0.11,MyList
GO Biological Processes,19,GO:0045765,regulation of angiogenesis,19_GO:0032502 developmental process,-2.2,8.2,4.4,20836,305,25,3,12,6.5,12394|21413|23871,Runx1|Tcf4|Ets1,-0.0029,MyList
GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-2.2,8.2,4.4,20836,306,25,3,12,6.5,12606|16477|17260,Cebpa|Junb|Mef2c,-0.0029,MyList
GO Biological Processes,19,GO:1901342,regulation of vasculature development,19_GO:0032502 developmental process,-2.2,8.1,4.4,20836,309,25,3,12,6.5,12394|21413|23871,Runx1|Tcf4|Ets1,0,MyList
GO Biological Processes,19,GO:0019221,cytokine-mediated signaling pathway,19_GO:0023052 signaling,-2.2,7.8,4.2,20836,322,25,3,12,6.5,12606|20375|23849,Cebpa|Spi1|Klf6,0,MyList
GO Biological Processes,19,GO:0048598,embryonic morphogenesis,19_GO:0032502 developmental process,-2.2,5.2,3.7,20836,643,25,4,16,7.3,12192|17260|21349|24136,Zfp36l1|Mef2c|Tal1|Zeb2,0,MyList
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-2.2,5.1,3.7,20836,648,25,4,16,7.3,14460|17260|20375|22038,Gata1|Mef2c|Spi1|Plscr1,0,MyList
GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,19_GO:0048518 positive regulation of biological process,-2.2,7.6,4.2,20836,330,25,3,12,6.5,12394|23871|239985,Runx1|Ets1|Arid1b,0,MyList
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-2.1,7.4,4.1,20836,339,25,3,12,6.5,12192|14025|20375,Zfp36l1|Bcl11a|Spi1,0,MyList
GO Biological Processes,19,GO:1901990,regulation of mitotic cell cycle phase transition,19_GO:0050789 regulation of biological process,-2.1,7.3,4.1,20836,344,25,3,12,6.5,12192|71375|239985,Zfp36l1|Foxn3|Arid1b,0,MyList
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-2.1,4.9,3.6,20836,684,25,4,16,7.3,12192|14025|17260|20375,Zfp36l1|Bcl11a|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-2,4.8,3.5,20836,701,25,4,16,7.3,12394|14460|17260|20375,Runx1|Gata1|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-2,6.6,3.8,20836,376,25,3,12,6.5,12192|14025|20375,Zfp36l1|Bcl11a|Spi1,0,MyList
