Genes	E14tg2a-120h 1A	E14tg2a-120h 1B	E14tg2a-120h 1C	E14tg2a-120h 1D	E14tg2a-120h 1E	E14tg2a-120h 1F	E14tg2a-120h 1G	E14tg2a-120h 1H	E14tg2a-120h 2A	E14tg2a-120h 2B	E14tg2a-120h 2C	E14tg2a-120h 2D	E14tg2a-120h 2E	E14tg2a-120h 2F	E14tg2a-120h 2G	E14tg2a-120h 2H	E14tg2a-120h 3A	E14tg2a-120h 3B	E14tg2a-120h 3C	E14tg2a-120h 3D	E14tg2a-120h 3E	E14tg2a-120h 3F	E14tg2a-120h 3G	E14tg2a-120h 3H	E14tg2a-120h 4A	E14tg2a-120h 4B	E14tg2a-120h 4C	E14tg2a-120h 4D	E14tg2a-120h 4E	E14tg2a-120h 4F	E14tg2a-120h 4G	E14tg2a-120h 4H	E14tg2a-120h 5A	E14tg2a-120h 5B	E14tg2a-120h 5C	E14tg2a-120h 5D	E14tg2a-120h 5E	E14tg2a-120h 5F	E14tg2a-120h 5G	E14tg2a-120h 5H	E14tg2a-120h 6A	E14tg2a-120h 6B	E14tg2a-120h 6C	E14tg2a-120h 6D	E14tg2a-120h 6E	E14tg2a-120h 6F	E14tg2a-120h 6G	E14tg2a-120h 6H	R1-120h 1A	R1-120h 1B	R1-120h 1C	R1-120h 1D	R1-120h 1E	R1-120h 1F	R1-120h 1G	R1-120h 1H	R1-120h 2A	R1-120h 2B	R1-120h 2C	R1-120h 2D	R1-120h 2E	R1-120h 2F	R1-120h 2G	R1-120h 2H	R1-120h 3A	R1-120h 3B	R1-120h 3C	R1-120h 3D	R1-120h 3E	R1-120h 3F	R1-120h 3G	R1-120h 3H	R1-120h 4A	R1-120h 4B	R1-120h 4C	R1-120h 4D	R1-120h 4E	R1-120h 4F	R1-120h 4G	R1-120h 4H	R1-120h 5A	R1-120h 5B	R1-120h 5C	R1-120h 5D	R1-120h 5E	R1-120h 5F	R1-120h 5G	R1-120h 5H	R1-120h 6A	R1-120h 6B	R1-120h 6C	R1-120h 6D	R1-120h 6E	R1-120h 6F	R1-120h 6G	R1-120h 6H
Cldn6	999	999	999	11.90829236	999	999	999	999	999	999	999	999	17.30900396	999	999	999	999	999	999	999	999	999	999	999	18.81361815	18.40053913	18.73766838	999	999	999	999	17.67572326	999	14.25252704	999	12.44271443	999	11.89170268	999	999	17.32504017	999	999	17.21465579	999	999	999	999	15.56442662	16.69081809	15.98731367	13.95855895	13.9691386	13.88150097	13.70347679	999	14.7164493	13.67746004	14.66421962	14.40840943	12.64730719	13.37298391	17.69558421	15.26136504	13.09374623	15.42877681	16.08658415	14.35674715	16.20727931	13.45947971	14.36995437	18.34566201	12.81806133	13.61853573	13.81164588	18.3112923	13.808404	999	16.8533925	17.67218044	14.74379497	11.57692339	999	14.58178088	999	18.66834455	13.8792556	14.68167195	18.89239587	18.37764184	13.74443504	13.37581869	13.61522941	14.49393162	15.96999464	14.28050944
Ctcf	14.92524471	15.36627255	16.7820566	15.91142551	15.89165666	14.30540045	13.15021822	15.90782555	15.74995394	15.37329114	14.01474598	16.35721221	15.62990806	15.40777424	999	14.34850912	14.98585954	25.20876906	16.33209441	15.65322536	14.42575114	16.57115487	15.11984995	14.9637892	16.91901086	16.97085036	15.36270062	15.88248365	15.36977389	16.06620132	16.19050913	16.65513772	15.38435112	18.48617663	15.25177082	17.33189627	16.25862205	15.29347992	16.26039088	15.89678723	17.50588925	999	999	15.16511276	16.52287119	16.63725838	15.06366968	16.29767447	17.11845992	16.22596284	16.48748373	14.87531959	15.43161297	14.80131185	14.91674927	15.87587932	13.91463574	15.57225756	15.11129008	15.79024467	16.09410347	17.23282452	16.13124547	15.86947957	16.03094982	15.81615864	14.75066052	16.28488597	16.19040495	17.66436112	16.03355607	16.04253174	16.26234249	17.54419368	14.38219888	16.89592643	16.72591577	999	15.30489025	15.74267939	17.91145424	15.35222667	15.18078367	16.76178736	999	15.79384621	15.36590506	16.1736345	999	16.48619805	16.49487492	15.00091547	17.07642513	16.6165858	15.89036381	17.98412671
Ctnnb1	12.82060556	13.79139947	12.98038557	13.4418315	14.43103485	12.99521099	12.43816712	12.86233268	13.23993864	13.44528552	12.19595857	13.98816098	13.08590187	12.88970572	999	12.98482189	12.46869951	13.78460779	14.76567937	14.54852298	13.72003029	12.64500075	13.93566509	13.49013053	13.40887937	12.65351927	13.69687814	13.74616283	12.50278944	13.31061734	12.22517093	13.77254256	12.16622207	13.44435536	12.97466344	13.96292292	13.07611438	12.96060744	13.44882256	12.9143351	14.26222557	999	17.86720056	13.10484	13.38552814	14.1347491	13.49129387	13.7902005	15.5699502	12.47751334	14.76586529	12.19531888	12.98012989	12.91268156	13.51730224	13.3099601	13.13729148	13.13427718	12.90244061	12.75732837	13.26464424	13.25289564	13.77533622	13.88572678	12.98795296	13.44486119	13.45400328	12.85688856	13.91774894	14.12363686	13.00851853	13.96448386	13.82690703	11.75743649	13.31709382	14.13514961	14.07792216	999	12.39873613	13.86930059	14.76101759	12.83770014	12.70075256	15.98808241	999	13.06139761	13.01086686	12.64242086	999	13.14918577	14.68723084	12.21155302	13.05860757	13.45005382	12.7762983	14.54984644
Dnmt1	13.03542066	15.64568402	15.0797212	13.42786723	13.75765862	12.96637342	12.04145078	14.86061534	14.23673374	15.38340281	12.82920672	14.23838505	13.73638677	13.78333548	999	13.54545551	13.90289057	17.23469202	15.49798263	16.87270354	12.99307088	13.67838617	14.55236574	13.49542195	14.29705067	15.14866484	14.45814811	14.77591359	13.94738915	12.28756078	13.13355461	16.46056853	13.09149937	14.77458033	13.56491028	17.82715601	13.76035579	14.05972548	14.58216174	14.46183102	18.41852909	16.95453918	18.7951137	12.99568296	13.86660244	16.73944992	14.06069735	13.94549325	16.57678644	13.11973945	14.47934312	13.28194488	14.22234287	13.59023408	13.9519558	15.49651764	12.7127585	13.5793098	14.25361145	13.14582476	13.78208206	14.30353152	14.96373959	14.90934127	15.86684033	13.08099333	13.21402598	13.52240916	13.46757887	15.57033465	17.43321579	14.20083468	15.90771236	14.43942326	13.6388596	15.53926696	14.66660316	17.44131394	13.27771401	14.68529654	15.75435169	14.42117756	12.83276207	16.89073298	999	14.94431558	13.03485833	13.62987593	18.05312607	13.83264944	15.26327865	13.33711949	13.42815762	14.83899228	14.45950496	13.89612928
Dnmt3b	15.40160705	16.00621533	999	11.31227201	14.96125104	15.55528091	14.8901759	999	17.57254944	17.54272798	999	16.98623014	17.71894042	16.71525216	999	999	14.36252584	16.40706316	999	999	18.13736128	17.48217312	16.78209278	17.4745297	16.43973658	15.88548973	15.68735662	16.69698558	16.49474326	18.42502121	16.64694157	17.79924447	17.50379172	12.03286449	15.75190087	14.17444556	14.92493724	12.34188053	999	15.20068679	999	999	999	13.97485208	15.43004125	17.42482012	999	16.89439324	16.35648883	13.2492401	14.52559845	13.69549272	13.24900803	13.69765318	13.44935762	14.74021189	12.3578157	14.87507772	13.35155998	13.72910659	13.29986943	14.08865933	16.35889363	15.84670585	13.91065461	15.36315584	13.29523908	13.17597882	16.11928518	13.86749539	15.75080923	15.39973956	999	13.31313595	13.64360627	14.06914683	15.31396371	999	14.0258486	13.58450744	16.07117697	14.32706011	13.9885389	16.56593736	999	14.583761	14.53682263	14.00536217	999	15.55517947	15.56022725	12.23837944	12.42996436	14.85541778	13.91975382	14.88403827
Dppa3	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	26.23550855	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.75285737	999	999	999	999	999	999	999	17.74901465	999	999	999	999	999	999	999	999	999	999	18.31550308	999	999	17.78949469	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Dppa4	999	999	999	18.69810302	999	999	999	999	999	999	17.32798222	19.82694027	999	999	999	999	999	999	999	999	999	999	999	999	19.30004888	999	19.57006403	999	999	999	999	19.67308286	999	999	999	999	999	999	20.00462426	999	999	999	999	999	19.28452769	999	999	999	18.31238931	19.90869262	20.81581098	19.99332236	999	999	999	999	20.44917412	999	999	999	19.83654203	999	999	999	20.7930046	999	999	19.70750877	999	999	18.46392878	999	21.23208266	999	999	999	22.45094706	999	999	18.24210609	20.06757102	20.52663987	999	20.44208392	999	20.80025156	999	20.74130862	999	999	999	20.81611085	21.95357451	20.9589411	999	20.35121303
Eomes	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.91372847	999	999	999	16.4807888	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.7710675	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.36820878	999	999	999	999	999
Esrrb	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.51093751	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Ezh2	17.30867127	999	19.08193168	18.25061926	18.36127522	17.53411866	17.42383673	18.25387449	18.24210293	19.10888847	16.33014884	17.73259257	17.91384464	18.97274034	999	18.15299044	19.03416769	19.98740781	999	17.70000181	16.94075705	17.69382458	18.19946594	17.67323839	16.66935127	20.74679195	18.15564446	19.08699656	17.44074622	17.77021853	17.24490348	19.9436042	16.78520674	999	18.35496701	999	19.16147723	19.45507218	17.53828252	999	999	999	999	16.4007777	999	19.21684219	16.49077066	17.65837842	999	16.87659439	19.70111912	999	18.39527578	18.04140384	19.06732226	999	18.25518153	18.33623278	19.97462201	19.23896639	18.15146692	18.25029259	19.03178746	19.33554151	999	18.37824123	18.34284974	18.5084392	19.30157833	999	999	999	999	999	19.06946894	18.9559679	19.62617763	999	17.85337455	999	999	999	18.65781415	999	19.44238654	19.46107779	999	18.32764282	999	999	999	16.93613283	18.10671647	999	19.4086255	18.51199171
Fbxo15	999	999	999	13.5752324	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.52513517	999	999	999	999	999	999	15.44676613	999	16.18378856	999	14.94767686	999	999	999	999	999	999	999	999	999	999	999	999	999	18.85611641	17.48762075	999	999	18.77601774	999	999	999	999	18.69835188	999	999	999	14.23247052	999	999	999	19.41532343	999	999	999	18.86285335	999	999	14.50259254	999	999	999	999	18.80448224	15.24345705	999	999	999	999	999	18.30638584	999	999	17.91317778	999	20.44797612	999	999	999
Fgf4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.81439761	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	15.15992018	999	999	999	999	999	999	999	999
Fgf5	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.39072322	999	17.87460189	999	999	999	17.10450152	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.40524649	18.21918666	999	999	999	999	999	999	999	999	999	999	999	999	18.32462008	999	999	999	999	999	999	999	999
Fgfr2	16.47901412	16.27058255	17.67545615	16.54767365	999	19.82328962	14.80377064	17.1855972	16.65811512	999	17.41813587	999	17.5726678	999	999	17.2290894	16.27629637	18.59478241	17.60110131	17.80545464	16.906546	17.88091764	18.98478194	18.08908391	22.78613659	16.48104281	16.77092896	16.68867114	14.93324748	17.26861505	16.85266308	16.56657914	16.15242835	16.716805	18.72346434	999	18.82450121	15.15209804	19.92603331	18.68331616	16.246895	999	999	999	17.07190747	999	17.76167396	16.64009265	19.20659244	17.54493584	15.99774824	15.46444072	17.08546613	999	18.36770938	16.29231282	15.49617583	16.18367757	16.70837011	17.55237259	17.21485544	17.92775816	15.64134802	17.33202968	17.0256215	18.21144515	15.89138144	999	999	17.12896863	17.62030249	15.62228137	18.97594932	18.83888294	16.45371129	999	17.5860806	999	15.34632967	17.3407321	18.81974424	999	18.65094966	999	999	15.81063695	15.49709817	17.50761195	999	18.80445876	17.28371186	19.0614649	15.65447737	19.01377749	15.51447886	19.15361884
Foxa2	17.14174688	18.33488698	999	14.14873402	999	999	999	999	999	999	999	999	999	19.14660134	999	999	19.27262482	999	18.99252615	999	20.50082805	20.0796924	25.88018542	999	999	999	18.96083657	999	999	999	999	999	999	16.27435575	999	15.58546524	999	15.46072643	999	999	999	999	999	19.81783264	999	999	999	20.05050046	18.37566814	999	999	21.14092286	999	999	999	999	999	999	999	999	999	999	18.14921681	14.96860833	15.66424128	999	21.18888085	19.37839999	999	999	999	19.54421746	999	999	999	15.71704995	999	999	20.48199854	21.38457908	999	15.19079887	19.04870795	999	999	999	999	999	999	999	17.06933532	999	999	999	18.40206638	999
Gapdh	8.83361807	10.77091652	10.22987945	7.987445899	7.32170563	8.882303289	8.038443129	9.546874601	9.459037122	9.911956659	8.652409495	9.158030174	8.032114569	8.9256477	16.13643047	9.579285427	8.399314488	9.881823447	9.795159907	12.08039236	9.811717855	10.42091892	9.715994569	10.57486751	10.55026681	10.30406095	9.211450025	9.94460107	9.716445415	9.719176606	9.195559152	9.32391103	10.04603629	9.681175369	8.741753467	10.06729274	8.736039275	9.206908498	9.727145092	8.607846767	11.341294	15.05918349	15.62074248	8.953110167	9.91442083	12.98353704	9.591065018	9.569170811	10.63315646	8.616014633	10.03348818	9.083105779	9.391623615	9.773215321	9.524037399	9.126229635	9.563915778	9.260590718	8.698610921	8.509020413	8.80947018	9.282246149	9.010838636	9.63764534	9.973696674	8.675471767	8.671223638	8.726053278	10.19222538	9.72490274	11.10769059	9.533487117	11.13095816	9.130051169	8.192358434	9.457401248	9.652427381	16.9091884	8.819400375	9.783318886	11.1905378	8.693523779	8.716785357	10.80933501	15.73147338	10.44826153	8.81298269	8.750135971	16.14939577	9.486731826	9.69623229	8.569556464	8.842898432	9.780070016	8.98437296	10.10578073
Gata1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	26.05364924	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Gata4	999	999	999	11.24322994	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.62003606	19.1963151	24.2295456	999	22.79329091	999	999	999	999	19.1346876	999	999	999	15.70035369	999	999	999	15.62395398	999	17.1793299	999	999	999	999	999	999	999	25.27029319	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.35916168	999	999	999	999	999	999	999	999	999	999	14.04700583	999	999	999	999	999	14.0258568	999	999	999	999	999	999	999	19.45824162	15.03579398	999	999	999	999	999
Gata6	999	999	999	14.41997516	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	14.93540316	999	14.97472847	999	14.69496457	999	18.54739496	999	999	999	999	999	999	999	19.2856823	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	14.9492333	999	999	999	999	999	999	999	999	18.45006056	999	15.18699249	999	999	999	999	999	14.35628828	999	999	999	999	999	18.95358146	999	17.58904449	999	999	999	999	999	999
Gdf3	999	999	999	999	999	999	999	999	18.6286558	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.33199107	999	999	999	999	999	999	18.28440711	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.86845348	999	999	999	999	999	999	999
GFAP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Gli2	17.98977055	18.94671596	18.99489711	999	999	17.90329362	19.06196011	18.56908372	17.35297539	19.93250107	20.69302213	17.90206232	999	19.07929156	999	999	19.54045211	21.95174542	999	999	18.31963615	19.11371212	999	999	999	999	999	18.62479278	999	999	18.74040325	20.74188246	19.13016763	999	16.96221881	999	17.51627787	999	999	19.41740593	19.18951044	999	999	18.85079268	17.45808176	999	20.3013466	21.14499539	19.10737506	999	999	19.31479548	999	18.38281409	19.11924135	999	999	999	999	16.76321118	999	19.59382523	19.54574457	999	999	19.41769	18.62286758	999	999	999	19.38049673	20.62615388	999	18.28440836	19.78888148	999	999	999	18.98997456	999	999	999	999	999	999	18.67224089	18.88754233	999	999	19.34526987	999	18.71777004	999	999	17.78637575	19.17713614
