Genes	E14tg2a-168h 1A	E14tg2a-168h 1B	E14tg2a-168h 1C	E14tg2a-168h 1D	E14tg2a-168h 1E	E14tg2a-168h 1F	E14tg2a-168h 1G	E14tg2a-168h 1H	E14tg2a-168h 2A	E14tg2a-168h 2B	E14tg2a-168h 2C	E14tg2a-168h 2D	E14tg2a-168h 2E	E14tg2a-168h 2F	E14tg2a-168h 2G	E14tg2a-168h 2H	E14tg2a-168h 3A	E14tg2a-168h 3B	E14tg2a-168h 3C	E14tg2a-168h 3D	E14tg2a-168h 3E	E14tg2a-168h 3F	E14tg2a-168h 3G	E14tg2a-168h 3H	E14tg2a-168h 4A	E14tg2a-168h 4B	E14tg2a-168h 4C	E14tg2a-168h 4D	E14tg2a-168h 4E	E14tg2a-168h 4F	E14tg2a-168h 4G	E14tg2a-168h 4H	E14tg2a-168h 5A	E14tg2a-168h 5B	E14tg2a-168h 5C	E14tg2a-168h 5D	E14tg2a-168h 5E	E14tg2a-168h 5F	E14tg2a-168h 5G	E14tg2a-168h 5H	E14tg2a-168h 6A	E14tg2a-168h 6B	E14tg2a-168h 6C	E14tg2a-168h 6D	E14tg2a-168h 6E	E14tg2a-168h 6F	E14tg2a-168h 6G	E14tg2a-168h 6H	R1-168h 1A	R1-168h 1B	R1-168h 1C	R1-168h 1D	R1-168h 1E	R1-168h 1F	R1-168h 1G	R1-168h 1H	R1-168h 2A	R1-168h 2B	R1-168h 2C	R1-168h 2D	R1-168h 2E	R1-168h 2F	R1-168h 2G	R1-168h 2H	R1-168h 3A	R1-168h 3B	R1-168h 3C	R1-168h 3D	R1-168h 3E	R1-168h 3F	R1-168h 3G	R1-168h 3H	R1-168h 4A	R1-168h 4B	R1-168h 4C	R1-168h 4D	R1-168h 4E	R1-168h 4F	R1-168h 4G	R1-168h 4H	R1-168h 5A	R1-168h 5B	R1-168h 5C	R1-168h 5D	R1-168h 5E	R1-168h 5F	R1-168h 5G	R1-168h 5H	R1-168h 6A	R1-168h 6B	R1-168h 6C	R1-168h 6D	R1-168h 6E	R1-168h 6F	R1-168h 6G	R1-168h 6H	
Cldn6	24.34078844	10.41517721	999	19.12538283	14.04524312	16.32284281	999	999	18.16621993	999	999	999	999	999	999	17.19087312	999	999	999	18.55111929	13.67222344	26.13237657	999	999	17.63597425	18.36615182	15.72064202	999	999	999	999	999	999	17.44713062	17.67954699	999	999	18.33649314	14.69007771	999	999	999	999	999	999	999	999	999	14.44850484	18.15631567	12.81070092	12.44365854	12.36183755	17.20519888	16.51820374	13.34700654	18.4326377	13.5042221	12.87455069	12.25798933	13.72095281	999	13.13497932	13.41531066	14.06250979	12.31991547	12.76204679	13.70208148	999	12.6408046	19.00708748	13.65375722	18.73295917	18.44783434	13.61273204	13.94348655	17.71629895	14.81292675	17.80272676	18.74614508	11.50471746	999	16.88218749	12.17718763	12.21414835	13.06027938	999	19.55914416	13.29803712	13.94794031	13.1837926	12.86338362	18.62971435	999	12.40359344	13.99249746	
Ctcf	16.9387858	15.05814228	18.89492429	17.45504953	16.79426617	15.31519465	15.50596481	17.07023208	16.74777243	15.68195068	16.74991904	16.19801396	17.02529525	18.68909841	17.03673415	16.55092943	15.85752558	16.49673498	15.88313041	999	16.04345648	999	16.02431416	16.30244465	18.61756659	17.74860645	15.08369364	16.5651817	17.16805761	999	19.53189308	17.00561193	16.24174882	16.99720802	17.34387469	19.02628793	999	16.89944076	16.25568237	15.19593054	15.45415203	16.05420449	16.5415303	17.11807733	999	16.95988058	999	17.31835544	16.95615321	999	16.42727705	15.95489225	17.21311785	14.71435836	14.29552852	17.09606927	19.7351362	999	17.95328659	16.6296465	17.43528125	14.60349761	15.0488572	16.08942608	16.99597079	15.35944316	16.62754969	20.47714466	999	15.80734586	14.77612031	15.02941012	14.75748452	16.81934369	16.04962183	14.86228023	15.12434442	14.69454636	18.70697924	14.98336666	14.4289206	16.0770703	14.3518275	14.91124523	16.34681921	14.99949239	999	21.91903172	15.08252756	16.59751905	16.63327722	16.82311985	17.66237042	15.27925482	17.1785202	19.37006652	
Ctnnb1	15.52039934	12.66455956	15.65512092	14.63953358	15.34768097	13.14174748	14.29525307	15.2314124	14.67915848	13.05001665	12.95306868	15.73587976	15.26924057	16.23228667	14.57416743	13.05744317	15.08789447	17.18415745	13.74864598	15.00245913	14.27816984	18.38667668	14.9020249	15.11369335	15.08777846	14.78457197	13.55436097	15.96261933	13.53503681	999	15.76846318	15.61572212	13.93888947	14.53865615	15.56319318	17.77064373	14.57839458	15.9444485	14.90184552	14.35019297	15.32018964	14.6011399	15.62230145	15.18736623	15.26650653	14.3339876	13.85905856	15.30426344	14.91849172	999	14.56228833	13.6743351	13.50561719	13.88588318	12.41274166	13.12507431	18.17273101	13.80858589	13.35196362	13.61970779	13.43967679	12.44241797	13.2177188	14.2022811	14.12507979	12.97871542	14.0614354	13.70811384	999	12.62071024	13.53240984	12.90965585	13.00397769	13.29022461	13.39304575	12.82429498	13.11555017	12.86514346	14.47336837	13.45793892	11.87752095	13.22380806	12.7439075	12.08214831	13.36110461	13.88597237	999	12.93562788	12.63130074	14.4673298	13.50340362	14.45470676	14.48816237	13.4823879	13.28649423	13.61330481	
Dnmt1	14.22694225	14.70328692	17.68798712	16.00954523	18.54538902	13.50639687	15.53166355	15.70349947	16.72656982	13.41763125	13.72106986	18.27968427	17.81763157	17.39809471	14.76251298	15.81234925	15.38121488	16.95958282	14.53053567	18.03376962	17.14950634	999	14.25892214	16.86326315	999	16.80525723	14.02300777	999	15.11935481	999	15.70351471	18.05884861	15.01015453	14.61586074	999	15.94143479	17.27918861	15.75636456	15.55754479	14.64049317	14.05039788	14.13035737	16.09924494	15.92166323	17.94283337	14.81831475	14.70272966	16.58995733	14.89654255	999	16.43108594	14.34147519	15.92508397	11.87125886	13.17231661	16.18188329	999	14.80713604	13.9138531	15.66227716	14.54246692	12.82579727	13.14392178	16.16629726	16.56317757	14.2540453	15.19022209	13.81574271	999	13.18368313	13.59897734	13.61550256	13.76703213	13.67470335	14.53983785	13.80603711	14.93296501	14.84036835	18.169817	13.28427086	12.92479979	14.53063491	13.60683515	12.18042794	13.1168992	14.12931035	999	14.76130291	12.93220257	17.65676214	14.74065391	14.60029975	15.46947469	13.48969803	13.92113652	17.22042579	
Dnmt3b	999	999	999	14.08228763	999	16.69490772	17.61834902	18.06032973	15.59671833	17.38959173	999	999	999	999	17.35724662	999	999	999	999	999	17.45831666	999	17.48240852	999	999	999	13.98173006	999	999	999	999	17.55184406	999	17.58248569	999	999	999	999	14.763414	17.04916576	999	999	999	999	999	17.17478972	999	999	15.82904627	999	17.83726657	13.94244832	14.98562896	17.52860881	14.92829887	15.9742341	17.95163924	15.0144053	15.40868144	15.68459232	14.35580756	16.3658499	14.54375537	15.55542057	16.75101919	14.86876457	14.55189942	15.20886148	999	15.14954289	15.71811773	13.63577996	15.04862903	17.69343466	13.31146513	14.46239626	16.61852918	14.76473957	999	999	13.53271614	15.91561679	14.96610031	13.31919998	14.42663062	14.73742272	999	16.17075296	13.73948377	17.57406721	14.64549404	16.02831747	17.51429745	14.97578282	16.40647223	16.64587337	
Dppa3	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	25.99817444	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.93090173	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Dppa4	999	999	999	999	999	20.65786266	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	20.67591956	19.93474875	999	999	999	19.66490493	20.65797022	999	999	999	20.94198735	999	19.6115933	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.44295861	999	999	999	999	
Eomes	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.03472337	999	999	17.07782749	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.50143604	999	999	999	999	999	999	18.2668935	999	999	999	999	999	999	999	999	999	999	
Esrrb	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.25718849	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Ezh2	999	25.3341288	19.56433617	18.44760462	19.30622613	17.03748872	999	20.4308012	999	19.23159576	999	19.588687	18.55401502	999	999	17.40917854	999	999	18.9165721	999	999	999	19.90670701	999	999	999	999	18.1961954	999	999	18.93636437	999	18.88869889	999	20.18584659	999	999	999	999	999	19.28737926	18.45563556	999	999	17.78943968	18.81271751	999	999	999	999	999	18.58334492	999	17.96296592	18.98672178	999	999	999	18.36229291	18.5496401	20.1481633	17.39439182	17.18504345	999	999	17.28501772	999	19.3656638	999	19.39406166	19.87004816	19.06504735	18.88091524	19.49580013	18.35556201	19.29601192	19.10542322	18.91071644	999	17.10285403	19.28501388	999	17.51308695	18.40339186	17.92489196	19.30078345	999	17.77862277	17.93501228	19.04645372	999	999	999	19.26909015	18.6099199	19.70873326	
Fbxo15	999	14.33119509	999	14.74925439	14.82167431	999	999	999	16.29530296	999	999	999	999	999	999	999	999	999	999	999	16.93237784	999	999	999	999	19.03895594	13.6771479	999	999	999	999	999	19.33462011	14.5950079	999	999	999	999	14.5994402	999	999	999	999	999	999	999	999	19.44046798	999	999	999	999	999	999	999	999	999	15.8295156	999	999	999	18.47224812	999	999	18.59635707	16.81190496	999	999	999	999	999	999	999	999	999	999	999	999	17.73004003	999	21.60675422	999	999	999	999	17.72446614	999	999	999	999	999	16.61537575	999	999	17.68612628	999	
Fgf4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.48029163	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Fgf5	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	20.44305587	999	999	999	999	999	999	999	999	999	999	999	999	999	
Fgfr2	999	999	999	999	999	17.22607558	18.49351316	999	999	16.68416202	18.309955	999	999	999	16.55138607	18.97637588	999	999	19.56707228	999	17.82959027	999	16.07472517	999	999	18.65406224	999	17.48282821	999	999	999	21.07987212	999	999	999	999	18.78867947	999	18.51106656	16.93359506	18.37409974	17.47155657	999	999	999	999	17.74392802	999	18.67304806	999	18.2476821	999	999	15.62325673	16.8072576	17.95027936	18.43131177	999	16.74840843	18.59811455	15.86923764	16.35285553	17.78044789	16.25496514	17.61497017	999	16.42509313	17.61165636	999	15.88862545	16.75583611	999	18.6310413	999	16.98550596	15.39769129	14.49200157	16.37421264	999	16.54217979	14.21615545	999	17.7775253	16.28169106	16.51254966	17.89978526	999	16.73759673	17.49605849	999	19.34796973	16.90007962	15.34356944	17.06691877	16.72303282	999	
Foxa2	999	15.26089439	999	15.08049902	14.73786924	18.92400409	20.94748853	999	16.63906091	999	20.18513956	999	999	999	999	999	999	999	999	999	16.15670806	999	999	999	999	24.23778281	13.53563462	999	21.20789848	999	999	999	999	15.46210099	999	999	999	999	14.1062679	999	999	999	999	999	999	999	19.87883231	999	21.21088601	999	21.15623424	999	999	999	20.08921279	999	17.76489655	16.18780586	999	19.47145119	999	17.29165763	18.38827841	18.61467202	999	16.04485116	999	16.87698852	999	17.73753646	999	17.90751138	18.24193036	20.50176506	999	999	999	999	15.47641372	999	16.79396678	19.51191675	999	17.31541052	18.38443021	15.95641032	999	14.73107406	999	999	999	16.2291901	999	16.97050098	15.20185366	15.07727923	
Gapdh	11.07744991	8.648093277	12.06081399	10.54031859	9.936191044	9.694505039	9.991614087	13.60070663	11.01684259	10.19712633	10.87781057	13.66754435	12.85238158	11.58022383	10.51381503	10.21972109	11.11540689	11.98598514	10.95467314	14.07598448	10.94215277	15.44429089	10.72108983	13.21417625	12.30575407	12.34235464	10.55208968	13.04124058	9.619785742	14.78530767	13.98770468	12.81271746	10.77144942	10.76065603	11.28767416	11.78774334	13.52266332	10.99276638	10.22400144	10.45486223	10.60999764	12.08611639	11.63556555	12.48112531	13.18173616	11.15941152	11.56981503	11.94869311	10.84950474	14.79007618	10.16243576	8.979037996	9.315895071	8.987539082	8.461137171	10.47895012	11.72128921	10.39640417	9.390292658	10.61036356	9.773628843	8.791088072	8.831984038	9.464148634	10.49992376	9.046471713	9.462038253	9.611747378	999	8.625276864	9.277170491	8.033214009	9.04811672	9.542087082	9.142543344	9.323324965	9.50471801	9.386638619	9.757862962	9.457446118	8.209865439	10.27787991	9.321100421	8.848762115	8.663064649	9.82810057	999	8.293272772	8.3611404	11.58335261	8.986648259	10.27002011	9.922563507	8.744705478	8.583793783	9.584170161	
Gata1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Gata4	999	16.95128559	999	13.65325148	13.24027244	999	18.35352177	999	18.19336852	999	999	999	999	999	999	999	999	999	999	999	13.92438452	999	999	999	999	24.31603426	12.84558713	999	999	999	999	999	999	16.66567813	24.60199063	999	999	999	999	999	999	999	999	999	999	999	999	999	24.9217602	999	27.35424403	999	999	999	999	999	999	18.96398272	999	999	999	999	999	999	999	14.76383528	999	999	999	26.28644018	999	999	999	25.52378253	999	999	999	999	26.89992706	999	999	999	999	999	999	17.74468296	999	999	999	999	26.30623424	25.58996896	17.90547847	999	13.519689	14.35970548	
Gata6	999	14.3716434	999	14.84712684	15.04075814	999	999	999	15.23526124	999	999	999	999	999	999	999	999	999	999	999	17.88509953	999	999	999	999	18.98099254	13.52950957	999	999	999	999	999	999	13.84996274	999	999	999	999	14.79581638	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.75324609	999	17.90177815	999	999	999	999	999	999	999	17.01694215	999	999	999	999	999	999	999	999	999	999	999	999	19.00136953	999	999	999	999	999	999	15.64739032	999	999	999	999	999	16.77646139	19.30964816	999	15.85294561	17.31102751	
Gdf3	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
GFAP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Gli2	999	999	999	999	999	19.3362413	999	999	999	19.84013571	999	999	999	999	19.34046521	19.71048884	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.5572857	999	999	999	999	999	999	999	999	999	23.09744297	999	999	999	999	999	999	999	999	999	999	999	999	999	999	22.18773322	999	20.62165356	19.9099983	21.87189567	25.08629856	999	999	999	999	999	19.91711742	999	999	999	19.51690571	999	999	20.09179157	21.54503945	999	999	999	19.55758622	20.42914871	999	999	
Grb2	17.27627822	14.62007396	18.36721138	17.19262359	999	18.57684007	15.52567583	999	17.64802733	18.22015184	999	18.50888788	17.26603549	999	17.9943399	999	17.27545639	999	999	999	999	999	999	16.88001133	18.50357019	999	17.84302131	999	18.30212855	999	18.11074904	18.07940991	16.4582481	999	999	17.20957016	18.16565273	999	18.04420524	17.73611195	999	999	999	999	999	16.81770716	18.34090126	17.20117415	999	999	17.45057499	999	16.05378106	17.19806092	16.63767746	999	999	999	17.56982042	16.81897647	16.95697016	17.69521337	17.75261686	999	18.49532458	17.98403101	18.21906408	999	999	16.76241859	999	16.27129984	18.3257276	999	21.64392618	17.36975821	17.17318002	17.38477612	17.3721441	16.74984267	16.51480426	21.10640039	18.31423886	17.42812079	16.28264647	18.22920008	999	18.68914871	16.82932899	18.37016475	18.18539978	999	17.52463121	18.62637191	18.2448107	999	
Gsc	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.99875085	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
