Genes	E14tg2a-48h 1A	E14tg2a-48h 1B	E14tg2a-48h 1C	E14tg2a-48h 1D	E14tg2a-48h 1E	E14tg2a-48h 1F	E14tg2a-48h 1G	E14tg2a-48h 1H	E14tg2a-48h 2A	E14tg2a-48h 2B	E14tg2a-48h 2C	E14tg2a-48h 2D	E14tg2a-48h 2E	E14tg2a-48h 2F	E14tg2a-48h 2G	E14tg2a-48h 2H	E14tg2a-48h 3A	E14tg2a-48h 3B	E14tg2a-48h 3C	E14tg2a-48h 3D	E14tg2a-48h 3E	E14tg2a-48h 3F	E14tg2a-48h 3G	E14tg2a-48h 3H	E14tg2a-48h 4A	E14tg2a-48h 4B	E14tg2a-48h 4C	E14tg2a-48h 4D	E14tg2a-48h 4E	E14tg2a-48h 4F	E14tg2a-48h 4G	E14tg2a-48h 4H	E14tg2a-48h 5A	E14tg2a-48h 5B	E14tg2a-48h 5C	E14tg2a-48h 5D	E14tg2a-48h 5E	E14tg2a-48h 5F	E14tg2a-48h 5G	E14tg2a-48h 5H	E14tg2a-48h 6A	E14tg2a-48h 6B	E14tg2a-48h 6C	E14tg2a-48h 6D	E14tg2a-48h 6E	E14tg2a-48h 6F	E14tg2a-48h 6G	E14tg2a-48h 6H	R1-48h 1A	R1-48h 1B	R1-48h 1C	R1-48h 1D	R1-48h 1E	R1-48h 1F	R1-48h 1G	R1-48h 1H	R1-48h 2A	R1-48h 2B	R1-48h 2C	R1-48h 2D	R1-48h 2E	R1-48h 2F	R1-48h 2G	R1-48h 2H	R1-48h 3A	R1-48h 3B	R1-48h 3C	R1-48h 3D	R1-48h 3E	R1-48h 3F	R1-48h 3G	R1-48h 3H	R1-48h 4A	R1-48h 4B	R1-48h 4C	R1-48h 4D	R1-48h 4E	R1-48h 4F	R1-48h 4G	R1-48h 4H	R1-48h 5A	R1-48h 5B	R1-48h 5C	R1-48h 5D	R1-48h 5E	R1-48h 5F	R1-48h 5G	R1-48h 5H	R1-48h 6A	R1-48h 6B	R1-48h 6C	R1-48h 6D	R1-48h 6E	R1-48h 6F	R1-48h 6G	R1-48h 6H
Cldn6	14.50234344	17.39485078	14.40012022	15.93197916	999	15.80626592	13.92191124	17.20890019	14.11666005	13.74364738	16.80244368	15.26777666	15.56522912	15.32231992	999	16.1831866	15.38995269	14.9346218	14.88680169	14.6906603	15.49530261	17.42665337	999	15.11539748	18.55867284	14.34480363	14.19809167	13.89851258	16.39634022	16.23368682	14.03130377	15.09371522	16.49770693	15.72612551	16.5470507	14.90170078	15.25482626	16.99070659	15.06832524	16.41216463	16.10084109	16.70267832	14.19964455	15.6800098	15.69359704	16.2095178	14.70544365	999	13.71658955	16.30534654	13.9586506	999	14.81778353	13.98032957	14.61642322	13.04801182	14.52413672	14.14770544	13.81326201	15.6552358	13.76781153	12.80325365	17.12334064	11.30394364	12.28867642	12.5785937	13.04906518	13.25300882	15.14711502	15.07517673	13.74309648	13.21719299	999	21.08095815	13.79251193	14.66163363	12.65596386	13.951199	12.65974204	13.45393901	13.60405158	13.77957141	14.49100941	13.45891077	14.12741669	15.70658502	13.33552789	14.59338879	11.7592718	13.75431148	14.63462341	14.42354568	14.60734195	10.44205049	15.70348662	13.8271364
Ctcf	13.64884002	14.31115589	12.70949014	13.7313412	999	13.89292477	16.11082317	999	14.33729779	13.85340628	15.39726962	14.76548024	15.98450789	13.88335872	999	15.55266878	13.93171509	13.63954186	14.02226528	14.45890579	14.19594483	13.95856508	18.95819817	14.56701513	13.47928673	14.74860461	14.23064121	13.85510049	14.55215722	999	14.87446356	13.86781952	15.18393485	15.41141986	15.34495643	13.73508711	14.4929752	13.93919839	13.8950166	14.11558604	12.58870788	13.40978318	13.6644537	13.85574755	13.9436716	14.50940086	14.12547534	14.15193013	14.38338838	16.23136989	14.34388595	999	14.28996418	15.6168564	14.96834199	15.16030989	14.88494588	14.99419918	14.90854302	15.841155	14.17505809	13.94581188	17.30875546	11.62223106	13.68565689	13.03062931	15.4381655	14.94126584	15.63237465	13.87542809	14.88254869	14.88591398	999	17.59167278	15.98442607	15.14414053	13.63251895	15.05471245	13.40560016	14.86422873	15.04174118	13.60226662	14.12513388	15.40927299	15.40293801	14.88027287	14.79613948	15.80328235	14.8511226	15.54645602	14.49979929	14.51814155	14.94637924	11.55169256	14.86063258	14.5934845
Ctnnb1	11.6862854	12.86241423	11.73468558	12.49636781	999	11.78983204	12.74075398	20.61950316	13.3762547	13.01865925	12.21350116	13.55348392	13.34877549	12.4962469	999	12.129236	12.93610963	11.74434123	12.11040411	12.0423801	12.40065533	12.96865186	14.90107623	12.39296669	11.91397922	12.94145041	11.75091589	12.33163257	12.04143317	14.97452455	12.97629693	12.71422993	12.59979183	12.40334726	13.69999966	12.37495665	13.15314956	12.9281616	12.00863271	13.21408642	12.43581035	11.8507785	11.91337879	12.74026985	12.91587761	12.44496303	12.1736537	13.08432863	13.52459993	15.17058188	13.5767274	999	13.27955417	13.78427448	13.73890509	12.87249251	12.69153772	12.31546799	13.28294309	12.95116117	12.50772852	12.63308333	13.67507066	10.34097312	12.81969375	11.56058371	13.62503471	13.22884072	13.43673698	11.41922618	13.06199295	12.05539639	999	16.63223547	13.08487885	13.21615239	12.33150326	13.50149906	11.87379797	13.85681076	12.63498922	13.38946715	12.05878113	13.68137831	14.26892338	12.98672081	12.31055192	13.61895731	12.85556327	13.84099183	13.22985376	12.32727863	13.00382711	9.691083706	13.09894372	13.41524793
Dnmt1	12.31485932	13.43147009	11.81145326	12.11011533	999	12.54801088	14.35840092	16.4679782	13.28057817	12.37328111	13.54537949	13.71862078	13.71499537	12.85204595	999	12.76356963	12.87181608	12.78487406	12.84261464	13.44731769	12.43315668	12.65101195	14.95186642	13.50085797	12.76488029	13.04170083	12.30790903	12.45353622	12.52938639	15.7964985	13.34727502	12.82768117	13.34457505	14.44704104	13.75191929	12.77072347	13.54088603	13.06719048	12.89008956	13.65245901	12.82136042	12.42431263	11.80280472	12.55669183	12.76122024	13.28284113	12.84631498	12.64318871	12.99192701	14.57448	12.52259083	999	13.21969286	14.57036182	12.89780296	12.98247901	13.09504432	13.12972298	12.8518025	13.82034514	13.39639778	11.93719479	13.26958939	10.20988634	12.72651134	11.98025852	12.62870263	12.93687594	13.27649294	12.23632036	13.00381187	13.06414347	999	15.92420194	13.56495536	13.44578752	11.94855238	13.5688737	11.96829541	14.13338352	13.04696856	11.69640902	12.20218925	12.61226728	12.85798538	13.9838492	12.55207886	13.47340869	13.36761817	13.07515489	13.79689806	12.46498598	13.41020584	9.731528942	13.98539833	12.80182295
Dnmt3b	8.704727826	9.610348972	8.087541361	8.807894087	17.48862812	8.712695372	11.49375973	15.33099039	11.76742488	12.51595624	13.33187144	15.63562829	12.81576225	9.894612962	999	12.19983316	9.254388186	9.883047918	8.420863821	9.754870518	8.662479283	9.283694177	11.82814615	15.57607252	10.40302577	9.196675914	8.853656758	10.44432075	8.892171664	14.03969676	12.68510471	9.774083133	12.40967065	13.90792599	11.80681822	9.948779998	11.89024463	11.67545199	11.84286682	11.9985995	9.394377188	7.818591438	8.43566477	8.679484542	9.963889646	11.57148254	8.32746911	14.59092759	8.991848104	11.62131211	9.162859791	999	10.37712447	9.723029145	9.424369596	9.413831	10.04467025	9.410798498	8.751459051	10.21928698	9.439511278	8.660333177	10.33866079	6.129460143	8.295243553	7.878022883	10.93863056	10.43245712	9.825304056	9.372934482	10.95992011	9.688103155	999	13.49880048	11.89632858	10.2028867	8.663442705	10.48465464	8.731912659	9.763053323	9.448181509	9.621882984	8.966617941	9.530514808	9.821930508	9.633038791	9.973406979	10.72812733	10.58338645	9.235930863	9.836760332	9.431409748	10.40595195	6.487741286	10.34139799	10.236588
Dppa3	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	15.84241848	999	999	999	18.13335706	17.85177686	999	999	999	999	999	999	17.76846917	999	999	999	999	999	999	999	999	999	999	999	18.97493434	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.90789371	19.42335686	999	999	19.42264318	999	999	18.72213958	999	999	999	16.6475606	999	999	999	999	17.94077081	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.90202866	999	999
Dppa4	16.60955631	17.27362433	15.17915629	16.0368019	999	15.57410074	15.84067144	20.48587555	16.72771397	16.25677578	16.93326962	18.67310412	17.44563402	15.99423278	999	16.61495782	16.21688659	15.48598124	16.31729925	16.16852353	16.84363453	15.28135165	18.06847399	16.59753675	15.83560838	16.05500726	15.94317481	15.62006697	17.72238494	16.91831903	16.88183397	16.94693577	16.95750902	17.09257233	17.2002001	16.18187233	18.55986084	17.50812426	16.12187879	17.41108382	14.94301551	15.93472109	16.23659209	16.55293983	18.61390949	15.64672938	15.89447618	16.68398551	17.760667	17.78012114	16.26850728	999	19.0522765	17.92534308	16.47092732	16.21507056	17.09052087	15.26429316	17.16023436	16.93284042	16.11864284	15.57599509	17.43493193	13.6353089	15.46433523	15.96930169	18.68473192	17.94311064	19.16187256	17.1525424	17.04662915	16.66728268	999	18.23618408	16.56483267	17.05011605	15.63238101	16.47598105	15.30523243	16.85680843	16.1891094	15.98183794	15.929571	17.00021656	16.54553733	16.56732782	15.76714358	16.39706787	18.00399872	16.70648222	15.74789976	16.79306533	17.93571674	13.32848599	16.44118947	17.45237637
Eomes	18.26496072	17.54325975	17.46650779	18.42790849	999	15.57395124	999	999	999	999	18.24567446	18.65218033	17.68425511	999	999	17.24742378	999	16.56524717	18.66954212	999	15.90607171	999	999	17.98137448	999	17.54917309	17.30288405	999	15.46350129	999	17.10807754	999	15.41029824	999	999	999	999	999	16.29393583	999	999	15.94122531	17.27217641	18.00616368	999	18.40933141	999	999	18.61413682	17.35788296	999	999	18.34356858	16.10761931	999	16.79587925	999	999	999	17.20198876	20.2937618	17.77532081	999	16.25673113	16.29977331	18.13323332	999	999	17.11648562	18.33917847	999	999	999	999	16.2256683	17.25185734	15.34892296	18.22733148	17.96904501	18.70601642	16.48901065	17.22113666	17.21091323	16.40307544	999	18.25454137	14.94916249	999	999	999	18.0571569	16.93276974	18.30037256	13.4389021	999	999
Esrrb	999	999	999	15.70323434	999	999	999	999	999	18.03358552	16.34543407	999	999	999	999	15.54950237	999	999	999	999	999	999	999	15.31764739	18.19419413	999	999	999	999	999	18.05315092	999	999	17.73256773	999	17.70812571	999	999	17.43264471	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.12380475	17.93156472	999	999	999	999	999	18.17802031	999	999	16.8761316	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.82973557	999	999
Ezh2	16.80078015	19.60079054	15.80287206	17.08152137	999	17.64618702	20.11785053	999	18.22328279	19.85540134	16.59163417	999	18.2340029	999	999	17.13125124	16.99117042	17.24924219	19.22102034	18.24318089	19.08525655	18.37814917	20.26767812	999	16.01451405	16.46251707	18.01746882	15.72948248	999	999	19.13693341	18.01279843	19.0030404	999	999	19.17468725	19.62515635	18.09624517	18.75457459	999	17.9562034	17.44279702	17.30044002	19.02555813	17.98679078	19.84992638	18.84299318	999	17.37520351	999	18.00061572	999	17.21561003	19.29284735	999	999	17.58994884	18.18454316	18.7416418	19.30270623	18.32246408	18.20769308	18.43266218	15.13246364	17.51643324	19.18934587	19.18926761	16.97825174	19.19943698	19.32770227	18.32409152	17.35487567	999	999	18.97783952	18.9657506	16.51823304	16.68130879	17.39306138	18.9959026	19.16821683	16.67912588	16.37464999	17.78798016	19.23076747	17.43233956	999	18.94875553	17.91388851	999	17.95362554	17.32174329	17.90117184	15.24562448	19.3021693	17.78815177
Fbxo15	16.69311158	17.02756346	15.19636079	13.83038639	999	18.27637578	14.65616364	999	17.05736737	16.5342341	13.42713152	17.52032263	13.81070565	18.47906125	999	11.05192508	999	999	25.04520534	20.54724222	999	999	999	14.50086971	14.61027402	16.41781788	15.97357062	17.48647579	18.27511467	999	15.5052558	999	999	14.98519852	17.86402047	15.918939	15.89837061	15.76664099	13.61754329	15.53716895	15.85540944	19.33687087	14.50309883	18.6264381	18.21726699	14.28025481	15.92595618	17.65500011	999	18.03238656	16.45621103	999	999	999	15.66832677	18.86508007	14.54504132	15.03836304	18.59327859	14.13569428	999	15.21262132	17.59604135	13.6008671	999	17.7716474	16.79588769	999	17.72917263	18.06400887	15.87945148	999	999	999	14.5809857	24.04784968	999	17.79566105	18.24592279	16.11311725	15.65860478	15.59586786	15.61464236	999	17.81060281	17.45683607	18.56706575	19.34677217	14.71903846	17.47737282	18.81339027	14.09282086	999	13.29919674	999	18.65644733
Fgf4	12.97624727	13.91695376	13.40393017	14.1434508	999	12.8412083	16.70451179	999	999	15.41270622	16.71233719	999	999	15.37968056	999	14.73107065	14.54096333	15.03202095	15.06093235	16.21067356	14.66339903	14.36053637	999	999	14.85065084	11.96034249	13.17551936	12.78439174	14.68322437	18.07246087	13.68494546	14.67192245	12.87521432	999	999	13.4121812	14.7671833	18.18763592	15.44088885	14.13949492	13.73741753	12.82564825	12.89651387	14.13097138	12.9786146	12.63688307	12.6301775	17.98146902	13.55015168	17.17306995	13.19246492	999	15.7653651	14.70481829	15.39207786	13.43062568	15.80737447	14.27471911	15.22477598	13.06186521	14.48802035	13.00948764	15.96745217	12.10538533	12.4198008	12.58989912	18.27968829	18.24251136	14.02953753	13.57568612	16.90802432	15.70873505	999	999	24.5888978	12.94209891	12.51885664	14.79065215	13.4149519	13.48526822	13.51430207	12.8600997	14.78155599	14.32840705	15.06522505	15.81757636	12.46308619	17.88752793	999	15.1798987	14.57626901	14.96464354	15.45024147	11.3729869	14.00230999	16.794606
Fgf5	18.25707234	15.50877506	14.06547053	999	999	13.99324828	999	999	14.21612339	999	17.21326089	18.48343806	15.67099368	13.80627728	999	999	13.94823488	15.1712028	13.82361369	14.5473574	15.40947736	14.75706676	18.33886702	999	15.40207225	15.59460987	16.12669933	15.12335319	14.74186949	999	15.80468829	14.01083356	15.5743375	999	15.69119025	14.00385441	19.00731369	16.24803516	999	999	13.91934872	13.86897873	14.86468538	14.88549021	14.88213653	15.99218447	13.84341693	16.80805916	17.6459675	18.439361	14.44949155	999	13.88377054	15.92145209	18.02840666	15.36220266	15.44027252	999	15.11319381	16.9269132	14.11197672	13.9491843	17.31051988	12.29725	15.45438461	13.88567362	18.90676357	17.26406735	16.72078542	13.80968854	16.84547286	14.32906574	999	17.41430396	999	15.36492857	13.41715032	18.55933559	13.90853937	14.588353	14.86824619	13.84442979	24.78646737	16.85594385	17.94463439	16.57042946	13.86163234	14.50360421	999	18.59173354	13.45543914	15.36747733	14.50113801	12.44583588	14.83650548	15.73012029
Fgfr2	19.67239876	999	17.00684541	17.3028817	999	16.89295712	999	999	999	999	17.1523348	999	16.37205482	17.79375865	999	16.62884802	18.77347945	17.64960158	20.72692884	19.60033131	18.61006564	17.37144101	999	16.82633906	17.38603747	18.54422626	999	17.18236185	17.15996643	999	18.56640439	18.35441224	19.37572162	999	16.6272764	16.60815502	18.7562142	16.38212364	16.92801409	18.65888087	17.52243175	999	16.96132823	17.54730173	999	999	18.8852104	16.02659258	17.88166369	999	999	999	999	18.58200675	999	18.82224594	16.35268587	17.35928417	999	18.93802666	999	17.37601982	999	15.52390487	999	999	15.71462747	999	19.5983774	999	19.3197177	999	999	999	999	999	17.4066611	999	18.4829222	18.53680407	999	999	15.77964551	18.85286227	18.7021354	18.01686683	19.12027132	999	17.20348857	18.31791127	18.4424315	999	999	15.3363956	999	999
Foxa2	999	999	17.81651018	21.46921918	999	999	999	21.72598245	999	999	999	999	999	999	999	999	18.08821524	17.02496447	999	999	999	999	19.36428366	999	999	999	18.73356075	999	999	19.62461641	999	23.89741547	999	999	999	999	19.71609549	999	999	999	999	999	23.09809155	19.35108937	18.78140189	19.64908939	999	999	999	20.60138013	999	999	999	22.41120976	999	999	999	999	999	999	999	19.78221729	999	15.38912805	999	999	999	999	999	20.08851512	999	999	999	19.66576351	999	999	19.60986133	999	20.60966759	21.84142567	999	999	999	999	999	999	999	999	15.6781661	999	999	999	999	17.97388667	19.54092587	999
Gapdh	7.263538116	9.629444476	6.827903618	7.455312451	17.15387713	6.97670283	8.169648411	13.58106348	8.546493448	9.042819027	9.846952678	10.26157816	9.743596021	6.641128568	16.84492902	8.83139602	7.72414565	7.338956904	7.504309771	8.600310471	8.230771528	7.252188121	8.978958352	11.34691904	7.633708163	7.756693792	6.913376654	7.561381579	8.129642344	9.181369088	8.41681558	7.855729233	8.975766549	11.29414181	8.763090795	7.433263236	9.192727943	8.607675257	8.879024945	9.170690261	7.518757132	7.231045015	7.262234834	7.58307459	7.977158531	9.258386756	7.489356693	9.339457614	8.014964273	8.83015186	7.224516987	999	8.916190073	8.738734795	8.441526728	8.046281934	8.445760361	8.240578783	8.68932476	7.986415667	8.618008828	6.857446851	9.083011006	5.092552108	7.60877943	6.987260992	8.178130732	8.435656574	8.69048829	7.13039422	7.556296397	8.391514504	999	9.959730849	9.943425917	8.631725906	6.72895667	8.729902144	7.003512909	8.463939156	8.342911875	7.702668349	7.87573464	8.436020836	8.660620342	8.512062336	8.992313333	9.40488333	7.894757506	7.859114925	7.931829895	7.744643321	8.323376606	4.656231073	8.612112121	8.089315043
