Genes	E14tg2a-24h 1A	E14tg2a-24h 1B	E14tg2a-24h 1C	E14tg2a-24h 1D	E14tg2a-24h 1E	E14tg2a-24h 1F	E14tg2a-24h 1G	E14tg2a-24h 1H	E14tg2a-24h 2A	E14tg2a-24h 2B	E14tg2a-24h 2C	E14tg2a-24h 2D	E14tg2a-24h 2E	E14tg2a-24h 2F	E14tg2a-24h 2G	E14tg2a-24h 2H	E14tg2a-24h 3A	E14tg2a-24h 3B	E14tg2a-24h 3C	E14tg2a-24h 3D	E14tg2a-24h 3E	E14tg2a-24h 3F	E14tg2a-24h 3G	E14tg2a-24h 3H	E14tg2a-24h 4A	E14tg2a-24h 4B	E14tg2a-24h 4C	E14tg2a-24h 4D	E14tg2a-24h 4E	E14tg2a-24h 4F	E14tg2a-24h 4G	E14tg2a-24h 4H	E14tg2a-24h 5A	E14tg2a-24h 5B	E14tg2a-24h 5C	E14tg2a-24h 5D	E14tg2a-24h 5E	E14tg2a-24h 5F	E14tg2a-24h 5G	E14tg2a-24h 5H	E14tg2a-24h 6A	E14tg2a-24h 6B	E14tg2a-24h 6C	E14tg2a-24h 6D	E14tg2a-24h 6E	E14tg2a-24h 6F	E14tg2a-24h 6G	E14tg2a-24h 6H	R1-24h 1A	R1-24h 1B	R1-24h 1C	R1-24h 1D	R1-24h 1E	R1-24h 1F	R1-24h 1G	R1-24h 1H	R1-24h 2A	R1-24h 2B	R1-24h 2C	R1-24h 2D	R1-24h 2E	R1-24h 2F	R1-24h 2G	R1-24h 2H	R1-24h 3A	R1-24h 3B	R1-24h 3C	R1-24h 3D	R1-24h 3E	R1-24h 3F	R1-24h 3G	R1-24h 3H	R1-24h 4A	R1-24h 4B	R1-24h 4C	R1-24h 4D	R1-24h 4E	R1-24h 4F	R1-24h 4G	R1-24h 4H	R1-24h 5A	R1-24h 5B	R1-24h 5C	R1-24h 5D	R1-24h 5E	R1-24h 5F	R1-24h 5G	R1-24h 5H	R1-24h 6A	R1-24h 6B	R1-24h 6C	R1-24h 6D	R1-24h 6E	R1-24h 6F	R1-24h 6G	R1-24h 6H
Cldn6	17.23107754	18.45062221	19.23259953	17.73878076	16.02445666	18.76030715	999	18.63597209	16.66928731	999	999	999	999	999	999	999	16.4319151	999	999	17.56470815	17.06398034	26.15004906	16.57210607	18.26190367	18.45027803	18.68339059	999	18.24550122	16.62585946	18.45704702	18.05212208	17.39996763	999	18.11347691	999	18.27536437	15.24486498	999	999	16.6147777	17.497591	15.53691074	15.73002484	999	999	24.68854451	26.1025546	24.41618368	999	999	999	999	17.79552791	999	17.898343	999	15.85054395	999	999	999	999	999	17.91267541	27.59363663	18.27427857	999	17.90790589	999	999	999	19.14565094	999	999	999	18.30641677	16.30600979	16.3149486	999	999	999	16.90819323	999	17.53443141	999	999	18.52021068	18.57175764	999	999	18.13661724	17.88898223	999	999	29.70728779	17.74232075	999
Ctcf	14.73668854	13.64089418	14.66002363	14.87160764	13.90363291	13.41075003	23.99520987	14.34136822	14.51152446	13.726393	13.90022195	13.83703914	18.73288461	14.615271	999	14.12441387	14.6848218	999	12.65211041	15.62191605	13.0998133	14.98287909	16.04296166	13.43233571	14.40763932	13.33134205	999	14.55706628	13.92406474	14.15089252	14.76825371	14.08662016	14.5093937	14.81152063	999	13.81818235	13.70486029	13.94868206	14.41883332	14.70435717	14.75554834	13.20103703	13.94077585	13.30941915	13.8334529	14.45847809	15.12803756	13.97266706	999	14.00945513	14.16639246	999	14.67629521	999	14.38657298	999	14.07055366	23.85238902	14.15932871	14.00454645	999	23.33906044	13.97835355	24.03902107	14.58462645	14.45721261	14.28827908	13.62751398	999	999	13.95134215	14.40933093	999	14.37274801	13.99314343	14.74776594	12.94989693	999	999	999	14.06901876	13.90254663	14.71707368	13.83615722	14.90874534	14.38580421	15.24308509	16.47152175	14.0502316	14.61001612	15.38554963	999	15.33298829	14.73896157	15.22760427	15.60627988
Ctnnb1	13.76886627	12.79040357	14.47338013	13.1005063	12.44185057	12.17529842	23.26628375	12.72059414	11.53069544	12.32711221	11.97215551	13.23513195	15.52943285	13.96111006	999	12.19426966	12.80674737	999	11.38508973	12.60555593	11.70559862	14.03977364	12.64717248	12.17273165	12.55786743	12.28507078	18.31093564	13.95750649	13.24069327	11.83343732	12.05667513	12.61735695	12.99606372	12.96538083	18.07317097	11.94247132	12.66484545	12.18421785	13.32556689	13.07737703	13.6293488	11.67215866	12.44406521	12.18775785	13.49983487	12.52585141	12.76089817	13.09686893	999	12.14169595	12.86187933	999	12.77617782	999	12.70316707	999	12.15141633	23.25922313	13.1132391	13.35685356	23.30178017	23.33901287	13.11346928	22.94966952	12.3742271	12.39485386	12.82664609	12.37718692	999	999	12.99415416	13.63075048	18.38230874	12.70052938	11.90146738	12.64807037	10.82697608	18.07797955	18.39690778	999	12.40473961	12.48238903	12.53365535	12.3238061	12.95324572	12.5745971	12.84426165	14.5909195	12.32035449	12.4518906	13.55523823	26.23499015	12.49737608	13.06072349	12.2865744	12.91015438
Dnmt1	12.98491088	12.92328081	13.5791943	13.80655154	12.94208457	12.83280822	22.41116698	12.59598646	12.83811514	12.01150711	13.01757732	13.15319649	16.93230496	13.15435281	999	12.84859691	14.60311198	999	12.52132795	13.90223576	12.42712764	14.28119222	13.13460201	12.76343673	12.45042193	13.5774819	999	13.02111975	12.33245907	13.55708341	12.60445831	14.21106494	12.59414949	13.91756543	999	12.62479687	13.73436936	13.4037895	12.2703707	12.9353802	14.22055507	12.36098354	13.03748828	12.75546223	12.89725762	12.84616556	13.8563141	13.28253539	999	11.72876178	12.80985996	999	12.76185577	18.37107678	13.53705895	18.45827286	12.65675214	23.60782617	11.87810841	13.47672722	24.05355779	22.67673231	13.13932679	23.26443463	12.52197844	13.61604051	13.03666282	12.38878658	999	999	12.67310739	13.00811276	999	13.20112694	12.29704729	13.40351693	11.46087919	18.20764304	999	18.43221334	12.4481719	12.44093441	12.7911679	12.72007419	12.63956806	12.67294551	12.90866238	14.20446391	12.84057589	12.77983115	13.87816507	999	13.95510252	15.53000524	12.92543615	14.17834261
Dnmt3b	12.83489408	12.28087428	14.38914978	9.892042065	8.695307038	9.587544142	17.37114715	10.03481745	9.712343669	10.61490644	11.35149962	13.16931093	999	14.12476288	24.95644501	10.99276734	13.48648268	16.90334412	9.957024874	11.99957872	11.67914155	14.77131041	10.80588956	10.93176734	10.52647125	9.846590858	999	14.46381644	12.91352758	10.31220885	11.12226506	12.01256614	9.778741419	9.599813629	18.00308644	9.506876233	10.18768147	11.25780142	11.25077325	13.63821751	13.55155241	8.620462594	10.55625351	9.779402864	10.4021694	11.36695151	11.64428721	13.05882015	999	9.67340438	9.231752139	999	10.35483326	17.301945	10.36500888	17.28012976	9.832778023	17.35846706	9.967018908	9.811577701	17.2487482	20.23954402	10.43021631	19.96331756	11.43959991	11.01967455	10.12468941	10.03477925	999	17.63618869	10.84943397	12.61136167	999	10.33678634	11.24058446	10.89824114	9.726068551	999	17.21075493	999	12.24515256	11.68501332	9.085725738	10.18617381	10.83387139	10.77855125	11.83628706	12.60182328	11.58021734	10.37300172	9.715341963	999	10.90217603	12.41504633	10.58981868	10.36403536
Dppa3	999	999	999	17.23163666	999	999	999	999	999	999	20.31104175	17.59596173	17.06642204	999	999	999	999	999	17.83587482	999	999	999	999	15.85270253	999	999	999	999	999	999	999	18.8085788	999	999	999	999	999	999	16.05005106	999	999	999	18.98488503	17.64723433	18.70249861	18.90755999	999	999	999	999	18.35871258	999	999	18.03423757	999	999	999	999	999	18.16503698	999	999	999	999	999	999	999	999	999	999	999	999	999	16.69404612	999	999	999	999	999	999	999	999	999	999	999	999	999	19.09639241	999	18.09825299	999	999	999	999	999	999
Dppa4	16.73680049	16.25163293	18.25619771	15.91279553	15.74889236	16.26178181	27.28236348	16.61099189	15.74657305	15.00411799	15.90725219	16.64107518	18.20590341	16.99901016	999	16.64232403	18.7466924	999	16.24048167	16.95739526	17.67258708	17.30422089	16.83593534	16.92769895	15.75904178	15.98440944	999	16.29473823	19.38533272	15.89405899	17.92158639	17.48311575	17.09768447	18.02338544	999	16.01357961	16.34707506	17.46443528	15.7666916	17.02279957	19.83219529	15.62134488	16.90045298	15.96295882	15.81678727	16.68637187	17.91034142	18.28853692	28.4877531	15.96430203	17.7641222	999	16.18154726	999	16.15138153	999	16.29976657	999	15.93606881	17.02124536	999	999	16.55024481	26.93927539	16.96386934	15.67289358	16.67046269	17.39803596	999	999	16.75291079	16.82424909	999	16.91453694	15.01403787	18.61840708	15.24785198	999	999	21.02088435	15.347192	17.47865858	17.61752373	17.08318995	17.6986746	16.4685012	20.2001536	19.40616918	16.55142068	15.80125926	16.15220173	20.85433605	16.76311048	18.00031103	18.37956551	17.14026611
Eomes	18.23513757	999	26.03764642	17.27926376	999	16.03445676	999	26.14217766	16.88653242	999	999	999	999	18.08902201	999	18.54257441	999	999	999	999	999	999	999	18.21010937	999	999	999	15.7616688	999	16.51176577	999	999	999	15.9015838	999	999	999	999	999	999	999	999	999	17.49571091	25.99248514	999	999	15.06562101	999	999	18.40502785	999	14.51804679	999	15.49957374	999	16.63618693	999	17.51074993	999	999	26.09036995	17.87916078	26.41262714	17.68110373	999	17.3039773	999	999	999	999	18.53872722	999	15.16502615	17.81999941	17.71099594	15.7549189	999	999	999	15.54076171	17.16535983	999	18.13237859	999	999	17.03924365	17.46778379	17.8329769	16.88527581	999	999	16.39959719	15.93707046	999	16.5040897
Esrrb	14.51811893	999	16.79614215	25.75139069	16.80272971	25.89178734	999	16.99969756	21.83802118	999	999	999	999	14.76591001	999	16.75970392	999	999	17.68922109	16.20987951	15.92486812	15.74152255	999	999	999	16.77202468	999	17.90300757	15.73739406	999	17.11625865	13.88737213	18.04226206	999	999	999	17.0810204	999	13.73331529	16.12854877	999	25.78228338	25.84799249	999	15.40772812	14.61365954	16.86864072	17.85902432	999	999	17.65620003	999	18.02130484	999	999	999	17.65477754	25.68557096	17.6585428	999	999	24.65583601	15.9805173	999	16.96618675	16.70080092	999	15.90781605	999	999	16.38684781	17.05673921	999	999	999	17.32379098	15.32187368	999	999	999	14.46389048	17.40533354	25.30564399	16.92819742	15.50442321	16.12546075	999	17.91740006	16.27608451	16.90294471	999	999	16.06124455	15.88880467	17.91719203	18.26552529
Ezh2	19.14223042	18.37334832	19.90808894	18.72626853	17.28293231	18.46213915	999	999	17.29894537	15.61824886	16.54585315	999	999	17.4823158	999	999	999	999	17.13478876	18.9543963	16.65422608	17.66932949	17.88433862	17.10590467	18.20698535	16.84919212	999	16.97711282	18.04731567	17.46490025	18.40366949	19.40864158	17.34779712	17.29437799	999	17.99835728	999	19.1141248	18.87966189	19.27293821	999	16.81840278	17.94843216	17.81957273	17.28761263	18.02348951	19.57503941	16.86856501	999	17.30389127	18.83993397	999	16.48059227	999	17.22124598	999	17.02976996	26.13797555	19.04675408	16.46444302	999	999	16.36382665	25.60108732	16.6410128	15.51487041	17.38284126	16.62661444	999	999	17.10829336	17.33163047	999	19.36224167	18.00198233	17.95439076	15.96109847	999	999	999	16.70240558	17.08580166	26.39384152	17.86988701	18.14272108	17.21770737	18.40833778	18.91103499	18.57959208	16.88655577	17.20465864	999	17.87109839	19.02960789	16.73907624	16.89751449
Fbxo15	13.85932346	14.74477275	12.56548084	14.8914329	16.24463365	15.08859391	999	14.35451738	15.31544351	13.77516623	12.90696836	16.95193823	999	15.41111525	999	12.72795054	13.50333481	18.32064709	15.86819691	16.02661092	13.71787272	14.12183869	15.38450934	14.72989294	11.57836767	13.7480183	999	12.53085292	13.84293701	14.35064964	13.68195094	13.91812424	14.64980795	12.59575637	999	12.70260385	14.78925591	13.85115772	15.21323859	14.61296049	16.31960342	14.43681783	15.49259412	14.56233918	14.78935442	14.19345773	14.46565356	13.84098321	999	14.97333171	15.12766591	999	17.91790037	999	14.59019095	999	999	999	14.95682212	14.94321441	24.25117095	24.99451696	18.29389319	999	14.13761492	15.60756762	15.18403052	14.38282983	999	999	14.72315879	15.88778239	999	16.34826379	15.836799	999	14.44538614	999	999	999	13.10411976	15.66180578	16.49745502	14.97174755	16.7216181	17.98214641	14.71334707	16.1061473	16.93044717	15.76658274	15.50100456	34.48124105	17.65330231	15.86798804	14.48825717	16.27407598
Fgf4	15.83883131	13.83407643	20.83005099	13.66232164	16.08848652	11.58170089	23.6079531	11.97762191	12.11819307	13.03587658	14.09459629	15.78520701	18.14785124	15.61140802	999	13.69252574	14.31763381	999	13.32483125	12.90751104	13.56494417	14.65494312	999	15.9783041	13.38317869	13.34368052	999	14.56031395	999	13.45684955	14.83866606	15.70812134	13.49550144	19.09480258	999	15.92852477	12.71923316	14.19794314	16.04869109	13.91167792	999	12.81769423	13.30827207	12.26251006	16.24750126	14.07325176	14.46537099	14.83478315	999	12.87759176	12.41924589	999	12.75235578	999	14.310044	999	17.81245587	24.42610667	11.38799479	25.96753574	999	22.18402307	13.68053266	22.91542418	12.27514587	12.35697919	12.57132218	13.31875181	999	999	15.01199117	14.40811609	18.27640449	13.05608014	11.34004355	14.06920729	10.40864677	999	999	999	11.40438404	13.77776913	15.58316421	11.43979042	12.95933251	15.04623476	23.03997637	13.81349423	12.69893601	12.51131944	15.01779688	999	14.72825443	17.80537687	14.39436061	13.04996153
Fgf5	999	999	25.41994906	16.1047742	999	15.66927052	999	999	16.11878991	999	999	999	999	999	999	16.83991737	18.32307095	999	18.41441331	999	16.6311159	999	999	999	999	17.16375289	999	999	999	999	999	18.37700858	17.6291632	999	999	16.07694208	999	18.32613335	999	999	999	15.16329306	15.7728708	14.81965735	26.19567228	18.25641692	25.03568892	15.9295394	999	18.26354431	999	999	14.56829112	999	17.83384484	999	17.64401743	26.08492711	17.30823531	999	999	999	14.91126579	999	999	16.15799404	18.51495625	999	999	999	999	999	999	14.41222941	15.91310508	999	14.13105599	999	999	999	999	16.37376139	17.85626254	16.28576645	25.97552331	15.37646838	17.91769588	18.25898152	18.44164251	18.33890714	16.00397576	999	999	18.25370873	999	999
Fgfr2	999	999	999	18.91372613	16.62743435	19.28099968	999	999	17.48876602	999	19.07109673	999	999	18.9668566	999	999	999	999	18.66181673	999	17.2844949	19.04588588	999	17.39195346	17.64095814	999	999	18.37546086	15.36315228	999	999	999	999	999	999	999	999	999	18.226417	18.70880274	18.90659262	999	18.10898889	18.32227464	999	18.17669027	999	18.79402364	999	18.32796814	18.26060262	999	17.6173064	999	17.22031743	999	17.55433172	999	17.78821107	16.68794906	999	999	18.40285279	26.10819651	999	18.80333181	18.74637089	18.7315531	999	999	999	999	999	18.33254192	999	999	17.2078833	999	999	999	999	18.45281756	27.4382141	17.78653314	999	18.6549969	18.4751514	999	999	999	18.89367959	999	18.57633195	19.5653874	999	999
Foxa2	999	999	999	999	999	999	999	999	999	20.53818402	999	21.57710929	18.91569815	999	999	999	999	999	20.94847257	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	20.64008951	999	999	999	999	19.11874933	999	999	999	999	16.68575054	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.50996163	999	999	16.39455171	999	22.66731979	999	999	999	999	20.30348068	999	999
Gapdh	9.861322829	8.33521554	10.77685405	8.847723166	7.982174187	7.840382952	17.62272575	8.784283572	7.768846962	7.802805654	8.137031826	9.068245038	9.631511184	9.826888538	999	8.331222902	9.21039118	16.17211375	8.021586323	8.509272379	8.390527161	10.69932004	8.935499558	7.86497817	8.423314469	8.33707442	17.00675731	9.66757145	9.534704624	8.158245547	8.282959374	9.629720108	8.691970551	8.814424383	17.04043623	8.106623046	9.187633381	8.592303593	8.572253071	8.282395509	10.96349682	7.845105464	7.868039745	8.347078813	8.349909665	8.276726332	8.127991468	9.920153341	15.89050145	7.864955611	7.77382482	26.2679078	7.28649557	15.40013664	8.399654761	15.74839831	7.772819615	15.82485123	7.291452391	8.941668915	16.39256787	18.2326188	8.067479435	19.08754261	7.947267064	8.566020104	7.770915733	7.885926826	999	16.2225252	8.070353661	8.167405637	15.33186843	8.213016077	8.14720486	8.774303402	6.785323659	14.25742542	15.67520083	16.47424431	7.734076845	8.234074249	8.074120206	7.832328285	7.893661655	8.215885839	8.474839522	9.127290229	8.467583741	7.962655752	7.878811776	15.4215657	8.45942674	9.53157402	8.109307647	8.695725419
Gata1	999	999	999	999	999	999	999	999	999	999	19.02720298	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.51831106	26.65080369	999	999	999	999	999	999	999	19.69604576	999	999	999	999	999	999	999	999	999	18.89767212	999	999	999	999	18.06773337	25.74004306	999	999	999	17.30134615	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.09880249	999	999	999	999	999	999	999	999	999
Gata4	999	999	999	999	999	999	999	999	999	999	999	999	24.48027657	18.41150796	999	999	999	999	999	999	999	999	21.42424067	999	999	26.16197883	999	999	999	26.46842666	999	18.19487431	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.26304013	999	999	999	999	14.07687997	24.8732649	999	999	999	999	999	999	999	999	999	999	999	999	999	22.82305512	999	999	999	999	999	999	23.75536105	999	999	999	999	13.61716414	999	999	999	999	999	999	999	17.92304121	999
Gata6	999	999	999	999	999	999	999	18.73003195	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.56157648	12.57072118	999	15.28848425	999	999	999	999	13.98729119	26.30818901	18.51244451	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	13.59770691	999	999	999	999	13.51598064	24.9876302	26.93389646	999	999	16.75547393	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	23.92503064	999	999	999	999	14.33947591	999	999	999	999	999	999	17.8707029	999	999
