Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0048704,embryonic skeletal system morphogenesis,19_GO:0032502 developmental process,-3.5,23,7.9,20836,110,25,3,12,6.5,15404|15405|18109,Hoxa7|Hoxa9|Mycn,-0.76,MyList
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-3.5,8,5.6,20836,521,25,5,20,8,12394|14605|15404|20375|269023,Runx1|Tsc22d3|Hoxa7|Spi1|Zfp608,-0.72,MyList
GO Biological Processes,19,GO:1902106,negative regulation of leukocyte differentiation,19_GO:0002376 immune system process,-3.4,21,7.5,20836,121,25,3,12,6.5,12394|15404|269023,Runx1|Hoxa7|Zfp608,-0.66,MyList
GO Biological Processes,19,GO:1903707,negative regulation of hemopoiesis,19_GO:0002376 immune system process,-3.4,20,7.4,20836,125,25,3,12,6.5,12394|15404|269023,Runx1|Hoxa7|Zfp608,-0.63,MyList
KEGG Pathway,24,mmu04380,Osteoclast differentiation - Mus musculus (house mouse),,-3.3,20,7.3,20836,128,25,3,12,6.5,16477|20375|20846,Junb|Spi1|Stat1,-0.61,MyList
GO Biological Processes,19,GO:0007162,negative regulation of cell adhesion,19_GO:0048519 negative regulation of biological process,-3.3,10,5.9,20836,318,25,4,16,7.3,12394|15404|20375|269023,Runx1|Hoxa7|Spi1|Zfp608,-0.58,MyList
GO Biological Processes,19,GO:0021700,developmental maturation,19_GO:0032502 developmental process,-3.3,10,5.9,20836,322,25,4,16,7.3,18027|18987|21349|56484,Nfia|Pou2f2|Tal1|Foxo3,-0.57,MyList
GO Biological Processes,19,GO:0045621,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-3.2,18,6.9,20836,140,25,3,12,6.5,12394|20375|239985,Runx1|Spi1|Arid1b,-0.54,MyList
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-3.2,9.8,5.7,20836,339,25,4,16,7.3,14025|18089|18987|20375,Bcl11a|Nkx2-3|Pou2f2|Spi1,-0.54,MyList
GO Biological Processes,19,GO:0030326,embryonic limb morphogenesis,19_GO:0032502 developmental process,-3.2,17,6.8,20836,144,25,3,12,6.5,14013|15405|18109,Mecom|Hoxa9|Mycn,-0.54,MyList
GO Biological Processes,19,GO:0035113,embryonic appendage morphogenesis,19_GO:0032502 developmental process,-3.2,17,6.8,20836,144,25,3,12,6.5,14013|15405|18109,Mecom|Hoxa9|Mycn,-0.54,MyList
GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-3.2,9.8,5.7,20836,340,25,4,16,7.3,14013|18089|20375|21349,Mecom|Nkx2-3|Spi1|Tal1,-0.54,MyList
GO Biological Processes,19,GO:0048706,embryonic skeletal system development,19_GO:0032502 developmental process,-3.1,17,6.7,20836,148,25,3,12,6.5,15404|15405|18109,Hoxa7|Hoxa9|Mycn,-0.52,MyList
GO Biological Processes,19,GO:0002244,hematopoietic progenitor cell differentiation,19_GO:0032502 developmental process,-3.1,17,6.7,20836,151,25,3,12,6.5,12394|20375|21349,Runx1|Spi1|Tal1,-0.51,MyList
GO Biological Processes,19,GO:0002761,regulation of myeloid leukocyte differentiation,19_GO:0002376 immune system process,-3.1,16,6.6,20836,152,25,3,12,6.5,12394|15404|21349,Runx1|Hoxa7|Tal1,-0.51,MyList
GO Biological Processes,19,GO:0098727,maintenance of cell number,19_GO:0032502 developmental process,-3.1,16,6.6,20836,152,25,3,12,6.5,14013|20375|56484,Mecom|Spi1|Foxo3,-0.51,MyList
GO Biological Processes,19,GO:0048598,embryonic morphogenesis,19_GO:0032502 developmental process,-3.1,6.5,4.9,20836,643,25,5,20,8,14013|15404|15405|18109|21349,Mecom|Hoxa7|Hoxa9|Mycn|Tal1,-0.47,MyList
GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-3,15,6.3,20836,167,25,3,12,6.5,14013|20375|21349,Mecom|Spi1|Tal1,-0.41,MyList
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0032502 developmental process,-3,8.5,5.2,20836,390,25,4,16,7.3,14025|18089|18987|20375,Bcl11a|Nkx2-3|Pou2f2|Spi1,-0.38,MyList
GO Biological Processes,19,GO:0045580,regulation of T cell differentiation,19_GO:0002376 immune system process,-2.8,13,5.9,20836,188,25,3,12,6.5,12394|239985|269023,Runx1|Arid1b|Zfp608,-0.28,MyList
GO Biological Processes,19,GO:0048469,cell maturation,19_GO:0032502 developmental process,-2.8,13,5.7,20836,199,25,3,12,6.5,18987|21349|56484,Pou2f2|Tal1|Foxo3,-0.22,MyList
GO Biological Processes,19,GO:0002695,negative regulation of leukocyte activation,19_GO:0002376 immune system process,-2.7,12,5.6,20836,206,25,3,12,6.5,12394|20375|269023,Runx1|Spi1|Zfp608,-0.19,MyList
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-2.7,12,5.6,20836,207,25,3,12,6.5,14025|18089|20375,Bcl11a|Nkx2-3|Spi1,-0.19,MyList
GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-2.7,12,5.5,20836,211,25,3,12,6.5,12394|20375|239985,Runx1|Spi1|Arid1b,-0.19,MyList
GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.7,12,5.5,20836,211,25,3,12,6.5,12394|20375|239985,Runx1|Spi1|Arid1b,-0.19,MyList
GO Biological Processes,19,GO:0022408,negative regulation of cell-cell adhesion,19_GO:0048519 negative regulation of biological process,-2.7,12,5.5,20836,211,25,3,12,6.5,12394|20375|269023,Runx1|Spi1|Zfp608,-0.19,MyList
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-2.7,7.3,4.7,20836,457,25,4,16,7.3,16477|17268|20375|21349,Junb|Meis1|Spi1|Tal1,-0.19,MyList
GO Biological Processes,19,GO:0010001,glial cell differentiation,19_GO:0032502 developmental process,-2.6,11,5.3,20836,225,25,3,12,6.5,18027|18109|21349,Nfia|Mycn|Tal1,-0.12,MyList
GO Biological Processes,19,GO:0050866,negative regulation of cell activation,19_GO:0048519 negative regulation of biological process,-2.6,11,5.2,20836,229,25,3,12,6.5,12394|20375|269023,Runx1|Spi1|Zfp608,-0.11,MyList
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0050789 regulation of biological process,-2.5,6.6,4.4,20836,503,25,4,16,7.3,12394|20375|239985|269023,Runx1|Spi1|Arid1b|Zfp608,-0.063,MyList
GO Biological Processes,19,GO:0060348,bone development,19_GO:0032502 developmental process,-2.5,10,5,20836,243,25,3,12,6.5,17268|21349|71375,Meis1|Tal1|Foxn3,-0.049,MyList
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-2.5,6.4,4.3,20836,520,25,4,16,7.3,12394|18987|20846|56490,Runx1|Pou2f2|Stat1|Zbtb20,-0.025,MyList
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-2.5,6.3,4.3,20836,530,25,4,16,7.3,12394|20375|239985|269023,Runx1|Spi1|Arid1b|Zfp608,-0.0026,MyList
KEGG Pathway,24,mmu05200,Pathways in cancer - Mus musculus (house mouse),,-2.4,6.1,4.2,20836,543,25,4,16,7.3,12394|14013|20375|20846,Runx1|Mecom|Spi1|Stat1,0,MyList
GO Biological Processes,19,GO:0010720,positive regulation of cell development,19_GO:0032502 developmental process,-2.4,6.1,4.2,20836,545,25,4,16,7.3,12394|14025|20375|239985,Runx1|Bcl11a|Spi1|Arid1b,0,MyList
GO Biological Processes,19,GO:0071695,anatomical structure maturation,19_GO:0032502 developmental process,-2.4,9.4,4.8,20836,266,25,3,12,6.5,18987|21349|56484,Pou2f2|Tal1|Foxo3,0,MyList
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-2.4,6,4.1,20836,556,25,4,16,7.3,14025|18089|18987|20375,Bcl11a|Nkx2-3|Pou2f2|Spi1,0,MyList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-2.4,5.9,4.1,20836,566,25,4,16,7.3,16477|17268|20375|21349,Junb|Meis1|Spi1|Tal1,0,MyList
GO Biological Processes,19,GO:0045165,cell fate commitment,19_GO:0032502 developmental process,-2.4,9,4.7,20836,278,25,3,12,6.5,12394|18027|21349,Runx1|Nfia|Tal1,0,MyList
GO Biological Processes,19,GO:0042063,gliogenesis,19_GO:0032502 developmental process,-2.3,8.7,4.5,20836,288,25,3,12,6.5,18027|18109|21349,Nfia|Mycn|Tal1,0,MyList
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-2.3,5.5,3.9,20836,603,25,4,16,7.3,16477|17268|20375|21349,Junb|Meis1|Spi1|Tal1,0,MyList
GO Biological Processes,19,GO:0045765,regulation of angiogenesis,19_GO:0032502 developmental process,-2.2,8.2,4.4,20836,305,25,3,12,6.5,12394|20846|21413,Runx1|Stat1|Tcf4,0,MyList
GO Biological Processes,19,GO:1901342,regulation of vasculature development,19_GO:0032502 developmental process,-2.2,8.1,4.4,20836,309,25,3,12,6.5,12394|20846|21413,Runx1|Stat1|Tcf4,0,MyList
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-2.2,5.2,3.7,20836,643,25,4,16,7.3,12394|20375|239985|269023,Runx1|Spi1|Arid1b|Zfp608,0,MyList
GO Biological Processes,19,GO:0006366,transcription by RNA polymerase II,19_GO:0008152 metabolic process,-2.2,7.6,4.2,20836,329,25,3,12,6.5,16477|18089|21349,Junb|Nkx2-3|Tal1,0,MyList
GO Biological Processes,19,GO:0048562,embryonic organ morphogenesis,19_GO:0032502 developmental process,-2.1,7.5,4.2,20836,332,25,3,12,6.5,15404|15405|18109,Hoxa7|Hoxa9|Mycn,0,MyList
GO Biological Processes,19,GO:0006338,chromatin remodeling,19_GO:0009987 cellular process,-2.1,7.5,4.2,20836,332,25,3,12,6.5,14013|20375|239985,Mecom|Spi1|Arid1b,0,MyList
GO Biological Processes,19,GO:0072001,renal system development,19_GO:0032502 developmental process,-2.1,7.5,4.1,20836,335,25,3,12,6.5,14013|18027|20846,Mecom|Nfia|Stat1,0,MyList
GO Biological Processes,19,GO:0051251,positive regulation of lymphocyte activation,19_GO:0002376 immune system process,-2.1,7.3,4.1,20836,342,25,3,12,6.5,12394|20375|239985,Runx1|Spi1|Arid1b,0,MyList
GO Biological Processes,19,GO:0048871,multicellular organismal homeostasis,19_GO:0042592 homeostatic process,-2.1,5,3.6,20836,673,25,4,16,7.3,14013|18089|20375|21349,Mecom|Nkx2-3|Spi1|Tal1,0,MyList
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-2.1,4.9,3.6,20836,684,25,4,16,7.3,14025|18089|18987|20375,Bcl11a|Nkx2-3|Pou2f2|Spi1,0,MyList
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-2,4.8,3.5,20836,699,25,4,16,7.3,12394|20375|239985|269023,Runx1|Spi1|Arid1b|Zfp608,0,MyList
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-2,6.6,3.8,20836,376,25,3,12,6.5,14025|18089|20375,Bcl11a|Nkx2-3|Spi1,0,MyList
