index,Accession,Chromosome,End,Start,Strand,MURK_gene,Δm,scaled Δm,gene_count_corr,means,dispersions,dispersions_norm,highly_variable,velocity_gamma,velocity_r2,scaling,velocity_genes,fit_vars,fit_varu,fit_gamma,fit_beta,fit_offset,fit_a,fit_t,fit_h,fit_intercept,fit_loss,fit_llf,fit_sr2,fit_ur2
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,False,,,0.0202,3.1314669,1.2026374,0.7916018012803921,True,0.001036679,0.06516522169113159,0.005803309,False,13.334335,0.0064111887,0.0010366793,172.31549,0.0,1.0,0.5,38.482975,0.0,270.6958,8783.691,-11.054897,-12.941353
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,False,,,0.0096,0.29353124,0.22849959,0.06838641041539528,True,0.14008181,-0.23678839206695557,0.28380406,False,0.018771768,0.017926792,0.1400818,3.5235577,0.0,1.0,0.5,1.1776634,0.0,0.25935337,4997.3647,-33.598583,-12.777942
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,False,,,0.0208,0.15079029,0.30795792,0.3885510689998085,True,0.35853142,-0.21784305572509766,0.426436,False,0.014683783,0.02821131,0.35853142,2.3450177,0.0,1.0,0.5,1.0816693,0.0,0.15727213,3515.6978,-51.83561,-9.585639
Idh1,ENSMUSG00000025950,1,65186500,65158616,-,False,,,0.0426,0.11281422,0.22643983,0.06008694507064419,True,0.05430041,-0.132157564163208,0.19277838,False,0.006949097,0.0025067164,0.054300413,5.1873035,0.0,1.0,0.5,0.63311845,0.0,0.078452244,14662.653,-30.88514,-8.972861
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,False,,,0.0324,0.10712675,0.30858302,0.39106982475994617,True,0.73066485,0.13363492488861084,0.79897064,True,0.005442876,0.0035965375,4.941078,4.9260755,-0.14259997,0.27733096,-1.4093963,0.7471912,0.048212204,0.0056340797,13691.467,0.43815553,0.41851872
Fn1,ENSMUSG00000026193,1,71653200,71585520,-,False,,,0.0806,0.71592915,1.1441362,5.321107537455754,True,0.06037246,0.4356132745742798,0.08613802,True,0.22645049,0.004053551,3.9850018,52.185608,-0.4947552,3.276175,0.049408037,3.497292,0.06411138,0.5463226,13104.386,0.7792724,0.46773332
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,False,,,-0.0375,0.11422519,0.26457494,0.21374629706986567,True,1.5860851,-1.4293217658996582,1.272039,False,0.004260719,0.10064137,1.5860851,0.78613937,0.0,1.0,0.5,0.6027823,0.0,0.46650973,-34559.074,-40.597923,-88.59414
Serpine2,ENSMUSG00000026249,1,79861180,79794197,-,False,,,-0.0254,0.13028333,0.5782467,1.4776367427326091,True,0.045051277,0.031781673431396484,0.12201237,True,0.011529185,0.0002604348,1.8258296,30.27619,-0.21383715,0.34881806,-1.0305353,0.8361946,0.012471328,0.017494097,26575.488,0.3702768,0.04478234
Cul3,ENSMUSG00000004364,1,80340480,80264923,-,False,,,0.0098,0.28962237,0.23675095,0.10163392640735877,True,0.1083371,-0.020230531692504883,0.21421413,False,0.018279493,0.007813327,0.10833708,4.6682262,0.0,1.0,0.5,1.1002996,0.0,0.21959358,8462.364,-21.352776,-8.048025
Ncl,ENSMUSG00000026234,1,86359400,86344719,-,False,,,0.1385,3.341386,1.3945521,1.3469883032232681,True,0.0024570976,0.17173779010772705,0.00725927,False,26.60254,0.014443611,0.002457098,137.7549,0.0,1.0,0.5,46.635014,0.0,506.70102,2703.7646,-7.1880054,-11.741646
Usp40,ENSMUSG00000005501,1,88008551,87945119,-,False,,,0.0017,0.05975901,0.25816336,0.1879118485373872,True,0.2266573,-0.3715345859527588,0.42181718,False,0.004157871,0.01060136,0.22665729,2.3706954,0.0,1.0,0.5,0.60802877,0.0,0.059667222,8379.363,-74.63346,-15.137766
Hdlbp,ENSMUSG00000034088,1,93478815,93405940,-,False,,,0.0459,0.5853133,0.28240743,0.3150663960319142,True,0.08246478,-0.027754783630371094,0.15166204,False,0.06858051,0.0127777085,0.082464784,6.593608,0.0,1.0,0.5,2.0103676,0.0,0.89071804,4508.9106,-13.890453,-8.854007
Dtymk,ENSMUSG00000026281,1,93801934,93792576,-,False,,,0.0977,1.1731694,0.33470595,0.0948262789032025,True,0.2208983,-1.5111725330352783,0.2377609,False,0.2500863,0.20411669,0.2208983,4.205906,0.0,1.0,0.5,4.0729256,0.0,7.517864,-11438.846,-7.0675964,-19.262093
Pam,ENSMUSG00000026335,1,98095646,97795114,-,False,,,-0.0044,0.0067873867,0.24660315,0.14133179877756655,True,4.791167,-6.0989251136779785,5.158227,False,0.00022334047,0.15241814,4.791167,0.19386506,0.0,1.0,0.5,0.14565717,0.0,0.3725087,-318912.94,-81.427536,-1618.0535
Actr3,ENSMUSG00000026341,1,125435727,125392905,-,False,,,0.0261,1.0455617,0.36800975,0.250915280541963,True,0.0260023,0.13928216695785522,0.070345156,True,0.10465863,0.0013270293,1.1829281,14.156714,0.3558404,0.6398497,-0.68242615,3.9852948,0.054108325,0.26817384,18584.336,0.6858479,0.19507897
Tmem163,ENSMUSG00000026347,1,127679548,127486546,-,False,,,0.0339,0.064309,0.26759756,0.22592542682932606,True,0.6026025,0.588299423456192,0.6929283,True,0.006477653,0.002137629,4.2993336,2.3744056,-0.032179892,1.1666322,-0.82667506,0.8288245,0.052616153,0.004452007,16244.71,0.4042555,0.593082
Cd55,ENSMUSG00000026399,1,130462744,130439027,-,False,,,-0.0088,0.08882111,0.64311475,1.7390121408290684,True,0.08968905,0.07370299100875854,0.16131926,True,0.009923731,0.00031271906,3.4885108,8.675692,-0.015872063,1.2739725,-0.82023025,1.0242826,0.015391373,0.012016609,25677.652,0.34385943,0.20572221
Tmcc2,ENSMUSG00000042066,1,132391281,132356315,-,False,,,-0.0567,0.18377578,0.27130255,0.24085411323431075,True,0.10596061,-0.07535874843597412,0.2578114,False,0.015995502,0.012650896,0.105960615,3.8788044,0.0,1.0,0.5,1.0852253,0.0,0.20803693,7062.589,-62.683388,-17.235443
Btg2,ENSMUSG00000020423,1,134079120,134075170,-,False,,,-0.0354,0.6111688,0.27733523,0.2837505275585047,True,0.0031070937,0.012816250324249268,0.04162578,False,0.047352076,0.0010458679,0.003107094,24.023575,0.0,1.0,0.5,2.020331,0.0,0.70980763,18889.37,-29.0467,-16.021524
Rnpep,ENSMUSG00000041926,1,135284084,135262712,-,False,,,0.0622,0.29870105,0.26026618,0.19638483483915373,True,0.012780635,-0.006321549415588379,0.055165067,False,0.046904087,0.001051404,0.012780634,18.127415,0.0,1.0,0.5,1.4874173,0.0,0.42390424,18613.18,-22.522856,-7.2313395
Pla2g4a,ENSMUSG00000056220,1,149961290,149829618,-,False,,,0.029,0.024697213,0.5535996,1.3783251151402827,True,0.12763493,0.5060804486274719,0.17227003,True,0.00660137,0.00018482211,0.9269243,9.432023,-0.32577318,0.1734191,-1.0396551,0.5496177,0.02241619,0.0062277964,28258.562,0.04516107,0.0992164
Tsen15,ENSMUSG00000014980,1,152386688,152370735,-,False,,,0.0707,0.88097537,0.4269421,1.0084360090525377,True,0.005097051,-0.08888709545135498,0.02479957,False,0.3845966,0.0014735863,0.00509705,40.32328,0.0,1.0,0.5,3.433949,0.0,3.0841656,16660.797,-7.213496,-5.5346313
Rgl1,ENSMUSG00000026482,1,152766351,152516760,-,False,,,0.025,0.009580066,0.33141023,0.4830484206836878,True,0.5170932,-1.229034185409546,1.1460029,False,0.0013059527,0.032523636,0.5170932,0.8725982,0.0,1.0,0.5,0.39996955,0.0,0.035854634,687.44775,-140.63986,-34.779793
Dhx9,ENSMUSG00000042699,1,153487660,153455758,-,False,,,0.0008,0.2820612,0.23197474,0.08238895122800516,True,0.074049406,0.07646453380584717,0.17977925,True,0.022560483,0.00071892777,8.16719,138.73383,-0.40560716,2.024586,0.36466968,0.85550636,0.010255344,0.022243656,21592.375,0.10413861,0.11760008
Npl,ENSMUSG00000042684,1,153550045,153503015,-,False,,,0.1156,0.63274705,0.8894105,3.7893768172192384,True,0.0185228,0.3992617726325989,0.031636786,True,0.17983124,0.0004894183,5.673743,220.381,-0.09653084,4.905379,0.0805967,2.694677,0.006980632,0.4889854,23479.52,0.75489366,0.3338951
Soat1,ENSMUSG00000026600,1,156474331,156424525,-,False,,,0.0354,0.11129253,0.5363789,1.3089371465643427,True,0.14025134,0.5225333571434021,0.1888084,True,0.022820117,0.0008815774,2.8995278,6.254762,-0.06642584,1.0525725,-0.7544597,1.0504292,0.03815354,0.024729682,20591.473,0.3334505,0.28081954
Fam20b,ENSMUSG00000033557,1,156719086,156678532,-,False,,,-0.0066,0.0937862,0.25114185,0.15961976685177512,True,0.20486529,-0.35554635524749756,0.45352513,False,0.0034490228,0.013871684,0.20486529,2.2049496,0.0,1.0,0.5,0.63812494,0.0,0.068048984,7022.7266,-70.45174,-16.998335
Cacybp,ENSMUSG00000014226,1,160212875,160202367,-,False,,,0.0471,2.7388885,0.807515,0.02215494861367775,True,0.0006618118,0.004019260406494141,0.005047129,False,6.3324814,0.0018399293,0.00066181173,198.13245,0.0,1.0,0.5,21.132143,0.0,94.95058,15436.916,-2.7949402,-8.321416
Suco,ENSMUSG00000040297,1,161876682,161816114,-,False,,,0.0015,0.06950281,0.20965376,-0.007549842802073655,True,0.34926248,-0.31956279277801514,0.57373047,False,0.0025900006,0.008887812,0.34926248,1.7429787,0.0,1.0,0.5,0.42964768,0.0,0.027476948,9165.092,-37.540047,-7.678891
Prrc2c,ENSMUSG00000040225,1,162740556,162670725,-,False,,,0.041,0.76632094,0.4483367,1.137087091542889,True,0.16453175,-0.05079090595245361,0.17231606,False,0.1939187,0.03704657,0.16453175,5.8032894,0.0,1.0,0.5,3.2065158,0.0,2.518796,-2753.6597,-14.377412,-8.933573
Mpzl1,ENSMUSG00000026566,1,165634538,165592240,-,False,,,0.0136,0.3748892,0.4670546,1.4550804804211503,True,0.038061723,-0.23360085487365723,0.07269551,False,0.12827587,0.006953082,0.038061723,13.756008,0.0,1.0,0.5,2.977771,0.0,1.7283506,8917.289,-44.076725,-12.310505
Uck2,ENSMUSG00000026558,1,167285320,167222883,-,False,,,0.0302,0.9017526,0.2766829,0.10488904657123128,True,0.13309094,0.2253931164741516,0.24875443,True,0.08999307,0.005775538,44.57596,260.08484,-0.43827996,3.2991776,0.5032719,2.211157,-0.052124474,0.09333635,11366.9795,0.2973628,0.27126026
Mgst3,ENSMUSG00000026688,1,167393841,167371966,-,True,0.001838799520432,0.29141328,-0.1467,1.8620266,2.1574004,4.964668561515811,True,0.0017792976,0.3078405261039734,0.0031936066,False,49.961792,0.0019653817,0.0017792971,313.1256,0.0,1.0,0.5,25.796589,0.0,234.42827,15594.332,-9.820239,-5.0534563
Pbx1,ENSMUSG00000052534,1,168432270,168119364,-,False,,,0.0314,0.04417155,0.2664078,0.22113144506740876,True,15.2274475,-3.18300724029541,10.020359,False,0.0016812012,8.687256,15.227446,0.099796824,0.0,1.0,0.5,0.36050287,0.0,25.765938,-1481099.8,-51.799637,-14430.077
Uap1,ENSMUSG00000026670,1,170174957,170141938,-,False,,,-0.0086,0.4669838,0.3114485,0.4943664180360461,True,0.023505801,-0.013315558433532715,0.073894374,False,0.058395863,0.004067994,0.023505801,13.53283,0.0,1.0,0.5,2.2026777,0.0,0.9533226,11714.715,-31.638798,-12.218863
Fcer1g,ENSMUSG00000058715,1,171234365,171229572,-,False,,,-0.0259,0.08701107,2.919447,10.911129388874238,True,0.003878981,-0.0032004117965698242,0.013765836,False,0.5854187,0.0033768495,0.0038789813,72.64361,0.0,1.0,0.5,11.321325,0.0,20.527431,13255.156,-362.0044,-63.52707
Ppox,ENSMUSG00000062729,1,171281186,171275990,-,True,-0.0028880171025482,0.03302883,-0.0726,0.69852084,0.38463032,0.7540044135648171,True,0.0029202339,-0.011185288429260254,0.015637109,False,0.42530513,0.00037410448,0.0029202339,63.95044,0.0,1.0,0.5,2.7473714,0.0,1.8786645,23679.574,-7.6821365,-4.3269105
Pea15a,ENSMUSG00000013698,1,172206804,172196728,-,False,,,0.035,0.09011659,0.49790376,1.1539076394650891,True,0.014266119,-0.029743313789367676,0.054803092,False,0.04193306,0.0016983188,0.0142661175,18.247145,0.0,1.0,0.5,1.965112,0.0,0.6558148,16589.65,-92.952866,-18.109934
Cep170,ENSMUSG00000057335,1,176814067,176733653,-,False,,,0.0,0.08510268,0.20775427,-0.015203558010942022,True,0.34821358,-0.6818705797195435,0.5648138,False,0.0030784458,0.012038024,0.34821358,1.770495,0.0,1.0,0.5,0.46160877,0.0,0.037825953,7750.897,-37.08249,-9.996548
Adss,ENSMUSG00000015961,1,177796511,177762962,-,False,,,0.0434,0.9563668,0.40268883,0.41345001248580354,True,0.012047615,-0.07473266124725342,0.036393233,False,0.35670757,0.0039752903,0.012047615,27.477636,0.0,1.0,0.5,4.2855015,0.0,4.2750487,11117.65,-13.875355,-8.607108
Lbr,ENSMUSG00000004880,1,181843046,181815335,-,False,,,-0.0599,0.828638,0.3143433,0.3313506000051888,True,0.02313253,-0.17297685146331787,0.08249794,False,0.09985614,0.0101319775,0.023132527,12.121515,0.0,1.0,0.5,2.876422,0.0,2.014004,6876.9946,-16.306393,-14.228405
Enah,ENSMUSG00000022995,1,182019990,181896384,-,False,,,0.0181,0.074792996,0.25444642,0.1729350085657844,True,0.7662613,-0.451099157333374,0.86033803,False,0.0041715056,0.035885803,0.7662613,1.1623338,0.0,1.0,0.5,0.5837274,0.0,0.10799463,-3621.5571,-48.25325,-21.26407
Degs1,ENSMUSG00000038633,1,182282804,182275772,-,False,,,-0.0358,0.9231555,0.41000018,0.9065598239069534,True,0.002063066,-0.030048727989196777,0.019917862,False,0.25366879,0.0011700677,0.0020630655,50.206192,0.0,1.0,0.5,4.1993723,0.0,3.507087,18274.104,-22.026333,-11.408981
Capn2,ENSMUSG00000026509,1,182517608,182467260,-,False,,,0.0522,0.1903064,0.45808655,0.9934704628178787,True,0.033319447,0.2861212491989136,0.062405538,True,0.017715743,0.00014480352,3.8780327,34.195366,-0.06395443,1.8540963,-0.47890177,1.7091783,0.009962749,0.037182048,29456.064,0.68983877,0.35353923
Cenpf,ENSMUSG00000026605,1,189688086,189640606,-,False,,,0.1339,0.6995661,0.47353476,1.28860954130583,True,0.049095288,0.11652767658233643,0.09122248,True,0.2275404,0.0022840926,0.041692108,20.714708,0.088987656,0.55726784,-0.56904304,1.8820134,0.10502238,0.27447957,15919.484,0.18285382,0.014277756
Smyd2,ENSMUSG00000026603,1,189922363,189880492,-,False,,,0.0525,0.49984565,0.2538699,0.13887523688348746,True,0.03784609,-0.18515539169311523,0.12218666,False,0.041534364,0.0066642994,0.03784609,8.184199,0.0,1.0,0.5,1.6026345,0.0,0.6029503,8943.255,-13.715556,-9.687159
Flvcr1,ENSMUSG00000066595,1,191026158,191005847,-,False,,,-0.014,0.082876265,0.22044149,0.03591757722327031,True,0.18788281,-0.17582428455352783,0.4456736,False,0.002358064,0.00578078,0.18788281,2.2437944,0.0,1.0,0.5,0.44268963,0.0,0.029899217,11228.438,-41.930992,-9.745849
Dtl,ENSMUSG00000037474,1,191575544,191537356,-,False,,,-0.0516,0.22717741,0.27615792,0.2604180307401924,True,0.23440349,-0.05470883846282959,0.35301265,False,0.013845861,0.015319558,0.23440348,2.8327596,0.0,1.0,0.5,0.90057915,0.0,0.13547327,6079.076,-21.527512,-6.8054366
Sgk3,ENSMUSG00000025915,1,9900845,9798107,+,False,,,-0.048,0.11637788,0.22238308,0.043740910668667615,True,0.36949614,0.38948339223861694,0.54779214,True,0.01082608,0.0019828405,5.5422544,20.155622,0.053732026,7.382307,1.2814902,0.87573445,-0.010120255,0.0066077886,16613.594,0.22542381,0.532101
Terf1,ENSMUSG00000025925,1,15844052,15805646,+,False,,,0.0088,0.48941177,0.30192837,0.43558892767057494,True,0.11163837,-0.48798859119415283,0.17816612,False,0.05653751,0.01884955,0.11163837,5.6127396,0.0,1.0,0.5,1.8456551,0.0,0.85489494,3404.4429,-19.300005,-11.596805
Map4k4,ENSMUSG00000026074,1,40026310,39900913,+,False,,,0.0448,0.10591418,0.22345516,0.04806068187054757,True,0.22884984,-0.15843725204467773,0.36963522,False,0.007638812,0.014109215,0.22884984,2.70537,0.0,1.0,0.5,0.8655755,0.0,0.103926115,6952.2324,-60.68086,-11.336057
Hspe1,ENSMUSG00000073676,1,55091307,55088132,+,False,,,0.081,3.7450697,1.4075657,0.24031412880781514,True,0.0066094976,0.15709441900253296,0.013023983,False,52.895844,0.06642614,0.0066094985,76.781425,0.0,1.0,0.5,57.31239,0.0,1211.078,-10888.715,-1.6113038,-12.939911
Mob4,ENSMUSG00000025979,1,55154899,55131231,+,False,,,0.0153,0.84908736,0.35006103,0.5461304158689105,True,0.04790733,-0.14027011394500732,0.08942641,False,0.1921339,0.010943485,0.047907326,11.182379,0.0,1.0,0.5,3.087093,0.0,2.489443,4210.3584,-10.810928,-9.435916
Sgol2a,ENSMUSG00000026039,1,58025899,57995971,+,False,,,0.027,0.22187817,0.23821524,0.1075340592388593,True,0.017363047,-0.016292572021484375,0.102181874,False,0.011875749,0.0017552271,0.017363047,9.786471,0.0,1.0,0.5,1.0438476,0.0,0.19764593,16349.652,-40.950928,-13.20572
Nop58,ENSMUSG00000026020,1,59719044,59684971,+,False,,,0.0262,1.3690691,0.52748907,0.63930899549384,True,0.36756974,-0.10126698017120361,0.30666244,False,0.6062069,0.8046666,0.3675697,3.2609146,0.0,1.0,0.5,7.4254932,0.0,12.893583,-15347.865,-20.151814,-14.173327
Nbeal1,ENSMUSG00000073664,1,60338328,60180599,+,False,,,-0.0182,0.052154664,0.3401972,0.5184541411046895,True,0.3664099,-0.5817071199417114,0.6193175,False,0.0024537146,0.010685008,0.36640993,1.6146808,0.0,1.0,0.5,0.4105111,0.0,0.028728656,8194.441,-44.98119,-9.943174
Abi2,ENSMUSG00000026782,1,60481158,60409619,+,False,,,0.0162,0.08418933,0.2719308,0.24338559786741978,True,0.5626082,-0.3849576711654663,0.7794749,False,0.0042685717,0.023401294,0.5626082,1.2829149,0.0,1.0,0.5,0.52063143,0.0,0.05214573,2763.8916,-33.944748,-9.278402
Nrp2,ENSMUSG00000025969,1,62818695,62703285,+,False,,,0.0132,0.019506542,0.42814556,0.8728280060507949,True,0.36800876,0.3847638964653015,0.52461326,True,0.0021100559,0.00051529275,3.6779478,3.1082687,-0.028054982,0.45958126,-1.484463,0.32046595,0.015875714,0.0018723004,23226.697,0.19473535,0.28543591
Pikfyve,ENSMUSG00000025949,1,65278695,65186683,+,False,,,0.0044,0.05335335,0.22651045,0.060371483415037334,True,0.7396339,-0.8069534301757812,1.0501388,False,0.0015146136,0.026582293,0.7396339,0.9522551,0.0,1.0,0.5,0.36092168,0.0,0.04504722,-388.64355,-49.337093,-24.535908
Atic,ENSMUSG00000026192,1,71579631,71557150,+,False,,,0.0819,1.1806214,0.35370573,0.18387490837438708,True,0.0074636075,0.053922832012176514,0.030487787,False,0.35137224,0.002881011,0.007463606,32.80002,0.0,1.0,0.5,4.793909,0.0,4.460393,12625.395,-10.523051,-7.9127903
Rpl37a,ENSMUSG00000046330,1,72713813,72711290,+,False,,,-0.1293,3.4424744,1.1553532,0.11807641813185414,True,0.0069726715,-0.04741799831390381,0.018845215,False,12.101547,0.07833802,0.006972671,53.063866,0.0,1.0,0.5,42.44861,0.0,499.64056,-7637.3174,-5.2526884,-24.664398
Arpc2,ENSMUSG00000006304,1,74268209,74236084,+,False,,,0.0861,1.7851022,0.58216625,0.2965796128836765,True,0.019350428,-0.02137434482574463,0.033659227,False,2.1515045,0.02486047,0.019350428,29.709536,0.0,1.0,0.5,12.62294,0.0,41.925823,-265.24316,-20.478504,-16.236687
Ptma,ENSMUSG00000026238,1,86530712,86526726,+,False,,,-0.0574,4.294647,2.3950725,1.7933924122012088,True,0.00026961023,-0.0023235082626342773,0.0013708136,False,212.21301,0.0037154993,0.00026961014,729.4938,0.0,1.0,0.5,114.03969,0.0,2875.1418,11303.198,-3.8698602,-8.009025
Gigyf2,ENSMUSG00000048000,1,87450796,87326998,+,False,,,0.0065,0.1761767,0.23618631,0.09935882048928639,True,0.62713826,-0.9291248321533203,0.7392694,False,0.007597953,0.056407534,0.62713826,1.3526869,0.0,1.0,0.5,0.73838115,0.0,0.12258629,-738.25635,-30.823084,-13.153603
Inpp5d,ENSMUSG00000026288,1,87720507,87620312,+,False,,,0.0422,0.01187121,0.25630698,0.1804318344110952,True,0.92299443,0.6271518468856812,1.1302856,True,0.0010993879,0.00134492,3.3915749,3.1749377,-0.13501501,0.12792125,-1.7025776,0.2829662,0.027865764,0.0010527374,18518.664,0.16155481,0.1971268
Cops8,ENSMUSG00000034432,1,90613341,90602981,+,False,,,0.0513,1.3356981,0.36799803,0.049994128559658235,True,0.024938142,-0.2942838668823242,0.053753965,False,0.44543934,0.013081052,0.02493814,18.60328,0.0,1.0,0.5,5.20812,0.0,8.558426,2984.9043,-6.789172,-12.000724
Lrrfip1,ENSMUSG00000026305,1,91128944,90998737,+,False,,,0.0234,0.052666657,0.36122146,0.6031680329892869,True,0.3241983,-0.7069978713989258,0.48356318,False,0.006863177,0.01395539,0.32419834,2.0679822,0.0,1.0,0.5,0.66267097,0.0,0.06013321,7000.224,-51.535114,-8.049566
Nifk,ENSMUSG00000026377,1,118333822,118321839,+,False,,,0.0589,1.4873245,0.37678087,0.08244645182897635,True,0.0062625054,0.052423715591430664,0.027589185,False,0.53763914,0.0041166167,0.0062625054,36.246086,0.0,1.0,0.5,6.101768,0.0,7.8519897,10811.285,-7.3204927,-9.338337
Nucks1,ENSMUSG00000026434,1,131936321,131910534,+,False,,,0.1021,1.4933124,0.4317712,0.28563413866801235,True,0.024032054,-0.3802473545074463,0.059789054,False,0.5360365,0.025868963,0.024032053,16.72547,0.0,1.0,0.5,6.0693703,0.0,12.07831,725.229,-6.964011,-14.531113
Dstyk,ENSMUSG00000042046,1,132466958,132417555,+,False,,,-0.0071,0.031003129,0.21361698,0.008419308884613666,True,0.2849263,-0.361466646194458,0.7354933,False,0.0011066459,0.0072245076,0.2849263,1.3596317,0.0,1.0,0.5,0.28343624,0.0,0.0135273775,10205.184,-58.67188,-12.223205
Kdm5b,ENSMUSG00000042207,1,134635285,134560171,+,False,,,0.0697,0.2818877,0.2783512,0.269255471093545,True,0.15265594,-0.0900658369064331,0.21908964,False,0.028886914,0.0103528425,0.15265596,4.5643415,0.0,1.0,0.5,1.2751985,0.0,0.28122476,7011.5273,-20.667942,-6.2274404
Ptpn7,ENSMUSG00000031506,1,135145317,135132700,+,False,,,0.04,0.10266907,0.6164031,1.6313818344988267,True,0.02127931,0.26979339122772217,0.04065217,True,0.027529454,6.245661e-05,7.79576,79.0836,0.0021688235,7.0000114,-0.18926418,1.6112425,0.0010718975,0.03779297,33582.816,0.40408075,0.21276778
Csrp1,ENSMUSG00000026421,1,135752232,135720061,+,False,,,0.06,0.348095,0.5457761,1.9411082055264612,True,0.02454402,0.1639363169670105,0.053256623,True,0.07147274,0.00031535578,6.107411,48.670776,0.17515212,4.0450525,-0.31229803,2.799738,-0.014491676,0.11118689,25636.447,0.5164745,0.24882
Tnni1,ENSMUSG00000026418,1,135810989,135779434,+,False,,,0.033,0.3678562,0.6508275,2.589696926797122,True,0.029074991,0.011914253234863281,0.07594663,True,0.07758508,0.00038561245,0.0398924,168.62733,-0.68497217,0.530997,0.19721784,1.2296146,0.016961226,0.06685504,24649.393,-0.16667902,-0.0045734644
Tmem9,ENSMUSG00000026411,1,136035342,136008150,+,False,,,0.0392,1.0694795,0.33872452,0.1136606282664828,True,0.012508749,-0.10949313640594482,0.049601767,False,0.23046017,0.006808564,0.012508747,20.160572,0.0,1.0,0.5,3.9094038,0.0,3.7935266,8739.631,-10.6226425,-11.24402
Aspm,ENSMUSG00000033952,1,139494091,139454772,+,False,,,0.0067,0.10244113,0.25467914,0.17387274223591145,True,0.058186896,-0.023540258407592773,0.20709127,False,0.0047655553,0.0015340556,0.058186885,4.8287888,0.0,1.0,0.5,0.48369163,0.0,0.04150206,17086.504,-25.59651,-7.04101
