Regulator	Target	SINGE_Score
GLI2	BCL3	0.28518
NANOG	AFF1	0.27581
GLI2	ESRRB	0.263
POU4F2	BHLHE40	0.26216
GLI2	MSC	0.26031
POU4F2	MYCN	0.25769
NANOG	ELF3	0.25513
GLI2	ETV5	0.25401
BMP2	FOXQ1	0.2511
GLI2	TET2	0.24536
GLI1	KLF4	0.23197
NANOG	TFCP2L1	0.22982
GLI1	UTF1	0.21935
NANOG	MYCN	0.21909
FOXD3	ZFP532	0.19963
NANOG	SIX1	0.19753
GLI1	DNMT3B	0.19571
NANOG	ZBTB10	0.18992
GLI2	MSX2	0.18717
HNF1B	ID2	0.18572
GLI2	RARG	0.18556
GLI2	RBPJ	0.18397
HOPX	EPAS1	0.18086
NANOG	SMAD7	0.17786
GLI2	SATB2	0.17617
HNF1B	EPAS1	0.17218
POU4F2	DDIT3	0.17112
NANOG	UTF1	0.17085
GLI2	SIX1	0.16321
HNF1B	XBP1	0.16291
NANOG	RBPJ	0.16084
TCF7L2	EPAS1	0.16058
FOXD3	ETV4	0.16007
GLI2	FOXH1	0.14988
BHLHE40	DNMT3L	0.14979
NANOG	ID2	0.14733
L3MBTL3	DNMT3L	0.14407
HNF1B	NFXL1	0.14162
NANOG	RUNX1	0.14107
NANOG	MSX2	0.13996
GLI1	BMP2	0.13983
NANOG	SATB2	0.13915
POU4F2	ELF3	0.13839
HNF1B	MYCN	0.13529
NANOG	WHSC1	0.13512
POU4F2	L3MBTL3	0.13489
NANOG	FOXA2	0.12858
POU4F2	TBX3	0.12528
FOXD3	NANOG	0.12341
POU4F2	ZBTB44	0.11917
NANOG	FOXQ1	0.11861
GLI1	POU5F1	0.118
HNF1B	KLF4	0.11548
NANOG	PARP1	0.11376
HOPX	DNMT3L	0.11311
GLI2	ZBTB44	0.10933
NANOG	CARHSP1	0.10739
POU4F2	CREB3	0.10117
POU4F2	ID3	0.09822
NANOG	GATA6	0.09789
NANOG	NFXL1	0.09707
HNF1B	CARHSP1	0.09141
POU4F2	BCL3	0.09004
POU4F2	ZC3H7A	0.08699
GLI1	HMGA1	0.08693
NANOG	PEG3	0.08687
NANOG	GATA4	0.08653
NANOG	ZC3H7A	0.08461
NANOG	BMP2	0.08205
GLI1	MYCN	0.08196
NANOG	TBX3	0.07861
POU4F2	SNAI1	0.07789
RHOX6	EPAS1	0.07708
NANOG	BMYC	0.0766
NANOG	CREB3L2	0.07659
POU4F2	GATA6	0.07477
PURB	EPAS1	0.07336
NANOG	NFIL3	0.07286
HNF1B	ZFHX3	0.07281
GLI1	BHLHE40	0.07264
POU4F2	ETV5	0.07214
NANOG	SOX17	0.07137
GLI1	ID1	0.07046
L3MBTL3	EPAS1	0.07041
HOPX	ID3	0.0691
POU4F2	ZFP42	0.06743
BMP2	SALL4	0.06674
POU4F2	HMGA2	0.06668
NANOG	TET2	0.06552
NANOG	SALL4	0.06462
HOPX	SOX7	0.06218
HNF1B	PEG3	0.06205
NANOG	HOPX	0.06167
GLI1	HOPX	0.06066
NANOG	ELF2	0.06056
RHOX6	KLF6	0.05833
NANOG	TCF15	0.0567
JUN	SNAI1	0.05657
POU4F2	UTF1	0.05578
NANOG	RERE	0.05506
JUN	GATA4	0.05463
POU4F2	CARHSP1	0.05313
NANOG	REST	0.05144
BMP2	DNMT3L	0.05089
GLI1	NR0B1	0.04989
POU4F2	KLF4	0.04974
HNF1B	CREB3	0.04849
POU4F2	CREB3L2	0.04843
POU4F2	PURB	0.0475
POU4F2	XBP1	0.04584
POU4F2	REST	0.0445
POU4F2	NFXL1	0.04445
TFEB	EPAS1	0.04431
NANOG	NR0B1	0.04418
POU4F2	HMGA1	0.04403
POU4F2	ETS1	0.04335
POU4F2	PEG3	0.04332
SOX17	TAX1BP3	0.04303
NANOG	ESRRB	0.04287
KLF2	EPAS1	0.04228
FOXA2	EPAS1	0.04149
DNMT3L	EPAS1	0.04134
POU4F2	HOPX	0.03989
NANOG	BHLHE40	0.03967
NANOG	TFEB	0.03965
NANOG	PHB	0.03895
HNF1B	PHB	0.0386
NANOG	TET1	0.03812
FOXD3	RARG	0.03811
BHLHE40	EPAS1	0.03795
NANOG	ETS1	0.0373
BMP2	TCF7L2	0.0371
NANOG	TGIF1	0.03698
RARG	ZFP57	0.03678
NANOG	CREB3	0.03658
JUN	CREB3L2	0.03628
POU4F2	POU5F1	0.03563
SIX1	EPAS1	0.03553
POU4F2	ESRRB	0.03551
GLI1	SOX17	0.03551
HOPX	DNMT3A	0.03518
NANOG	L3MBTL3	0.03474
ZFP532	NFIL3	0.03378
NANOG	KDM5B	0.03298
MSX2	DNMT3L	0.03261
BMP2	SOX7	0.03225
JUN	DNMT3L	0.03224
POU4F2	AFF1	0.03188
L3MBTL3	ID2	0.03178
NANOG	ZFP57	0.03164
SOX17	GATA6	0.03128
HNF1B	KLF6	0.03123
GLI1	FOXA2	0.03105
NANOG	FOXH1	0.03104
NANOG	TEAD4	0.03094
HNF1B	RERE	0.03072
GLI2	SOX2	0.03031
GLI2	NANOG	0.03018
PURB	HMGA1	0.03018
NANOG	DNMT3A	0.02979
NANOG	HNF1B	0.02902
NANOG	JUN	0.02899
HNF1B	PURB	0.02871
NANOG	PURB	0.02836
NANOG	ZFP462	0.02825
BMYC	EPAS1	0.02818
HOPX	ID1	0.02811
BHLHE40	GATA4	0.02784
JUN	TCF7L2	0.02764
NANOG	ZFP428	0.02754
POU4F2	DNMT3B	0.02737
POU4F2	TRP53	0.02736
JUN	MYCN	0.02719
POU4F2	TAX1BP3	0.02719
POU4F2	SALL4	0.02682
ID2	MYCN	0.02681
POU4F2	NR0B1	0.0264
GLI1	KLF6	0.02638
REST	DNMT3L	0.02638
AFF1	KLF4	0.02631
HNF1B	TEAD4	0.02614
JUN	ID2	0.02584
TCF7L2	KLF4	0.02577
JUN	ID3	0.02558
MSX2	EPAS1	0.02499
NANOG	DDIT3	0.02499
GLI1	AFF1	0.02491
NANOG	ZBTB44	0.02489
NANOG	ZFP42	0.02488
SATB2	SOX7	0.02484
SOX17	HOPX	0.02462
HOPX	SALL4	0.02453
GLI1	JARID2	0.02434
NANOG	ZFP296	0.02404
GLI2	GLI1	0.02395
HNF1B	ZC3H7A	0.0238
POU4F2	PHB	0.02377
FOXD3	GLI1	0.02365
NANOG	KLF6	0.02357
MSX2	ID1	0.02357
POU4F2	HNRNPK	0.02347
JUN	GATA6	0.02343
NFIL3	EPAS1	0.02325
GLI1	EPAS1	0.02302
JUN	FOXA2	0.02283
JUN	XBP1	0.02274
GLI1	SALL4	0.02266
BMP2	TBX3	0.02255
HNF1B	BHLHE40	0.02253
FOXD3	POU4F2	0.02251
SOX17	CARHSP1	0.02248
GLI1	ELF3	0.02246
L3MBTL3	GATA4	0.02242
TFEB	POU5F1	0.02212
NANOG	EGR1	0.02189
SATB2	GATA6	0.02167
ZFP462	DNMT3L	0.02141
POU4F2	ZFP462	0.02139
HOPX	KLF4	0.02133
HNF1B	FOXA2	0.02098
ID2	DNMT3L	0.02076
PEG3	EPAS1	0.02071
FOXA2	MYCN	0.02041
POU4F2	WHSC1	0.02032
NANOG	TAX1BP3	0.02027
HOPX	GATA6	0.02014
POU4F2	KLF3	0.01998
L3MBTL3	FOXA2	0.01979
SOX17	XBP1	0.01976
JUN	CARHSP1	0.01967
GLI1	CARHSP1	0.01965
DDIT3	MYCN	0.01965
ETS1	SOX7	0.01924
BHLHE40	CREB3L2	0.01912
JUN	CREB3	0.01897
POU4F2	DNMT3L	0.01895
GLI1	PARP1	0.01892
TET2	DNMT3L	0.01884
GLI1	FOXQ1	0.01882
DDIT3	UTF1	0.01881
DDIT3	DNMT3L	0.01872
GLI1	TCF15	0.01869
GLI1	PEG3	0.0185
BHLHE40	UTF1	0.01849
EGR1	DNMT3L	0.01848
NANOG	TRP53	0.01845
L3MBTL3	TAX1BP3	0.01837
NANOG	ERF	0.01812
POU4F2	HNF1B	0.0181
NANOG	MSC	0.0181
GLI1	BCL3	0.01804
POU4F2	SIX1	0.01797
TCF7L2	DNMT3L	0.01795
JUN	UTF1	0.01789
RARG	XBP1	0.01783
POU4F2	RBPJ	0.0173
TET2	POU5F1	0.01728
JUN	RERE	0.01719
POU4F2	ELF2	0.01702
JUN	KLF4	0.01696
RHOX6	DNMT3L	0.01692
ETS1	POU5F1	0.01684
JUN	BHLHE40	0.01683
POU4F2	FOXQ1	0.01676
ZFP462	ID2	0.01676
FOXD3	GLI2	0.01668
JUN	POU5F1	0.01667
POU4F2	TET2	0.01661
HNF1B	L3MBTL3	0.0165
GLI1	KDM5B	0.01649
NANOG	HMGA2	0.0162
GLI1	ESRRB	0.01608
SOX17	EPAS1	0.01595
GLI1	ZFP296	0.01582
POU4F2	TEAD4	0.01546
BHLHE40	PEG3	0.01546
DDIT3	SOX7	0.0154
NANOG	ZFP710	0.01539
ID2	SOX7	0.01536
L3MBTL3	SALL4	0.0153
JUN	DNMT3A	0.01524
POU4F2	ZFP532	0.0151
TFEB	HMGA1	0.01499
PURB	KLF6	0.01492
RHOX6	GATA6	0.0149
BCL3	EPAS1	0.01485
BMYC	HNRNPK	0.01483
ZBTB10	ID2	0.01473
HNF1B	SALL4	0.0147
BMP2	SNAI1	0.0147
TFEB	NFXL1	0.01458
HMGA2	ESRRB	0.01448
POU4F2	ZFHX3	0.01444
BHLHE40	TAX1BP3	0.01441
BMP2	RBPJ	0.01428
GLI1	NFXL1	0.0142
GLI1	ETS1	0.01415
PURB	SOX7	0.01414
POU4F2	ZBTB10	0.01413
BMP2	SOX17	0.01409
REST	ID3	0.01407
POU4F2	MSX2	0.01399
ZFP462	EPAS1	0.01396
REST	UTF1	0.01395
KDM5B	FOXQ1	0.01392
JUN	FOXQ1	0.01391
HOPX	PARP1	0.01372
SOX17	KLF6	0.01361
ETS1	JUN	0.01326
GLI1	ZFP42	0.01323
L3MBTL3	MYCN	0.01321
BHLHE40	MYCN	0.01317
JUN	PHB	0.0131
ID2	UTF1	0.01303
BMP2	ID3	0.01293
GLI1	NFIL3	0.01289
KLF10	ID1	0.01277
SATB2	UTF1	0.01274
FOXA2	GATA6	0.01271
RHOX6	SOX7	0.01268
TFEB	DNMT3L	0.01266
SATB2	EPAS1	0.01252
RHOX6	DNMT3B	0.01245
GLI2	FOXD3	0.01239
BHLHE40	SALL4	0.01229
GLI1	PHB	0.01229
SATB2	DNMT3L	0.01214
ZFP532	EPAS1	0.01212
ZFP428	HMGA1	0.0121
POU4F2	TET1	0.01209
GLI1	MTF2	0.01188
HNF1B	SOX7	0.01184
BHLHE40	RERE	0.01181
HOPX	XBP1	0.01178
PURB	XBP1	0.01177
EPAS1	POU5F1	0.01176
SOX17	ID2	0.01176
SNAI1	SOX7	0.01162
GLI1	ERF	0.01159
SMAD7	ID2	0.01156
NANOG	ETV5	0.01148
GLI1	SIX1	0.01138
DDIT3	POU5F1	0.01137
FOXA2	ID2	0.01136
POU4F2	GATA4	0.01135
BMP2	ID1	0.01133
JUN	KLF6	0.01132
HNF1B	ELF2	0.01128
POU4F2	ZFP428	0.01121
POU4F2	BMP2	0.01118
POU4F2	KLF6	0.01111
HOPX	SOX17	0.0111
POU4F2	MTF2	0.01098
POU4F2	RUNX1	0.01098
GATA6	UTF1	0.01074
POU4F2	DNMT3A	0.01068
HOPX	SMAD7	0.0106
GLI1	TFCP2L1	0.01047
PEG3	ID1	0.01045
KLF2	SOX7	0.01041
SALL4	UTF1	0.0104
SNAI1	EPAS1	0.01024
ETS1	EPAS1	0.01024
JUN	KDM5B	0.01016
RARG	ID1	0.01016
JUN	NFIL3	0.01012
BHLHE40	KLF6	0.01011
GLI1	ID2	0.0101
PURB	DDIT3	0.00999
BMP2	XBP1	0.00994
DDIT3	EPAS1	0.00993
TGIF1	DNMT3L	0.00991
GLI1	TBX3	0.00986
GLI1	KLF3	0.00982
L3MBTL3	SOX17	0.00982
MSX2	SOX7	0.00977
NANOG	MYBL2	0.00975
ID3	EPAS1	0.00966
NFIL3	MYCN	0.00963
TFEB	DNMT3B	0.00962
JUN	L3MBTL3	0.0096
GLI1	HNF1B	0.00956
GLI1	GATA4	0.00956
JUN	RHOX6	0.00953
ZBTB44	ID1	0.00951
TFEB	SOX7	0.0095
BMYC	ID2	0.0095
JUN	WHSC1	0.00949
TET2	ID1	0.00941
SMAD7	TAX1BP3	0.00935
ETS1	DNMT3L	0.00932
SMAD7	DNMT3B	0.00931
RHOX6	SOX17	0.0092
ZFP428	ID3	0.00916
EPAS1	DNMT3L	0.00915
SNAI1	DNMT3L	0.00913
BHLHE40	ID3	0.0091
ZFHX3	SOX7	0.0091
ID2	CREB3	0.00909
BMP2	JARID2	0.00908
FOXA2	PEG3	0.00907
SALL4	DNMT3L	0.00903
HOPX	GATA4	0.00899
TGIF1	RUNX1	0.00892
AFF1	DNMT3L	0.00888
REST	KDM5B	0.00887
REST	SOX7	0.00883
WHSC1	SOX7	0.00879
POU4F2	ETV4	0.00876
GLI1	RUNX1	0.00865
SATB2	ID1	0.00865
EPAS1	NFXL1	0.00865
GLI1	EGR1	0.0086
JUN	PARP1	0.00859
JUN	ID1	0.00859
SMAD7	EPAS1	0.00858
POU4F2	NANOG	0.00857
ETV4	NFIL3	0.00856
ID2	TAX1BP3	0.00854
RHOX6	ID1	0.00852
RHOX6	HMGA1	0.0085
REST	HMGA1	0.00847
JUN	DNMT3B	0.00845
PURB	CREB3	0.00845
SATB2	SALL4	0.00841
JUN	NFXL1	0.00839
JUN	HMGA1	0.00838
ERF	DNMT3L	0.00837
BMYC	FOXQ1	0.00837
GLI1	RBPJ	0.00831
RHOX6	DDIT3	0.00828
SMAD7	SALL4	0.00827
BCL3	DNMT3L	0.00823
SATB2	L3MBTL3	0.00823
GLI1	TEAD4	0.00822
SATB2	SOX17	0.00818
HOPX	CARHSP1	0.00815
RHOX6	SALL4	0.00805
TCF7L2	MYCN	0.00804
ZFP462	ID3	0.00801
POU4F2	ZFP57	0.00798
TFEB	SALL4	0.00793
HOPX	NFIL3	0.00793
BCL3	ID1	0.00792
BHLHE40	SOX7	0.00791
SMAD7	SOX7	0.00782
POU4F2	FOXD3	0.00782
POU5F1	ID1	0.00781
GLI1	CREB3L2	0.00779
ETV4	TBX3	0.00779
POU4F2	SMAD7	0.00778
BMYC	SOX7	0.00775
SOX17	PHB	0.00774
ZFP710	SOX17	0.00773
BHLHE40	GATA6	0.0077
POU4F2	PARP1	0.00769
SOX17	RERE	0.00768
ZFP428	EPAS1	0.00768
GLI1	L3MBTL3	0.00766
POU4F2	ZFP296	0.00766
BMYC	GATA6	0.00761
SNAI1	SALL4	0.0076
HOPX	ZC3H7A	0.00755
MSX2	GATA4	0.00753
JUN	BMP2	0.00752
BCL3	BHLHE40	0.00749
GLI1	ELF2	0.00748
RARG	EPAS1	0.00744
ZFP532	DNMT3L	0.00744
TGIF1	KLF4	0.00743
POU4F2	JARID2	0.00741
KLF2	ID3	0.0074
CREB3	CREB3L2	0.00737
TFEB	UTF1	0.00735
DDIT3	NR0B1	0.00734
BMYC	BMP2	0.0073
TET2	SOX7	0.00729
HNRNPK	ID1	0.00726
ZFP532	KLF4	0.00725
NFIL3	POU5F1	0.00723
L3MBTL3	POU5F1	0.00723
ID2	KLF6	0.00722
RARG	REST	0.0072
GLI1	TET2	0.0072
TGIF1	EPAS1	0.0072
GLI1	DDIT3	0.00718
TET2	MYCN	0.00717
HNRNPK	PEG3	0.00716
NFIL3	BHLHE40	0.00713
FOXA2	TAX1BP3	0.00712
SMAD7	MYCN	0.00705
BHLHE40	KLF4	0.00705
BMYC	DNMT3L	0.00704
SOX17	BHLHE40	0.00704
GLI1	RERE	0.00702
SATB2	TAX1BP3	0.00702
TCF7L2	ID3	0.007
FOXA2	SOX7	0.007
MSX2	DDIT3	0.007
TFEB	SNAI1	0.00696
TCF7L2	PHB	0.00696
SMAD7	POU5F1	0.00696
L3MBTL3	KLF4	0.00696
BMP2	KDM5B	0.00694
ID2	HOPX	0.00689
TEAD4	UTF1	0.00689
RHOX6	UTF1	0.00689
BMP2	REST	0.00686
JUN	SOX17	0.00686
GLI1	MSC	0.00686
HOPX	ELF3	0.00685
TCF7L2	TAX1BP3	0.00682
HOPX	PHB	0.0068
GLI1	ZBTB10	0.00679
ZBTB10	ID1	0.00679
ELF2	POU5F1	0.00677
GLI1	TGIF1	0.00676
HNRNPK	SOX7	0.00674
HNRNPK	ID3	0.00672
SMAD7	HNRNPK	0.00672
GLI1	REST	0.00672
HNF1B	ELF3	0.00671
SOX17	MYCN	0.00671
KLF6	EPAS1	0.00671
RHOX6	JARID2	0.00669
HNF1B	ERF	0.00667
BMYC	UTF1	0.00667
ZFP462	UTF1	0.00666
SMAD7	UTF1	0.00664
MSX2	SOX17	0.00664
JUN	ZFHX3	0.00662
RARG	KDM5B	0.00662
RARG	HMGA1	0.00661
HOPX	PEG3	0.0066
PURB	JUN	0.0066
SATB2	FOXQ1	0.00657
BMYC	GATA4	0.00655
NFIL3	ID2	0.00651
ZFP296	DNMT3L	0.0065
BMYC	MYCN	0.00645
TFEB	JARID2	0.00644
MYCN	UTF1	0.00643
POU4F2	TCF15	0.0064
JUN	TEAD4	0.00639
CREB3	GATA4	0.00639
RHOX6	BHLHE40	0.00637
BHLHE40	ID2	0.00637
SMAD7	DNMT3L	0.00635
HMGA1	ID1	0.00634
MSX2	KLF4	0.00634
FOXA2	GATA4	0.00629
ID3	DNMT3L	0.00628
GLI1	ZC3H7A	0.00628
NANOG	ZFP532	0.00626
MSX2	SALL4	0.00616
GLI1	DNMT3A	0.00616
TGIF1	ID3	0.00616
SALL4	MYCN	0.00613
KLF10	DNMT3L	0.00611
POU4F2	MYBL2	0.00611
JUN	JARID2	0.0061
BMP2	RHOX6	0.00609
SOX17	NFXL1	0.00609
RHOX6	ID3	0.00609
BMYC	KLF6	0.00608
NANOG	ETV4	0.00608
SALL4	HOPX	0.00606
SATB2	HMGA1	0.00606
HNF1B	SATB2	0.00606
REST	SOX17	0.00605
SMAD7	HMGA1	0.00605
POU4F2	FOXA2	0.00603
DDIT3	HMGA1	0.00598
JUN	HNF1B	0.00598
PEG3	SOX7	0.00597
PEG3	MYCN	0.00593
REST	GATA4	0.00593
TET2	SNAI1	0.00586
HOPX	NFXL1	0.00586
BMYC	SOX17	0.00581
SNAI1	TCF7L2	0.0058
SALL4	RBPJ	0.00579
NANOG	RHOX6	0.00576
ID3	SOX7	0.00576
SMAD7	KDM5B	0.00575
ZFP462	HMGA1	0.00573
RARG	FOXQ1	0.00573
HOPX	SATB2	0.00573
EPAS1	MYCN	0.00573
DDIT3	EGR1	0.00573
JUN	TBX3	0.00571
FOXH1	POU5F1	0.0057
GLI1	HNRNPK	0.0057
BMP2	RUNX1	0.00569
HOPX	FOXA2	0.00569
EGR1	UTF1	0.00564
RARG	KLF10	0.00563
TET1	NFXL1	0.00562
ZC3H7A	DNMT3L	0.00562
SATB2	HOPX	0.00562
GLI1	SMAD7	0.00562
GLI1	ZFP428	0.00561
ZFP532	HMGA1	0.00561
RARG	ID3	0.00561
RHOX6	SNAI1	0.00558
TET2	ID2	0.00554
HNRNPK	HMGA1	0.0055
BMYC	TAX1BP3	0.00548
ZFP428	JARID2	0.00546
SMAD7	KLF4	0.00543
POU4F2	KLF2	0.00541
DDIT3	TAX1BP3	0.00541
HMGA2	UTF1	0.00541
BHLHE40	XBP1	0.00538
GLI1	SOX7	0.00538
JUN	DDIT3	0.00536
BMYC	BHLHE40	0.00536
JUN	PURB	0.00535
ZFP532	ID1	0.00535
CREB3	SOX7	0.00534
JUN	ETS1	0.00533
ZBTB44	UTF1	0.00532
RARG	NFXL1	0.00531
JUN	PEG3	0.00531
PEG3	PHB	0.00531
SATB2	DNMT3B	0.0053
TGIF1	ID1	0.0053
BHLHE40	ELF3	0.0053
JUN	ELF3	0.00527
GLI1	TAX1BP3	0.00527
BHLHE40	TEAD4	0.00523
RHOX6	MYCN	0.00523
BMYC	RUNX1	0.00523
L3MBTL3	TEAD4	0.00522
L3MBTL3	SNAI1	0.0052
AFF1	SOX17	0.00517
ZBTB10	SOX7	0.00514
AFF1	UTF1	0.00514
ZFP42	SOX7	0.00512
RHOX6	NFXL1	0.00512
ZFP462	SOX7	0.00511
GLI1	WHSC1	0.00511
WHSC1	DNMT3L	0.00509
JUN	TCF15	0.00508
RHOX6	POU5F1	0.00508
NANOG	SOX2	0.00506
EGR1	SOX7	0.00506
REST	DNMT3A	0.00506
ZFP462	KLF4	0.00506
ID2	EPAS1	0.00505
POU4F2	TGIF1	0.00504
SATB2	GATA4	0.00503
