Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0008152 metabolic process,-5.7,11,8.2,20836,518,25,7,28,9,14025|14461|16477|17260|20846|21349|56484,Bcl11a|Gata2|Junb|Mef2c|Stat1|Tal1|Foxo3,-2.6,MyList
GO Biological Processes,19,GO:0097659,nucleic acid-templated transcription,19_GO:0008152 metabolic process,-5.7,11,8.2,20836,519,25,7,28,9,14025|14461|16477|17260|20846|21349|56484,Bcl11a|Gata2|Junb|Mef2c|Stat1|Tal1|Foxo3,-2.6,MyList
GO Biological Processes,19,GO:0032774,RNA biosynthetic process,19_GO:0008152 metabolic process,-5.7,11,8.1,20836,531,25,7,28,9,14025|14461|16477|17260|20846|21349|56484,Bcl11a|Gata2|Junb|Mef2c|Stat1|Tal1|Foxo3,-2.6,MyList
GO Biological Processes,19,GO:0048568,embryonic organ development,19_GO:0032502 developmental process,-5.7,11,8.1,20836,532,25,7,28,9,12192|14461|16477|17260|18022|21349|22761,Zfp36l1|Gata2|Junb|Mef2c|Nfe2|Tal1|Zfpm1,-2.6,MyList
GO Biological Processes,19,GO:0060216,definitive hemopoiesis,19_GO:0032502 developmental process,-5.6,1.1e+02,18,20836,22,25,3,12,6.5,14461|21349|22761,Gata2|Tal1|Zfpm1,-2.6,MyList
GO Biological Processes,19,GO:0036344,platelet morphogenesis,19_GO:0032502 developmental process,-5.6,1.1e+02,18,20836,22,25,3,12,6.5,17260|21349|22761,Mef2c|Tal1|Zfpm1,-2.6,MyList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-5.5,10,7.8,20836,566,25,7,28,9,12192|14461|16477|17260|18022|20375|21349,Zfp36l1|Gata2|Junb|Mef2c|Nfe2|Spi1|Tal1,-2.5,MyList
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.5,14,8.6,20836,359,25,6,24,8.5,12192|14461|14582|20375|21349|22761,Zfp36l1|Gata2|Gfi1b|Spi1|Tal1|Zfpm1,-2.5,MyList
GO Biological Processes,19,GO:0030851,granulocyte differentiation,19_GO:0032502 developmental process,-5.3,89,16,20836,28,25,3,12,6.5,14461|20375|22761,Gata2|Spi1|Zfpm1,-2.3,MyList
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-5.3,9.7,7.5,20836,603,25,7,28,9,12192|14461|16477|17260|18022|20375|21349,Zfp36l1|Gata2|Junb|Mef2c|Nfe2|Spi1|Tal1,-2.3,MyList
GO Biological Processes,19,GO:0045664,regulation of neuron differentiation,19_GO:0032502 developmental process,-5,17,8.8,20836,244,25,5,20,8,14025|14461|17260|21413|56484,Bcl11a|Gata2|Mef2c|Tcf4|Foxo3,-2.1,MyList
GO Biological Processes,19,GO:0001892,embryonic placenta development,19_GO:0032502 developmental process,-5,29,10,20836,116,25,4,16,7.3,12192|14461|16477|18022,Zfp36l1|Gata2|Junb|Nfe2,-2.1,MyList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-4.7,7.7,6.5,20836,758,25,7,28,9,12192|14461|16477|17260|20375|21349|24136,Zfp36l1|Gata2|Junb|Mef2c|Spi1|Tal1|Zeb2,-1.7,MyList
GO Biological Processes,19,GO:1902895,positive regulation of miRNA transcription,19_GO:0048518 positive regulation of biological process,-4.5,47,12,20836,53,25,3,12,6.5,14461|20375|56484,Gata2|Spi1|Foxo3,-1.6,MyList
GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-4.3,12,7.3,20836,340,25,5,20,8,14461|17260|20375|21349|22761,Gata2|Mef2c|Spi1|Tal1|Zfpm1,-1.5,MyList
GO Biological Processes,19,GO:2000630,positive regulation of miRNA metabolic process,19_GO:0048518 positive regulation of biological process,-4.3,42,11,20836,59,25,3,12,6.5,14461|20375|56484,Gata2|Spi1|Foxo3,-1.5,MyList
GO Biological Processes,19,GO:0060711,labyrinthine layer development,19_GO:0032502 developmental process,-4.3,40,11,20836,62,25,3,12,6.5,12192|16477|18022,Zfp36l1|Junb|Nfe2,-1.4,MyList
GO Biological Processes,19,GO:0001890,placenta development,19_GO:0032502 developmental process,-4.2,18,8.1,20836,182,25,4,16,7.3,12192|14461|16477|18022,Zfp36l1|Gata2|Junb|Nfe2,-1.4,MyList
GO Biological Processes,19,GO:1902893,regulation of miRNA transcription,19_GO:0008152 metabolic process,-4.1,35,9.9,20836,72,25,3,12,6.5,14461|20375|56484,Gata2|Spi1|Foxo3,-1.3,MyList
GO Biological Processes,19,GO:2000756,regulation of peptidyl-lysine acetylation,19_GO:0008152 metabolic process,-4.1,35,9.9,20836,72,25,3,12,6.5,14461|18022|20375,Gata2|Nfe2|Spi1,-1.3,MyList
GO Biological Processes,19,GO:1901983,regulation of protein acetylation,19_GO:0008152 metabolic process,-3.9,30,9.2,20836,84,25,3,12,6.5,14461|18022|20375,Gata2|Nfe2|Spi1,-1.1,MyList
GO Biological Processes,19,GO:2000628,regulation of miRNA metabolic process,19_GO:0008152 metabolic process,-3.8,29,9,20836,87,25,3,12,6.5,14461|20375|56484,Gata2|Spi1|Foxo3,-1.1,MyList
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-3.7,9.1,6.1,20836,457,25,5,20,8,12192|14461|16477|20375|21349,Zfp36l1|Gata2|Junb|Spi1|Tal1,-0.99,MyList
GO Biological Processes,19,GO:0060348,bone development,19_GO:0032502 developmental process,-3.7,14,6.9,20836,243,25,4,16,7.3,17260|21349|22761|71375,Mef2c|Tal1|Zfpm1|Foxn3,-0.99,MyList
WikiPathways,27,WP373,IL-3 signaling pathway,,-3.7,25,8.4,20836,99,25,3,12,6.5,14461|20375|20846,Gata2|Spi1|Stat1,-0.94,MyList
GO Biological Processes,19,GO:0045638,negative regulation of myeloid cell differentiation,19_GO:0002376 immune system process,-3.7,25,8.4,20836,99,25,3,12,6.5,12192|14461|22761,Zfp36l1|Gata2|Zfpm1,-0.94,MyList
GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-3.6,6.6,5.4,20836,762,25,6,24,8.5,17260|18027|20375|21349|22761|24136,Mef2c|Nfia|Spi1|Tal1|Zfpm1|Zeb2,-0.94,MyList
GO Biological Processes,19,GO:0045165,cell fate commitment,19_GO:0032502 developmental process,-3.5,12,6.4,20836,278,25,4,16,7.3,14461|17260|18027|21349,Gata2|Mef2c|Nfia|Tal1,-0.81,MyList
GO Biological Processes,19,GO:0030218,erythrocyte differentiation,19_GO:0042592 homeostatic process,-3.5,22,7.7,20836,116,25,3,12,6.5,20375|21349|22761,Spi1|Tal1|Zfpm1,-0.8,MyList
GO Biological Processes,19,GO:0071222,cellular response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.4,12,6.3,20836,288,25,4,16,7.3,17260|20375|20846|22038,Mef2c|Spi1|Stat1|Plscr1,-0.8,MyList
GO Biological Processes,19,GO:1904035,regulation of epithelial cell apoptotic process,19_GO:0050789 regulation of biological process,-3.4,21,7.7,20836,117,25,3,12,6.5,12192|14461|56484,Zfp36l1|Gata2|Foxo3,-0.8,MyList
GO Biological Processes,19,GO:0045666,positive regulation of neuron differentiation,19_GO:0032502 developmental process,-3.4,21,7.7,20836,117,25,3,12,6.5,14461|17260|21413,Gata2|Mef2c|Tcf4,-0.8,MyList
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-3.4,7.8,5.5,20836,535,25,5,20,8,17260|18027|21349|22761|71375,Mef2c|Nfia|Tal1|Zfpm1|Foxn3,-0.79,MyList
GO Biological Processes,19,GO:0071219,cellular response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.4,11,6.1,20836,298,25,4,16,7.3,17260|20375|20846|22038,Mef2c|Spi1|Stat1|Plscr1,-0.78,MyList
Reactome Gene Sets,6,R-MMU-983231,Factors involved in megakaryocyte development and platelet production,,-3.4,20,7.5,20836,122,25,3,12,6.5,14461|18022|22761,Gata2|Nfe2|Zfpm1,-0.78,MyList
GO Biological Processes,19,GO:0010720,positive regulation of cell development,19_GO:0032502 developmental process,-3.4,7.6,5.4,20836,545,25,5,20,8,12192|14025|14582|20375|24136,Zfp36l1|Bcl11a|Gfi1b|Spi1|Zeb2,-0.78,MyList
GO Biological Processes,19,GO:0034101,erythrocyte homeostasis,19_GO:0042592 homeostatic process,-3.3,20,7.3,20836,128,25,3,12,6.5,20375|21349|22761,Spi1|Tal1|Zfpm1,-0.74,MyList
KEGG Pathway,24,mmu04380,Osteoclast differentiation - Mus musculus (house mouse),,-3.3,20,7.3,20836,128,25,3,12,6.5,16477|20375|20846,Junb|Spi1|Stat1,-0.74,MyList
GO Biological Processes,19,GO:0000904,cell morphogenesis involved in differentiation,19_GO:0032502 developmental process,-3.3,7.2,5.3,20836,577,25,5,20,8,17260|20375|21349|22761|24136,Mef2c|Spi1|Tal1|Zfpm1|Zeb2,-0.7,MyList
WikiPathways,27,WP447,Adipogenesis genes,,-3.3,19,7.1,20836,134,25,3,12,6.5,14461|17260|20846,Gata2|Mef2c|Stat1,-0.7,MyList
GO Biological Processes,19,GO:0021700,developmental maturation,19_GO:0032502 developmental process,-3.3,10,5.9,20836,322,25,4,16,7.3,14461|18027|21349|56484,Gata2|Nfia|Tal1|Foxo3,-0.7,MyList
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-3.3,7.2,5.2,20836,581,25,5,20,8,12192|17260|20375|20846|22038,Zfp36l1|Mef2c|Spi1|Stat1|Plscr1,-0.7,MyList
GO Biological Processes,19,GO:0071216,cellular response to biotic stimulus,19_GO:0050896 response to stimulus,-3.2,10,5.8,20836,325,25,4,16,7.3,17260|20375|20846|22038,Mef2c|Spi1|Stat1|Plscr1,-0.7,MyList
GO Biological Processes,19,GO:0071560,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-3.2,18,7,20836,137,25,3,12,6.5,12192|17260|20375,Zfp36l1|Mef2c|Spi1,-0.7,MyList
GO Biological Processes,19,GO:0061351,neural precursor cell proliferation,19_GO:0009987 cellular process,-3.2,18,7,20836,139,25,3,12,6.5,14461|18027|24136,Gata2|Nfia|Zeb2,-0.69,MyList
GO Biological Processes,19,GO:0071559,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-3.2,18,6.9,20836,142,25,3,12,6.5,12192|17260|20375,Zfp36l1|Mef2c|Spi1,-0.67,MyList
GO Biological Processes,19,GO:0019827,stem cell population maintenance,19_GO:0032502 developmental process,-3.2,17,6.8,20836,147,25,3,12,6.5,14461|20375|56484,Gata2|Spi1|Foxo3,-0.64,MyList
GO Biological Processes,19,GO:0050864,regulation of B cell activation,19_GO:0002376 immune system process,-3.1,17,6.7,20836,148,25,3,12,6.5,12192|17260|20375,Zfp36l1|Mef2c|Spi1,-0.64,MyList
GO Biological Processes,19,GO:0002244,hematopoietic progenitor cell differentiation,19_GO:0032502 developmental process,-3.1,17,6.7,20836,151,25,3,12,6.5,14461|20375|21349,Gata2|Spi1|Tal1,-0.63,MyList
GO Biological Processes,19,GO:0045598,regulation of fat cell differentiation,19_GO:0032502 developmental process,-3.1,16,6.6,20836,152,25,3,12,6.5,12192|14461|22761,Zfp36l1|Gata2|Zfpm1,-0.63,MyList
GO Biological Processes,19,GO:0098727,maintenance of cell number,19_GO:0032502 developmental process,-3.1,16,6.6,20836,152,25,3,12,6.5,14461|20375|56484,Gata2|Spi1|Foxo3,-0.63,MyList
GO Biological Processes,19,GO:0001936,regulation of endothelial cell proliferation,19_GO:0050789 regulation of biological process,-3.1,16,6.6,20836,155,25,3,12,6.5,14461|17260|20846,Gata2|Mef2c|Stat1,-0.61,MyList
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-3.1,6.5,4.9,20836,643,25,5,20,8,12192|14461|17260|20375|22038,Zfp36l1|Gata2|Mef2c|Spi1|Plscr1,-0.6,MyList
GO Biological Processes,19,GO:0048598,embryonic morphogenesis,19_GO:0032502 developmental process,-3.1,6.5,4.9,20836,643,25,5,20,8,12192|14461|17260|21349|24136,Zfp36l1|Gata2|Mef2c|Tal1|Zeb2,-0.6,MyList
GO Biological Processes,19,GO:0032496,response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3,8.9,5.3,20836,375,25,4,16,7.3,17260|20375|20846|22038,Mef2c|Spi1|Stat1|Plscr1,-0.56,MyList
GO Biological Processes,19,GO:0002262,myeloid cell homeostasis,19_GO:0042592 homeostatic process,-3,15,6.3,20836,167,25,3,12,6.5,20375|21349|22761,Spi1|Tal1|Zfpm1,-0.54,MyList
GO Biological Processes,19,GO:0048871,multicellular organismal homeostasis,19_GO:0042592 homeostatic process,-3,6.2,4.7,20836,673,25,5,20,8,14461|17260|20375|21349|22761,Gata2|Mef2c|Spi1|Tal1|Zfpm1,-0.53,MyList
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0032502 developmental process,-3,8.5,5.2,20836,390,25,4,16,7.3,12192|14025|17260|20375,Zfp36l1|Bcl11a|Mef2c|Spi1,-0.52,MyList
GO Biological Processes,19,GO:0002237,response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.9,8.4,5.2,20836,395,25,4,16,7.3,17260|20375|20846|22038,Mef2c|Spi1|Stat1|Plscr1,-0.5,MyList
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-2.9,6,4.6,20836,699,25,5,20,8,12192|14461|17260|20375|22038,Zfp36l1|Gata2|Mef2c|Spi1|Plscr1,-0.47,MyList
Reactome Gene Sets,6,R-MMU-8878171,Transcriptional regulation by RUNX1,,-2.8,13,5.8,20836,193,25,3,12,6.5,14461|21349|22761,Gata2|Tal1|Zfpm1,-0.39,MyList
GO Biological Processes,19,GO:0050678,regulation of epithelial cell proliferation,19_GO:0050789 regulation of biological process,-2.8,7.8,4.9,20836,429,25,4,16,7.3,12192|14461|17260|20846,Zfp36l1|Gata2|Mef2c|Stat1,-0.39,MyList
GO Biological Processes,19,GO:0048469,cell maturation,19_GO:0032502 developmental process,-2.8,13,5.7,20836,199,25,3,12,6.5,14461|21349|56484,Gata2|Tal1|Foxo3,-0.37,MyList
GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-2.8,5.6,4.4,20836,746,25,5,20,8,13134|14461|17260|18022|20846,Dach1|Gata2|Mef2c|Nfe2|Stat1,-0.37,MyList
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-2.8,5.6,4.4,20836,748,25,5,20,8,12192|14025|14461|22761|56484,Zfp36l1|Bcl11a|Gata2|Zfpm1|Foxo3,-0.37,MyList
GO Biological Processes,19,GO:0030217,T cell differentiation,19_GO:0002376 immune system process,-2.7,12,5.6,20836,207,25,3,12,6.5,12192|14025|20375,Zfp36l1|Bcl11a|Spi1,-0.34,MyList
GO Biological Processes,19,GO:0021953,central nervous system neuron differentiation,19_GO:0032502 developmental process,-2.7,12,5.5,20836,210,25,3,12,6.5,14461|21349|24136,Gata2|Tal1|Zeb2,-0.33,MyList
GO Biological Processes,19,GO:1903708,positive regulation of hemopoiesis,19_GO:0002376 immune system process,-2.7,12,5.5,20836,211,25,3,12,6.5,12192|14582|20375,Zfp36l1|Gfi1b|Spi1,-0.33,MyList
GO Biological Processes,19,GO:1902107,positive regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.7,12,5.5,20836,211,25,3,12,6.5,12192|14582|20375,Zfp36l1|Gfi1b|Spi1,-0.33,MyList
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-2.7,5.3,4.3,20836,781,25,5,20,8,12192|14025|17260|20375|21413,Zfp36l1|Bcl11a|Mef2c|Spi1|Tcf4,-0.32,MyList
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.7,7.2,4.7,20836,465,25,4,16,7.3,12192|17260|18027|20375,Zfp36l1|Mef2c|Nfia|Spi1,-0.31,MyList
GO Biological Processes,19,GO:0048863,stem cell differentiation,19_GO:0032502 developmental process,-2.6,11,5.3,20836,221,25,3,12,6.5,17260|21349|24136,Mef2c|Tal1|Zeb2,-0.29,MyList
KEGG Pathway,24,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),,-2.6,11,5.3,20836,224,25,3,12,6.5,16599|17260|20375,Klf3|Mef2c|Spi1,-0.28,MyList
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-2.6,6.9,4.6,20836,481,25,4,16,7.3,12192|17260|18027|20375,Zfp36l1|Mef2c|Nfia|Spi1,-0.27,MyList
GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-2.6,11,5.2,20836,229,25,3,12,6.5,14025|17260|20375,Bcl11a|Mef2c|Spi1,-0.26,MyList
GO Biological Processes,19,GO:0060485,mesenchyme development,19_GO:0032502 developmental process,-2.5,10,5,20836,243,25,3,12,6.5,12192|17260|24136,Zfp36l1|Mef2c|Zeb2,-0.19,MyList
GO Biological Processes,19,GO:0001503,ossification,19_GO:0032501 multicellular organismal process,-2.4,9.5,4.8,20836,263,25,3,12,6.5,16477|17260|18022,Junb|Mef2c|Nfe2,-0.1,MyList
GO Biological Processes,19,GO:0071695,anatomical structure maturation,19_GO:0032502 developmental process,-2.4,9.4,4.8,20836,266,25,3,12,6.5,14461|21349|56484,Gata2|Tal1|Foxo3,-0.092,MyList
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-2.4,6,4.1,20836,556,25,4,16,7.3,12192|14025|17260|20375,Zfp36l1|Bcl11a|Mef2c|Spi1,-0.072,MyList
GO Biological Processes,19,GO:0001701,in utero embryonic development,19_GO:0032502 developmental process,-2.4,6,4.1,20836,558,25,4,16,7.3,12192|14461|16477|18022,Zfp36l1|Gata2|Junb|Nfe2,-0.072,MyList
GO Biological Processes,19,GO:0045765,regulation of angiogenesis,19_GO:0032502 developmental process,-2.2,8.2,4.4,20836,305,25,3,12,6.5,14461|20846|21413,Gata2|Stat1|Tcf4,0,MyList
GO Biological Processes,19,GO:1901342,regulation of vasculature development,19_GO:0032502 developmental process,-2.2,8.1,4.4,20836,309,25,3,12,6.5,14461|20846|21413,Gata2|Stat1|Tcf4,0,MyList
GO Biological Processes,19,GO:0010721,negative regulation of cell development,19_GO:0048519 negative regulation of biological process,-2.2,7.9,4.3,20836,318,25,3,12,6.5,14025|14461|22761,Bcl11a|Gata2|Zfpm1,0,MyList
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-2.2,5.2,3.7,20836,646,25,4,16,7.3,17260|21349|22761|24136,Mef2c|Tal1|Zfpm1|Zeb2,0,MyList
GO Biological Processes,19,GO:0006366,transcription by RNA polymerase II,19_GO:0008152 metabolic process,-2.2,7.6,4.2,20836,329,25,3,12,6.5,14461|16477|21349,Gata2|Junb|Tal1,0,MyList
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-2.2,5.1,3.7,20836,648,25,4,16,7.3,14461|17260|20375|22038,Gata2|Mef2c|Spi1|Plscr1,0,MyList
GO Biological Processes,19,GO:0072001,renal system development,19_GO:0032502 developmental process,-2.1,7.5,4.1,20836,335,25,3,12,6.5,17260|18027|20846,Mef2c|Nfia|Stat1,0,MyList
GO Biological Processes,19,GO:0097190,apoptotic signaling pathway,19_GO:0023052 signaling,-2.1,7.4,4.1,20836,337,25,3,12,6.5,20375|22038|56484,Spi1|Plscr1|Foxo3,0,MyList
GO Biological Processes,19,GO:0030098,lymphocyte differentiation,19_GO:0002376 immune system process,-2.1,7.4,4.1,20836,339,25,3,12,6.5,12192|14025|20375,Zfp36l1|Bcl11a|Spi1,0,MyList
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-2.1,4.9,3.6,20836,684,25,4,16,7.3,12192|14025|17260|20375,Zfp36l1|Bcl11a|Mef2c|Spi1,0,MyList
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-2,6.6,3.8,20836,376,25,3,12,6.5,12192|14025|20375,Zfp36l1|Bcl11a|Spi1,0,MyList
